Comunidad Autónoma y Provincia;Tipo de índice;años;Total
Galicia;Promedio de estancias/enfermo;2000;..
Galicia;Promedio de estancias/enfermo;1999;..
Galicia;Promedio de estancias/enfermo;1998;..
Galicia;Promedio de estancias/enfermo;1997;9,87
Galicia;Promedio de estancias/enfermo;1996;10,54
Galicia;Promedio de estancias/enfermo;1995;10,94
Galicia;Promedio de estancias/enfermo;1994;11,25
Galicia;Promedio de estancias/enfermo;1993;11,79
Galicia;Promedio de estancias/enfermo;1992;12,68
Galicia;Promedio de estancias/enfermo;1991;12,80
Asturias, Ppado de;Promedio de estancias/enfermo;2000;..
Asturias, Ppado de;Promedio de estancias/enfermo;1999;..
Asturias, Ppado de;Promedio de estancias/enfermo;1998;..
Asturias, Ppado de;Promedio de estancias/enfermo;1997;10,05
Asturias, Ppado de;Promedio de estancias/enfermo;1996;10,18
Asturias, Ppado de;Promedio de estancias/enfermo;1995;10,47
Asturias, Ppado de;Promedio de estancias/enfermo;1994;10,69
Asturias, Ppado de;Promedio de estancias/enfermo;1993;10,92
Asturias, Ppado de;Promedio de estancias/enfermo;1992;11,45
Asturias, Ppado de;Promedio de estancias/enfermo;1991;11,94
Cantabria;Promedio de estancias/enfermo;2000;..
Cantabria;Promedio de estancias/enfermo;1999;..
Cantabria;Promedio de estancias/enfermo;1998;..
Cantabria;Promedio de estancias/enfermo;1997;12,16
Cantabria;Promedio de estancias/enfermo;1996;12,41
Cantabria;Promedio de estancias/enfermo;1995;13,39
Cantabria;Promedio de estancias/enfermo;1994;13,04
Cantabria;Promedio de estancias/enfermo;1993;12,71
Cantabria;Promedio de estancias/enfermo;1992;13,19
Cantabria;Promedio de estancias/enfermo;1991;13,69
País Vasco;Promedio de estancias/enfermo;2000;..
País Vasco;Promedio de estancias/enfermo;1999;..
País Vasco;Promedio de estancias/enfermo;1998;..
País Vasco;Promedio de estancias/enfermo;1997;9,63
País Vasco;Promedio de estancias/enfermo;1996;9,89
País Vasco;Promedio de estancias/enfermo;1995;10,37
País Vasco;Promedio de estancias/enfermo;1994;10,82
País Vasco;Promedio de estancias/enfermo;1993;11,63
País Vasco;Promedio de estancias/enfermo;1992;12,25
País Vasco;Promedio de estancias/enfermo;1991;12,57
Navarra, Comunidad Foral;Promedio de estancias/enfermo;2000;..
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1999;..
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1998;..
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1997;10,13
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1996;10,28
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1995;10,73
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1994;10,72
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1993;11,59
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1992;12,16
Navarra, Comunidad Foral;Promedio de estancias/enfermo;1991;12,64
Aragón;Promedio de estancias/enfermo;2000;..
Aragón;Promedio de estancias/enfermo;1999;..
Aragón;Promedio de estancias/enfermo;1998;..
Aragón;Promedio de estancias/enfermo;1997;10,34
Aragón;Promedio de estancias/enfermo;1996;10,55
Aragón;Promedio de estancias/enfermo;1995;11,33
Aragón;Promedio de estancias/enfermo;1994;11,17
Aragón;Promedio de estancias/enfermo;1993;11,71
Aragón;Promedio de estancias/enfermo;1992;11,98
Aragón;Promedio de estancias/enfermo;1991;12,37
Cataluña;Promedio de estancias/enfermo;2000;..
Cataluña;Promedio de estancias/enfermo;1999;..
Cataluña;Promedio de estancias/enfermo;1998;..
Cataluña;Promedio de estancias/enfermo;1997;10,92
Cataluña;Promedio de estancias/enfermo;1996;11,23
Cataluña;Promedio de estancias/enfermo;1995;11,49
Cataluña;Promedio de estancias/enfermo;1994;11,89
Cataluña;Promedio de estancias/enfermo;1993;12,54
Cataluña;Promedio de estancias/enfermo;1992;12,49
Cataluña;Promedio de estancias/enfermo;1991;12,96
Castilla y León;Promedio de estancias/enfermo;2000;..
Castilla y León;Promedio de estancias/enfermo;1999;..
Castilla y León;Promedio de estancias/enfermo;1998;..
Castilla y León;Promedio de estancias/enfermo;1997;11,84
Castilla y León;Promedio de estancias/enfermo;1996;12,16
Castilla y León;Promedio de estancias/enfermo;1995;13,35
Castilla y León;Promedio de estancias/enfermo;1994;13,00
Castilla y León;Promedio de estancias/enfermo;1993;13,96
Castilla y León;Promedio de estancias/enfermo;1992;14,52
Castilla y León;Promedio de estancias/enfermo;1991;15,46
Rioja, La;Promedio de estancias/enfermo;2000;..
Rioja, La;Promedio de estancias/enfermo;1999;..
Rioja, La;Promedio de estancias/enfermo;1998;..
