Comunidad Autónoma y Provincia;Tipo de índice;años;Total
Total;Grado de ocupación;2000;..
Total;Grado de ocupación;1999;..
Total;Grado de ocupación;1998;..
Total;Grado de ocupación;1997;79,03
Total;Grado de ocupación;1996;79,88
Total;Grado de ocupación;1995;79,05
Total;Grado de ocupación;1994;76,74
Total;Grado de ocupación;1993;77,57
Total;Grado de ocupación;1992;76,77
Total;Grado de ocupación;1991;76,69
Total;Promedio de estancias/enfermo;2000;..
Total;Promedio de estancias/enfermo;1999;..
Total;Promedio de estancias/enfermo;1998;..
Total;Promedio de estancias/enfermo;1997;9,65
Total;Promedio de estancias/enfermo;1996;10,01
Total;Promedio de estancias/enfermo;1995;10,46
Total;Promedio de estancias/enfermo;1994;10,54
Total;Promedio de estancias/enfermo;1993;11,00
Total;Promedio de estancias/enfermo;1992;11,35
Total;Promedio de estancias/enfermo;1991;11,86
Total;Índice de rotación;2000;..
Total;Índice de rotación;1999;..
Total;Índice de rotación;1998;..
Total;Índice de rotación;1997;29,90
Total;Índice de rotación;1996;29,13
Total;Índice de rotación;1995;27,59
Total;Índice de rotación;1994;26,56
Total;Índice de rotación;1993;25,74
Total;Índice de rotación;1992;24,70
Total;Índice de rotación;1991;23,60
Total;Actos quirúrgicos/quirófano;2000;..
Total;Actos quirúrgicos/quirófano;1999;..
Total;Actos quirúrgicos/quirófano;1998;..
Total;Actos quirúrgicos/quirófano;1997;980,68
Total;Actos quirúrgicos/quirófano;1996;953,84
Total;Actos quirúrgicos/quirófano;1995;894,57
Total;Actos quirúrgicos/quirófano;1994;811,20
Total;Actos quirúrgicos/quirófano;1993;780,72
Total;Actos quirúrgicos/quirófano;1992;753,59
Total;Actos quirúrgicos/quirófano;1991;720,68
Total;Partos/camas de obstetricia;2000;..
Total;Partos/camas de obstetricia;1999;..
Total;Partos/camas de obstetricia;1998;..
Total;Partos/camas de obstetricia;1997;49,57
Total;Partos/camas de obstetricia;1996;48,02
Total;Partos/camas de obstetricia;1995;47,39
Total;Partos/camas de obstetricia;1994;45,90
Total;Partos/camas de obstetricia;1993;46,37
Total;Partos/camas de obstetricia;1992;47,31
Total;Partos/camas de obstetricia;1991;46,41
Total;Necropsias/1.000 fallecidos;2000;..
Total;Necropsias/1.000 fallecidos;1999;..
Total;Necropsias/1.000 fallecidos;1998;..
Total;Necropsias/1.000 fallecidos;1997;45,52
Total;Necropsias/1.000 fallecidos;1996;45,23
Total;Necropsias/1.000 fallecidos;1995;45,64
Total;Necropsias/1.000 fallecidos;1994;54,78
Total;Necropsias/1.000 fallecidos;1993;55,33
Total;Necropsias/1.000 fallecidos;1992;55,78
Total;Necropsias/1.000 fallecidos;1991;57,85
Andalucía;Grado de ocupación;2000;..
Andalucía;Grado de ocupación;1999;..
Andalucía;Grado de ocupación;1998;..
Andalucía;Grado de ocupación;1997;75,24
Andalucía;Grado de ocupación;1996;76,01
Andalucía;Grado de ocupación;1995;76,30
