Semana;andalucia;aragon;asturias;cantabria;castilla-la_mancha;castilla_y_leon;cataluña;ceuta;c_valenciana;extremadura;galicia;i_baleares;i_canarias;la_rioja;madrid;melilla;murcia;navarra;pais_vasco
32;29;47;0;1;7;7;109;0;14;2;5;8;3;1;42;0;7;5;24
33;23;56;0;2;9;9;130;0;27;1;5;11;4;0;72;0;5;6;32
34;48;50;2;3;11;19;110;0;38;2;9;19;5;2;131;0;11;8;45
35;78;50;1;3;21;38;110;0;46;4;9;27;47;6;213;0;18;8;43
36;77;46;4;5;27;41;112;0;51;3;25;30;19;5;237;1;32;8;69
37;111;49;4;7;39;40;97;1;54;4;23;28;22;7;303;1;32;13;70
38;123;47;6;5;53;62;121;1;61;11;20;29;22;8;324;2;39;17;79
39;112;47;6;9;65;71;115;0;54;10;26;29;16;10;413;2;38;24;68
40;132;44;7;9;66;80;127;0;52;13;22;25;16;12;404;2;40;21;68
41;155;48;15;5;78;92;154;2;66;14;35;20;18;9;394;4;47;27;80
42;158;43;18;4;65;85;193;1;62;14;25;15;15;9;303;3;46;26;59
43;205;69;31;5;79;125;283;2;74;19;36;16;15;16;311;6;50;35;88
44;317;87;55;10;79;153;360;3;113;32;50;21;13;20;321;5;65;38;96
45;334;109;70;17;99;161;436;6;157;34;51;16;14;20;292;6;64;45;114
46;388;110;95;23;99;193;462;3;184;41;59;24;16;18;255;3;76;31;126
47;363;109;113;23;95;189;404;3;193;30;65;21;13;20;245;4;66;26;124
48;316;75;106;21;66;151;320;3;168;29;49;21;18;13;205;3;52;20;115
49;232;67;91;17;60;149;261;1;135;22;45;24;13;15;195;3;41;14;99
50;157;53;63;16;47;82;203;1;119;12;28;17;15;8;154;3;29;10;77
51;153;42;50;17;58;80;236;1;124;13;41;24;22;12;166;1;22;13;90
52;126;41;29;11;57;57;268;2;159;12;30;32;15;4;165;1;24;11;57
53;113;36;19;7;60;46;269;1;185;15;27;35;21;6;179;2;28;7;47
54;131;39;18;9;59;59;338;1;244;21;36;36;17;8;190;2;37;8;58
55;216;55;27;15;102;73;391;1;364;43;48;44;24;13;269;2;67;13;68
56;359;73;32;19;154;126;451;1;508;61;79;45;23;17;409;3;105;11;81
57;515;81;53;23;183;218;488;3;604;70;127;51;24;27;525;7;129;16;96
58;564;88;69;22;178;245;461;2;568;51;132;50;25;28;521;4;106;16;121
59;494;78;70;17;142;224;424;2;412;42;131;40;23;24;471;5;85;17;107
60;375;64;60;15;85;162;357;1;261;21;100;28;17;18;390;5;46;13;90
61;275;45;47;16;53;106;301;2;154;14;60;21;14;8;293;3;32;9;83
62;196;30;32;12;35;61;247;2;103;8;41;16;18;6;224;4;18;8;67
63;161;33;36;9;27;54;223;0;65;4;33;7;19;5;211;2;17;6;57
64;145;27;23;10;20;48;214;1;42;5;22;8;23;4;186;3;12;4;54
65;134;26;33;7;19;36;211;3;35;3;23;8;23;3;200;4;15;8;59
66;121;23;23;8;15;34;204;2;38;3;18;8;17;3;190;4;9;12;68
67;173;35;21;10;27;49;245;2;26;7;24;7;22;6;246;4;11;17;69
68;200;38;26;10;35;49;257;3;29;8;22;7;22;10;278;8;10;17;102
69;199;33;20;13;46;42;244;2;30;8;24;6;19;9;266;5;11;22;110
70;198;43;18;14;42;57;237;3;24;9;22;6;16;7;289;2;8;19;115
71;168;41;16;15;47;51;216;0;22;5;22;6;13;8;266;2;9;19;105
72;155;43;14;15;41;44;175;2;18;5;31;6;17;10;231;2;9;13;90
73;140;37;9;13;36;32;151;1;16;5;18;5;12;7;184;3;8;10;71
74;116;28;7;5;33;24;100;0;14;4;16;5;10;5;150;1;8;6;60
75;107;25;8;5;24;26;88;1;17;3;11;3;10;5;118;1;8;4;57
76;108;21;8;6;24;22;74;0;19;3;10;5;9;3;107;1;5;3;51
77;105;16;7;4;13;17;72;0;15;3;5;3;7;3;71;0;5;3;39
78;84;11;7;4;15;14;57;0;13;1;8;5;7;2;52;0;5;2;34
79;73;9;6;2;7;13;62;0;20;2;7;10;11;2;52;0;3;2;28
80;73;8;6;5;8;14;100;0;37;2;9;8;14;3;32;0;4;0;27
81;105;12;9;10;7;21;206;0;52;2;11;17;18;3;51;1;6;4;33
82;137;30;11;10;15;52;331;0;84;7;21;23;27;3;99;0;10;8;44
83;168;43;20;16;19;70;369;1;100;7;38;35;35;9;173;2;20;9;51
84;187;45;15;13;35;57;348;0;86;12;36;117;43;10;212;0;22;11;60
85;215;39;16;12;40;49;294;2;87;8;40;42;41;10;199;1;28;10;61
86;168;35;14;13;34;36;238;1;76;11;35;35;27;6;188;2;27;7;57
87;163;29;7;12;31;29;185;0;61;11;33;34;24;5;165;2;24;10;52
88;125;21;7;8;30;30;152;1;53;10;21;28;19;2;137;2;22;6;45
89;97;16;6;6;25;29;115;0;37;6;16;17;14;3;109;1;16;5;50
90;66;16;3;5;22;16;104;0;30;9;12;13;11;3;79;3;12;6;42
91;55;15;3;4;16;9;84;2;28;4;9;13;10;1;55;1;14;4;37
92;46;8;2;3;13;6;57;0;16;3;7;9;9;1;45;1;9;4;26
93;36;8;2;1;7;9;52;0;15;2;2;11;10;1;31;1;8;2;27
94;27;8;2;2;8;6;32;0;15;1;3;7;6;0;25;0;3;2;15
95;32;7;1;2;7;7;33;0;25;2;2;9;7;1;41;1;7;1;17
96;29;9;3;2;6;9;33;0;23;1;4;9;7;1;40;0;5;3;17
97;28;5;3;1;5;8;28;0;20;1;2;7;7;1;24;1;6;2;18
98;29;9;2;1;10;9;32;0;28;1;2;6;9;1;32;1;5;2;13
99;32;12;2;2;12;16;46;0;30;1;6;7;9;3;31;1;7;4;14
100;39;17;5;1;13;14;60;0;35;2;16;11;11;3;40;1;10;6;25
101;42;20;9;7;16;30;96;0;56;2;14;16;17;1;58;1;11;6;40
102;55;21;8;5;8;28;104;0;60;3;18;12;16;2;46;1;12;11;30
103;82;34;18;8;15;38;171;0;83;5;33;17;20;4;80;1;23;9;53
104;126;39;21;9;18;55;223;1;113;7;32;32;26;4;96;3;38;13;60
