Semana;andalucia;aragon;asturias;cantabria;castilla-la_mancha;castilla_y_leon;cataluña;ceuta;c_valenciana;extremadura;galicia;i_baleares;i_canarias;la_rioja;madrid;melilla;murcia;navarra;pais_vasco
32;151;504;21;24;56;85;983;0;187;15;32;92;36;3;498;2;59;38;172
33;215;549;15;32;78;150;948;1;271;24;67;126;57;5;823;2;79;44;254
34;343;540;19;37;133;218;1002;0;346;39;86;199;112;17;1347;6;120;53;345
35;516;514;43;38;225;309;1070;2;439;48;131;294;182;40;1929;5;182;61;427
36;717;475;44;46;343;353;1035;5;494;56;202;355;227;57;2256;7;249;81;471
37;959;469;56;60;463;447;1102;8;551;95;238;391;259;72;2661;14;317;109;496
38;1108;472;52;75;588;577;1240;5;564;147;252;373;250;84;3408;14;319;150;517
39;1199;479;57;61;633;717;1269;11;528;215;245;357;256;81;3863;16;309;185;465
40;1262;431;81;56;617;802;1354;17;468;193;242;276;255;70;3613;13;305;172;439
41;1212;421;130;43;578;882;1448;17;500;165;234;218;269;82;3286;20;317;187;444
42;1485;514;231;49;655;1018;1898;18;654;183;282;196;267;103;3198;31;343;211;482
43;1987;638;367;68;721;1325;2755;29;884;238;398;211;351;133;3169;43;441;285;559
44;2584;871;553;116;877;1505;3855;40;1224;322;493;202;223;145;3014;52;519;341;686
45;3276;996;806;165;927;1711;4417;42;1520;407;566;237;220;161;2840;47;579;335;781
46;3380;945;964;196;887;1771;4210;43;1722;371;580;257;239;179;2636;44;596;283;832
47;3003;756;992;193;751;1605;3623;34;1714;321;537;276;225;162;2245;30;511;244;822
48;2370;593;876;173;622;1310;2930;26;1436;268;466;255;218;124;1880;23;401;175;749
49;1774;513;761;177;585;1030;2566;12;1263;184;381;214;223;110;1647;17;296;142;668
50;1467;453;651;155;564;871;2440;10;1176;172;330;231;270;85;1632;18;235;145;648
51;1259;393;463;127;534;746;2557;12;1297;172;316;306;294;62;1729;14;222;134;598
52;1057;339;308;100;515;604;2733;6;1609;210;331;352;294;60;1841;13;220;106;499
53;986;341;251;101;609;532;3123;2;1991;255;350;410;289;71;1997;12;219;103;464
54;1312;431;245;122;784;634;3668;8;2674;385;402;446;294;90;2476;14;336;108;476
