Semana;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
32;12;71;47;33;21;13;92;793;115;13;24;2;0;17;14;2;3;16;15;24;44;10;11;4;53;23;5;108;4;498;2;59;28;38;6;1;6;9;3;16;30;4;8;8;38;47;15;115;31;6;404;1
33;16;79;57;55;15;17;126;762;165;26;32;1;1;22;37;4;7;28;24;33;47;16;16;4;61;22;14;87;16;823;2;79;50;44;7;3;21;7;5;20;35;8;14;9;52;49;20;191;53;14;439;4
34;29;96;76;70;19;26;199;807;220;35;37;11;0;24;59;6;13;41;31;55;49;33;28;5;53;36;16;85;6;1347;6;120;95;53;10;5;75;12;17;37;37;14;26;12;61;40;46;240;63;19;447;16
35;47;124;98;74;43;31;294;851;280;44;38;51;2;40;83;12;17;70;52;73;49;45;33;7;54;44;16;91;16;1929;5;182;155;61;20;7;140;12;40;56;42;18;46;21;80;32;93;264;89;23;427;34
36;60;162;93;95;44;37;355;822;281;45;46;45;5;63;95;19;19;109;85;95;54;71;37;4;53;39;17;63;51;2256;7;249;211;81;32;13;179;25;57;74;48;16;104;20;96;38;164;287;113;25;384;30
37;69;169;75;77;56;55;391;873;289;65;60;51;8;101;98;21;39;152;96;130;68;100;56;8;48;55;31;63;67;2661;14;317;273;109;40;22;202;33;72;80;56;19;201;20;99;51;216;330;144;29;370;37
38;69;205;56;77;52;82;373;1006;301;84;75;59;5;152;102;27;65;178;132;139;93;123;71;9;54;78;51;56;57;3408;14;319;249;150;49;39;196;44;84;91;54;22;284;22;85;57;269;301;185;46;361;36
39;54;192;47;80;57;129;357;1050;263;103;61;71;11;158;98;30;86;174;151;122;91;132;78;14;51;103;67;47;47;3863;16;309;219;185;59;44;186;41;81;114;70;19;361;19;81;64;313;264;230;74;363;48
40;59;161;44;86;81;113;276;1113;233;108;56;63;17;125;87;42;81;157;153;119;96;129;79;23;46;117;121;45;30;3613;13;305;194;172;77;52;167;47;70;114;88;20;444;21;101;49;312;244;236;82;336;48
41;56;154;39;88;130;101;218;1169;234;111;43;54;17;108;83;37;64;154;158;122;106;161;93;39;52;123;177;35;32;3286;20;317;189;187;75;62;154;45;82;128;115;27;349;22;138;48;283;292;230;83;321;42
42;70;227;56;79;231;112;196;1521;261;122;49;64;18;97;98;38;70;173;155;143;148;263;105;49;81;167;251;51;23;3198;31;343;195;211;106;68;141;56;103;119;126;35;428;24;179;66;345;362;268;87;367;45
43;83;300;65;82;367;162;211;2174;274;172;68;83;29;87;160;41;76;212;198;203;212;440;104;60;111;218;309;101;19;3169;43;441;227;285;121;93;203;99;133;193;148;38;566;30;267;82;406;501;328;113;446;49
44;121;424;79;89;553;224;202;3045;343;234;116;110;40;124;222;45;98;248;252;254;307;629;98;95;159;306;309;134;37;3014;52;519;252;341;102;113;82;132;145;215;141;38;724;35;369;109;490;690;355;144;602;64
45;146;531;111;95;806;277;237;3428;403;313;165;123;42;151;267;55;130;314;326;283;389;819;94;134;187;363;322;181;31;2840;47;579;342;335;109;115;70;160;161;227;151;33;867;38;418;110;481;866;428;151;699;84
46;160;580;127;105;964;247;257;3283;401;347;196;140;43;143;265;75;124;355;325;326;385;814;82;144;179;377;346;165;43;2636;44;596;405;283;93;105;75;180;179;216;164;36;832;45;377;83;428;1003;433;153;684;90
47;146;595;128;107;992;210;276;2832;393;308;193;139;34;139;257;63;110;379;294;323;333;696;68;126;144;342;340;139;32;2245;30;511;386;244;86;103;67;162;162;169;158;32;652;44;319;69;335;981;393;137;542;78
48;111;468;133;101;876;161;255;2260;370;254;173;118;26;136;215;41;107;341;222;279;310;556;72;120;103;272;276;115;30;1880;23;401;337;175;65;90;75;156;124;150;143;26;388;38;245;70;262;850;300;115;420;60
49;106;408;114;89;761;96;214;1971;342;228;177;113;12;134;176;36;89;283;165;237;282;378;68;101;75;208;197;116;26;1647;17;296;277;142;46;80;70;133;110;103;153;21;249;37;196;61;241;743;233;83;377;49
