Semana;andalucia;aragon;asturias;cantabria;castilla-la_mancha;castilla_y_leon;cataluña;ceuta;c_valenciana;extremadura;galicia;i_baleares;i_canarias;la_rioja;madrid;melilla;murcia;navarra;pais_vasco
32;9182;1943;1907;948;2730;3684;16682;60;6209;1593;4628;2070;3737;425;9868;80;2203;971;2642
33;8831;1946;1917;939;2673;3626;16499;64;6258;1569;4601;2061;3568;448;9582;76;2145;981;2627
34;8677;1923;1945;892;2542;3530;16307;56;6292;1584;4549;2015;3642;433;9184;73;1985;945;2508
35;8919;1980;1940;903;2447;3441;16463;49;6091;1534;4598;1877;3491;409;9049;79;1788;911;2496
36;9005;1990;1963;873;2434;3430;16723;61;6247;1492;4685;1775;3482;413;9206;73;2099;944;2648
37;9186;2051;1972;849;2417;3578;16618;60;6383;1516;4821;1727;3519;416;9381;69;2144;989;2719
38;9438;2122;2068;914;2442;3787;17464;60;6393;1534;4967;1830;3510;405;9455;70;2108;1070;2973
39;9465;2211;2023;855;2336;3718;17368;55;6331;1558;4844;1858;3483;373;9465;71;2194;1012;3003
40;9437;2227;2067;917;2464;3806;17588;54;6490;1591;4943;1834;3458;414;9700;70;2226;1031;3019
41;9502;2336;2104;934;2456;3730;17937;66;6246;1526;4992;1934;3446;440;10101;64;2164;1107;3078
42;9449;2268;2092;914;2540;3769;17719;62;6735;1540;5014;1960;3443;461;10230;69;2211;1067;3110
43;9360;2325;1958;960;2512;3612;17247;61;6663;1618;5009;2007;3441;452;10481;62;2272;1042;3217
44;8828;2107;1729;953;2383;3243;16552;58;6437;1538;4940;2032;3539;445;10258;44;2218;1026;3060
45;8582;1987;1555;904;2326;3208;15971;50;6096;1503;4830;1986;3632;430;10412;45;2162;948;2970
46;8444;1943;1533;868;2324;3162;16067;61;5988;1577;4790;1989;3723;423;10549;47;2087;985;2914
47;8543;1986;1512;866;2398;3168;16358;62;6018;1574;4682;1939;3701;402;10607;53;2101;990;2864
48;8706;2070;1467;886;2469;3342;16788;67;6188;1594;4636;1972;3715;438;10915;50;2155;993;2856
49;8973;2128;1493;926;2477;3415;17088;66;6386;1569;4730;1986;3553;429;10826;54;2177;937;2918
50;9091;2173;1664;916;2524;3567;16997;77;6352;1543;4872;1926;3498;440;10785;55;2167;1002;2952
51;9643;2318;1711;935;2593;3773;17190;72;6581;1605;5020;1987;3498;469;11405;59;2303;1074;3084
52;7878;1959;1543;771;2120;3175;15651;63;5249;1257;4335;1683;3229;425;9584;45;1813;944;2660
53;7859;1973;1601;729;2109;3201;14940;57;5255;1293;4231;1634;3298;420;9345;48;1803;938;2627
54;8595;2139;1821;822;2269;3444;15341;58;5418;1441;4603;1737;3404;455;10122;52;1962;1009;2959
