Semana;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
32;569;2357;638;421;1907;1014;2070;12690;1325;501;948;708;60;779;2061;204;579;1468;850;897;1486;1110;225;509;283;541;844;703;593;9868;80;2203;1967;971;582;255;1852;1392;425;508;1885;190;2099;151;1803;184;953;3144;706;295;1476;235
33;563;2392;606;371;1917;1018;2061;12610;1371;500;939;735;64;725;2029;191;550;1476;863;885;1385;1051;230;523;302;502;852;712;546;9582;76;2145;1742;981;601;256;1811;1427;448;493;1757;194;2066;147;1792;188;964;3131;678;284;1456;221
34;527;2412;580;346;1945;1048;2015;12453;1271;517;892;752;56;685;2025;172;536;1437;850;892;1399;998;215;510;310;542;851;682;465;9184;73;1985;1770;945;682;261;1799;1376;433;417;1843;198;1990;146;1772;184;942;3128;660;286;1429;193
35;509;2315;600;368;1940;1020;1877;12602;1242;498;903;711;49;686;2053;146;514;1465;845;887;1422;1066;202;505;285;517;827;726;491;9049;79;1788;1829;911;661;251;1650;1392;409;470;1842;175;2090;138;1712;188;905;3065;650;242;1507;188
36;504;2313;622;420;1963;969;1775;12803;1354;541;873;723;61;689;2070;148;522;1477;851;873;1445;1082;211;484;285;536;808;753;506;9206;73;2099;1851;944;675;241;1651;1434;413;449;1831;162;2103;140;1722;174;882;3210;657;236;1531;195
37;498;2405;657;442;1972;983;1727;12700;1398;550;849;683;60;723;2149;153;533;1452;876;879;1465;1103;209;499;289;512;831;740;506;9381;69;2144;1881;989;700;242;1685;1465;416;492;1834;171;2208;136;1713;167;834;3295;718;241;1594;198
38;507;2336;665;468;2068;1048;1830;13497;1571;558;914;732;60;734;2223;149;486;1487;951;935;1447;1122;211;496;277;493;868;757;510;9455;70;2108;1945;1070;704;239;1712;1530;405;522;1797;184;2278;156;1764;171;841;3325;802;238;1674;220
39;445;2363;684;435;2023;1035;1858;13329;1601;541;855;735;55;707;2196;160;523;1518;918;967;1498;1115;214;506;299;522;888;736;478;9465;71;2194;1953;1012;679;227;1666;1491;373;477;1818;176;2250;169;1804;175;811;3234;788;243;1736;209
40;548;2355;698;441;2067;1052;1834;13624;1591;552;917;728;54;715;2222;155;539;1492;936;987;1456;1091;222;500;331;533;895;684;493;9700;70;2226;2005;1031;668;227;1670;1560;414;515;1788;196;2182;157;1825;172;825;3407;802;225;1724;238
41;539;2225;720;444;2104;1019;1934;13883;1628;580;934;688;66;728;2173;149;507;1508;923;1006;1452;1084;213;482;339;562;863;783;527;10101;64;2164;2033;1107;708;231;1644;1585;440;496;1802;196;2190;157;1819;184;827;3333;767;221;1814;220
42;568;2558;705;461;2092;1015;1960;13629;1654;577;914;755;62;786;2259;160;525;1516;918;995;1495;1009;205;509;358;559;857;794;446;10230;69;2211;1981;1067;699;217;1707;1611;461;500;1736;184;2253;171;1802;181;822;3422;786;270;1730;207
43;597;2498;708;488;1958;1037;2007;13169;1727;546;960;767;61;785;2273;155;581;1450;899;1003;1444;1005;184;529;328;476;788;845;510;10481;62;2272;2104;1042;654;239;1664;1573;452;454;1778;181;2189;165;1789;189;791;3398;783;250;1808;206
44;558;2455;703;459;1729;959;2032;12793;1651;489;953;736;58;742;2226;160;579;1431;850;951;1343;842;189;486;271;463;752;715;549;10258;44;2218;2037;1026;647;207;1783;1518;445;417;1756;169;2016;139;1701;150;734;3247;669;203;1685;198
45;539;2360;695;458;1555;944;1986;12235;1594;487;904;678;50;722;2184;147;559;1408;766;918;1308;839;185;459;246;417;702;687;530;10412;45;2162;2063;948;653;208;1824;1463;430;407;1807;178;1936;150;1741;147;733;3059;682;203;1593;191
46;508;2267;714;465;1533;990;1989;12375;1550;461;868;701;61;702;2179;139;587;1346;748;899;1293;874;196;440;249;437;724;678;544;10549;47;2087;1941;985;605;189;1900;1462;423;425;1823;171;1945;147;1721;120;780;3020;658;188;1574;199
47;532;2314;694;446;1512;992;1939;12636;1516;493;866;737;62;740;2122;150;582;1391;788;902;1302;852;188;410;257;436;695;678;460;10607;53;2101;1907;990;667;211;1920;1432;402;449;1781;168;2065;139;1742;138;788;2967;638;192;1592;182
48;533;2369;669;432;1467;1047;1972;12971;1469;483;886;776;67;762;2076;147;546;1394;838;956;1332;860;200;422;256;467;724;679;499;10915;50;2155;1880;993;663;232;1906;1399;438;478;1809;190;2176;148;1806;155;828;3043;698;206;1659;182
49;497;2440;688;419;1493;1022;1986;13191;1549;482;926;773;66;775;2106;171;547;1399;863;950;1371;945;203;426;280;476;739;712;511;10826;54;2177;1884;937;674;198;1832;1439;429;537;1720;179;2292;158;1814;169;830;3172;717;217;1678;187
50;532;2408;698;417;1664;1028;1926;13212;1561;511;916;749;77;769;2187;173;515;1396;849;974;1333;1025;221;457;305;520;778;672;521;10785;55;2167;1888;1002;697;228;1816;1468;440;530;1681;185;2258;163;1779;177;829;3194;801;217;1692;190
