Semana;andalucia;aragon;asturias;cantabria;castilla-la_mancha;castilla_y_leon;cataluña;ceuta;c_valenciana;extremadura;galicia;i_baleares;i_canarias;la_rioja;madrid;melilla;murcia;navarra;pais_vasco
32;38;64;7;5;8;20;90;0;49;4;13;11;5;1;84;1;23;4;26
33;58;66;6;9;13;33;101;1;60;5;18;22;10;1;149;0;23;8;41
34;80;61;7;8;21;41;99;0;68;6;18;34;19;5;218;1;35;7;53
35;98;55;11;8;40;54;112;1;75;7;25;39;27;7;273;1;51;10;57
36;130;46;11;10;48;53;99;1;74;8;33;40;32;7;281;2;56;11;63
37;145;50;12;11;57;68;104;1;72;14;39;31;27;8;348;3;63;13;66
38;159;55;10;14;71;93;118;1;72;18;37;30;19;8;414;2;57;26;69
39;162;52;12;9;73;108;103;1;71;21;33;21;22;7;427;1;60;25;51
40;160;46;17;9;68;100;123;2;67;11;32;14;19;8;361;2;56;22;56
41;192;54;20;6;65;114;169;1;86;20;32;14;20;9;324;5;45;27;64
42;213;68;34;8;66;121;238;2;103;17;45;12;18;10;308;6;63;22;67
43;303;88;53;12;85;168;355;4;138;32;61;19;16;15;308;6;80;41;82
44;410;123;85;24;112;186;442;4;185;40;65;23;14;20;279;6;87;44;100
45;413;106;101;22;97;191;421;4;199;41;70;24;23;19;246;5;89;36;116
46;375;96;115;24;86;190;360;3;208;32;69;22;17;22;221;2;90;22;116
47;286;71;103;24;64;157;262;2;180;26;61;20;15;11;184;3;60;14;94
48;204;57;74;17;57;106;209;1;145;23;50;20;17;9;165;3;43;12;81
49;142;47;54;17;46;100;186;0;124;12;42;16;16;7;162;2;32;12;75
50;134;39;38;15;52;71;166;0;127;12;46;24;23;5;165;1;29;12;62
51;126;39;28;11;47;70;221;1;175;20;46;33;24;3;186;2;27;10;67
52;115;36;20;9;55;50;248;0;215;24;46;41;22;4;187;1;31;8;45
53;113;39;16;12;69;47;301;0;263;29;41;39;18;8;221;1;36;6;40
