Semana;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
32;1;25;7;5;7;4;11;70;17;3;5;0;0;2;3;0;0;5;4;4;5;1;2;1;6;11;2;10;1;84;1;23;8;4;2;0;1;6;1;2;3;1;1;1;4;5;2;24;8;3;53;0
33;4;26;9;7;6;4;22;77;27;6;9;1;1;3;8;1;1;10;8;7;6;3;1;1;6;10;3;11;1;149;0;23;14;8;2;1;4;7;1;4;6;2;3;1;6;5;4;34;10;5;55;2
34;6;26;11;10;7;6;34;79;34;4;8;4;0;3;7;1;0;10;11;9;5;5;3;1;7;13;2;9;1;218;1;35;22;7;4;1;12;6;5;6;7;3;6;2;5;3;8;39;15;5;51;4
35;9;23;14;8;11;6;39;91;35;4;8;6;1;7;10;2;1;12;10;15;7;8;4;1;7;13;3;7;4;273;1;51;31;10;5;2;21;6;7;11;5;3;9;2;8;5;17;46;16;6;43;7
36;10;27;10;16;11;8;40;80;34;4;10;6;1;9;11;2;0;18;17;13;5;12;5;1;3;8;3;5;8;281;2;56;40;11;4;4;23;10;7;8;8;2;24;2;9;6;23;40;20;5;36;4
37;9;27;8;10;12;13;31;82;38;9;11;6;1;16;12;2;1;21;17;18;8;15;6;2;4;13;6;6;8;348;3;63;34;13;7;3;17;12;8;7;10;4;35;2;9;8;23;38;27;5;39;5
38;9;31;5;8;10;17;30;99;39;11;14;7;1;18;10;3;1;20;28;22;8;16;10;2;5;16;8;5;3;414;2;57;28;26;11;5;12;13;8;11;7;4;43;3;7;10;30;33;33;10;40;6
39;8;32;6;9;12;17;21;81;29;13;9;6;1;14;8;4;4;20;24;13;12;11;7;2;4;20;11;6;4;427;1;60;25;25;9;6;10;12;7;15;12;2;53;2;4;9;40;33;37;16;39;6
40;9;26;7;11;17;9;14;97;27;10;9;5;2;12;6;5;2;17;26;18;11;18;10;4;4;19;19;6;3;361;2;56;21;22;10;8;10;14;8;11;9;2;48;2;8;6;33;36;32;12;36;4
41;10;37;6;12;20;16;14;134;34;11;6;4;1;9;8;4;4;19;33;17;17;24;12;9;6;23;21;4;3;324;5;45;27;27;9;9;9;13;9;14;11;3;51;2;14;11;29;45;34;17;37;3
42;10;43;8;9;34;12;12;187;34;17;8;7;2;11;13;5;5;22;22;24;24;38;9;8;12;30;29;8;1;308;6;63;22;22;15;9;6;16;10;12;12;4;65;2;19;8;32;52;30;14;48;4
43;14;54;11;11;53;27;19;276;42;21;12;11;4;12;27;6;5;30;31;29;31;69;7;9;18;38;34;19;4;308;6;80;30;41;11;13;3;19;15;22;13;5;86;3;29;13;46;73;48;18;57;5
44;19;71;14;11;85;34;23;337;51;30;24;13;4;18;25;6;6;34;44;38;48;96;9;16;23;52;32;18;4;279;6;87;36;44;10;14;4;26;20;19;10;4;118;4;39;12;60;101;53;21;88;9
