Semana;Andalucia;Aragón;Asturias;Baleares;Canarias;Cantabria;Cataluña;Castilla-La mancha;Castilla y León;Ceuta;Com. Valenciana;Extremadura;Galicia;La Rioja;Madrid;Melilla;Murcia;Navarra;Pais Vasco
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0
5;1;0;0;1;1;0;9;0;0;0;1;0;1;0;22;0;0;0;0
6;5;0;0;0;1;0;11;0;3;0;3;1;1;0;37;0;0;0;0
7;5;3;0;3;4;0;35;0;5;0;11;2;1;0;79;0;0;1;6
8;15;8;1;1;4;1;58;0;12;0;17;2;6;3;169;0;2;3;12
9;73;19;6;14;28;11;230;91;68;0;119;16;26;63;851;0;14;25;148
10;381;117;50;61;126;38;1492;615;340;2;393;59;158;236;4598;6;70;161;536
11;2189;580;425;348;528;246;7854;3079;2289;14;2483;414;1269;646;15737;28;408;836;2154
12;3900;1233;604;597;691;740;12048;4873;5102;35;3402;779;2285;1019;17710;30;580;1184;3536
13;2968;1301;426;408;415;422;9942;3500;3707;33;2165;816;2070;849;11145;27;365;976;2533
14;1638;823;294;327;224;307;8268;2192;3090;11;1249;416;1392;606;6850;19;144;959;1832
15;855;659;313;127;106;189;6949;1320;2470;5;813;237;844;274;4503;4;59;568;1414
16;468;437;141;74;84;138;4943;808;1244;2;465;187;522;152;3050;1;16;295;721
17;257;217;63;58;43;118;2137;573;885;3;296;167;314;72;2037;5;14;136;441
18;150;182;35;31;29;42;1311;424;439;9;219;99;180;24;1289;2;8;120;269
19;62;106;22;22;9;13;635;370;129;2;69;44;82;7;670;0;14;43;153
20;90;99;17;53;24;25;1185;296;223;4;106;42;57;23;1124;0;13;78;152
21;55;93;6;35;25;16;1492;260;207;15;80;15;52;22;823;1;10;43;119
22;77;65;23;32;28;14;1198;273;253;19;65;16;15;9;911;0;12;44;90
23;54;53;6;29;18;11;853;234;160;9;77;12;12;13;790;1;13;26;128
24;36;37;3;25;15;10;737;168;142;0;45;8;13;5;665;1;9;14;161
25;88;133;1;29;30;17;689;172;115;0;64;26;21;3;529;3;18;54;129
26;211;257;0;32;9;9;1003;199;109;0;79;19;43;4;307;0;39;58;121
27;153;239;2;29;22;7;1807;169;64;0;119;46;132;2;315;0;35;29;153
28;288;756;7;35;27;8;3455;187;85;0;199;121;119;25;380;2;81;140;307
29;599;2254;9;57;96;31;5585;220;147;2;528;68;86;39;757;0;168;386;871
30;746;2986;27;161;54;53;6553;287;219;3;983;58;124;50;1659;4;401;568;1048
31;1385;3872;87;519;110;120;6689;511;641;2;1664;144;231;42;4028;19;483;451;1615
32;2489;3342;193;1238;470;278;6387;843;1459;5;2314;176;639;116;7530;26;589;685;2788
33;4169;2845;170;2091;1195;399;6922;1548;2124;30;3093;319;968;404;11494;55;1077;692;3561
34;5660;2100;227;2059;1618;496;7508;2373;2637;51;4089;552;1627;572;16518;72;1655;778;4181
35;6671;1750;283;1681;2049;655;7604;3166;3356;56;4227;749;1927;624;19730;95;2235;1132;4523
36;7488;2136;362;1229;1782;765;7341;4124;3678;62;3755;962;1642;583;23899;153;2645;1456;4399
37;7623;2608;435;1042;1445;752;6606;4847;4851;65;3667;1300;1669;728;27938;191;2880;2130;3583
38;8065;2420;604;1145;1186;543;7794;5280;5362;78;3230;1747;1648;736;28485;111;3249;2142;3422
39;8279;2245;639;718;1173;356;7299;4588;4915;133;2880;1326;1429;595;26194;238;3125;2142;2962
40;9649;2429;648;764;978;330;9584;3933;5425;145;3095;1126;1493;550;18943;258;2782;2110;2852
41;13833;3421;1357;749;862;400;14911;4315;6735;184;4312;1466;2316;775;15883;355;3132;3302;3815
42;18176;4790;1606;1093;787;787;21356;4900;8552;265;6545;1997;2767;1104;14025;528;4097;3642;5834
43;26964;7234;2258;1308;795;1149;33283;6515;11405;371;10018;3046;4144;1256;13426;590;5407;4047;8203
44;28181;6671;2323;1278;877;1346;30484;6581;11772;460;11888;3335;4878;1235;13024;509;5891;3194;9062
45;24969;5119;3330;1785;927;1614;23676;6000;11062;341;12688;2743;4009;1206;11844;267;5677;2082;9384
46;22706;3413;3289;1359;818;1467;15416;4583;9124;189;10619;1990;3781;865;9771;208;3811;1337;7407
47;15700;2259;2133;1122;778;972;10573;3352;5811;165;8624;1288;3420;651;8156;183;2088;936;4892
48;9080;1909;1520;1094;933;727;8055;2739;3571;70;6719;1072;2502;485;7602;103;1436;755;3773
49;6861;1631;1139;1848;1291;739;7770;2721;2419;65;6798;944;2270;335;7183;111;1124;651;3030
