Semana;Alava;Albacete;Alicante;Almeria;Asturias;Ávila;Badajoz;Barcelona;Burgos;Cáceres;Cádiz;Cantabria;Castellón;Ceuta;Ciudad Real;Córdoba;Cuenca;Gerona;Granada;Guadalajara;Guipúzcoa;Huelva;Huesca;Jaén;La Coruña;La Rioja;Las Palmas;León;Lérida;Lugo;Madrid;Málaga;Melilla;Murcia;Navarra;Orense;Palencia;Pontevedra;Salamanca;Santa Cruz de T.;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia;Valladolid;Vizcaya;Zamora;Zaragoza
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;1;0;0;0;1;0;1;0;2;0;0;1;0;0;0;0
6;0;0;1;0;0;0;1;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;37;3;0;0;1;0;1;0;0;1;0;1;1;1;0;0;2;0;0;0;0
7;2;0;6;0;0;1;1;32;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;79;3;0;0;2;0;0;0;0;4;0;1;0;0;0;0;5;4;4;0;3
8;7;0;7;0;1;2;0;48;4;2;1;1;1;0;0;0;0;3;3;0;0;0;0;1;2;3;0;3;1;0;169;8;0;2;4;4;0;0;0;4;2;2;0;2;1;0;9;1;5;0;7
9;99;16;42;1;6;4;6;194;21;10;3;11;12;0;24;2;8;14;6;22;5;1;3;4;11;63;7;10;3;5;851;40;0;14;16;7;5;3;4;21;8;16;4;3;2;21;65;9;44;3;14
10;335;97;145;11;50;18;11;1199;88;48;22;38;31;2;181;22;81;78;42;104;41;9;7;48;76;236;27;35;42;14;4598;178;6;70;136;26;7;42;48;96;39;49;33;43;12;152;214;53;160;19;98
11;769;594;916;82;425;226;132;6264;305;272;218;246;247;14;1150;190;360;423;399;326;377;58;66;209;523;646;208;262;175;136;15737;643;28;408;821;228;75;382;376;312;378;390;217;198;62;646;1315;367;1008;83;451
