Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;2;0;0
7;0;2;0;0
8;0;8;0;0
9;2;8;0;0
10;110;49;5;5
11;332;160;13;13
12;569;296;15;15
13;1042;322;10;10
14;665;138;3;3
15;268;45;3;3
16;137;13;1;1
17;78;10;1;1
18;33;11;0;0
19;54;9;0;0
20;45;2;0;0
21;44;2;0;0
22;25;2;0;0
23;36;4;0;0
24;30;4;0;0
25;37;1;0;0
26;31;1;0;0
27;34;3;0;0
28;45;3;1;1
29;58;4;0;0
30;85;5;0;0
31;202;11;2;2
32;339;29;1;1
33;688;30;4;4
34;733;42;4;4
35;677;36;4;4
36;675;63;5;5
37;575;35;3;3
38;571;24;5;5
39;595;49;3;3
40;475;35;9;9
41;507;35;4;4
42;602;44;3;3
43;696;32;5;5
44;893;39;5;5
45;925;50;3;3
46;815;66;4;4
47;652;38;5;5
48;561;33;5;5
49;551;34;3;3
50;636;42;6;6
51;574;45;5;5
52;408;24;3;3
53;455;21;2;2
54;495;30;2;2
55;723;28;2;2
56;919;59;6;6
57;1001;61;13;13
58;780;62;3;3
59;569;44;5;5
60;373;24;3;3
61;388;25;2;2
62;310;16;1;1
63;327;21;5;5
64;430;31;3;3
65;622;21;1;1
66;590;24;4;4
67;725;43;6;6
68;716;70;10;10
69;680;48;4;4
70;514;45;6;6
71;333;29;4;4
72;195;16;4;4
73;181;16;2;2
74;252;15;3;3
75;250;15;0;0
76;204;5;0;0
77;155;3;1;1
78;148;3;0;0
79;252;5;1;1
80;519;8;0;0
81;882;15;3;3
82;1209;23;0;0
83;912;30;4;4
84;764;24;2;2
85;937;27;4;4
86;720;23;2;2
87;458;17;2;2
88;275;20;0;0
89;193;18;0;0
90;132;8;2;2
91;120;3;0;0
92;70;3;1;1
93;83;0;0;0
94;69;4;0;0
95;80;4;0;0
96;82;1;0;0
97;111;7;0;0
98;174;4;0;0
99;298;12;0;0
100;654;13;1;1
101;1463;15;0;0
102;1751;1;0;0
103;2265;1;0;0
104;3727;0;0;0
