Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;1;0;0
9;1;4;0;0
10;3;14;1;1
11;95;96;16;16
12;311;331;33;33
13;829;551;50;50
14;1038;450;34;34
15;535;219;9;9
16;191;97;3;3
17;153;72;1;1
18;121;68;2;2
19;83;41;1;1
20;32;10;0;0
21;35;9;2;2
22;65;9;0;0
23;30;10;0;0
24;13;5;2;2
25;9;0;0;0
26;26;4;0;0
27;29;8;0;0
28;13;4;1;1
29;31;11;1;1
30;31;3;2;2
31;34;2;0;0
32;110;7;1;1
33;176;12;1;1
34;353;33;5;5
35;434;36;2;2
36;561;34;7;7
37;465;39;5;5
38;479;28;2;2
39;447;27;2;2
40;412;34;4;4
41;480;44;7;7
42;617;43;8;8
43;995;57;12;12
44;1099;82;13;13
45;1085;95;11;11
46;1023;104;19;19
47;642;51;10;10
48;472;53;11;11
49;474;45;3;3
50;608;62;8;8
51;787;47;9;9
52;726;45;9;9
53;1080;84;8;8
54;1631;77;8;8
55;2554;133;24;24
56;2239;165;28;28
57;1652;115;25;25
58;770;71;14;14
59;369;32;3;3
60;214;21;8;8
61;112;10;2;2
62;94;18;3;3
63;72;13;3;3
64;46;7;2;2
65;40;5;2;2
66;81;8;2;2
67;156;12;4;4
68;105;10;2;2
69;117;5;1;1
70;128;12;4;4
71;146;12;2;2
72;174;14;3;3
73;185;14;3;3
74;143;8;3;3
75;76;7;2;2
76;86;5;1;1
77;81;2;0;0
78;101;7;2;2
79;179;5;1;1
80;362;8;0;0
81;889;17;0;0
82;1408;31;7;7
83;1457;50;6;6
84;991;43;6;6
85;804;38;7;7
86;555;34;3;3
87;405;23;6;6
88;297;15;0;0
89;235;14;4;4
90;151;12;4;4
91;121;5;2;2
92;110;7;0;0
93;89;6;0;0
94;88;2;1;1
95;95;7;0;0
96;53;5;1;1
97;53;8;1;1
98;147;9;3;3
99;288;21;2;2
100;460;24;4;4
101;585;15;1;1
102;914;18;6;6
103;1702;33;8;8
104;3821;36;7;7
