Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;3;0;0
3;0;3;0;0
4;0;4;0;0
5;0;1;0;0
6;0;0;0;0
7;0;2;0;0
8;0;5;2;2
9;0;6;1;1
10;19;17;1;1
11;198;121;18;18
12;606;483;61;61
13;1355;793;123;123
14;814;329;53;53
15;395;169;24;24
16;202;78;9;9
17;131;47;2;2
18;137;39;4;4
19;92;37;4;4
20;67;18;2;2
21;46;5;1;1
22;31;3;0;0
23;15;5;0;0
24;11;1;0;0
25;12;3;0;0
26;9;1;0;0
27;23;5;1;1
28;25;4;0;0
29;109;14;0;0
30;221;22;1;1
31;431;37;6;6
32;421;42;4;4
33;651;61;4;4
34;910;74;5;5
35;1144;90;12;12
36;1478;106;22;22
37;1648;97;10;10
38;1415;124;15;15
39;1172;97;12;12
40;1018;66;8;8
41;1375;123;10;10
42;1770;159;19;19
43;3222;261;24;24
44;3762;293;27;27
45;4369;358;28;28
46;3835;342;47;47
47;3039;297;40;40
48;2268;217;25;25
49;1849;180;22;22
50;2304;179;19;19
51;4269;259;25;25
52;4881;375;43;43
53;7790;512;50;50
54;13905;811;69;69
55;21691;1354;104;104
56;20576;1500;126;126
57;15648;1229;88;88
58;8061;759;72;72
59;2928;319;36;36
60;1387;148;17;17
61;847;84;15;15
62;507;50;10;10
63;298;24;7;7
64;184;23;1;1
65;229;27;3;3
66;289;29;2;2
67;276;20;3;3
68;275;26;4;4
69;313;29;6;6
70;324;15;1;1
71;268;17;0;0
72;228;12;6;6
73;275;11;2;2
74;303;12;1;1
75;381;16;1;1
76;305;19;1;1
77;377;12;0;0
78;519;16;2;2
79;1136;31;4;4
80;2240;35;3;3
81;4125;77;4;4
82;5509;135;11;11
83;5985;160;17;17
84;4755;157;14;14
85;3810;154;18;18
86;3002;125;16;16
87;2151;86;12;12
88;1240;54;5;5
89;696;43;2;2
90;624;44;6;6
91;566;29;4;4
92;417;33;5;5
93;342;33;7;7
94;431;51;11;11
95;512;58;6;6
96;583;55;11;11
97;604;45;7;7
98;937;58;8;8
99;1376;84;11;11
100;2155;112;12;12
101;3527;101;11;11
102;5209;177;13;13
103;8379;192;23;23
104;10867;337;4;4
