Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;1;0;0
8;0;0;0;0
9;0;2;0;0
10;0;1;0;0
11;28;27;2;2
12;146;103;4;4
13;385;165;12;12
14;511;140;6;6
15;266;74;0;0
16;185;52;0;0
17;117;34;0;0
18;46;12;0;0
19;32;5;1;1
20;12;2;0;0
21;16;0;0;0
22;48;4;0;0
23;25;4;0;0
24;9;4;1;1
25;16;4;1;1
26;13;3;1;1
27;3;0;0;0
28;5;0;0;0
29;1;0;0;0
30;3;0;0;0
31;6;0;0;0
32;22;1;0;0
33;52;3;1;1
34;194;16;0;0
35;192;36;2;2
36;206;13;0;0
37;227;11;0;0
38;263;31;3;3
39;278;25;1;1
40;257;16;1;1
41;248;16;1;1
42;236;20;1;1
43;451;25;2;2
44;648;43;3;3
45;500;50;3;3
46;375;38;2;2
47;203;18;1;1
48;95;15;1;1
49;86;12;0;0
50;53;10;0;0
51;78;10;1;1
52;73;1;1;1
53;274;13;3;3
54;694;38;3;3
55;1130;71;5;5
56;1017;118;3;3
57;640;88;2;2
58;374;48;1;1
59;182;24;1;1
60;96;19;2;2
61;46;9;1;1
62;29;5;0;0
63;20;5;1;1
64;26;4;0;0
65;31;11;0;0
66;77;4;0;0
67;111;8;2;2
68;80;12;1;1
69;106;15;3;3
70;106;10;2;2
71;74;12;3;3
72;79;4;3;3
73;91;6;2;2
74;71;5;2;2
75;112;7;1;1
76;61;7;2;2
77;52;5;1;1
78;22;2;0;0
79;68;3;0;0
80;273;6;1;1
81;431;4;0;0
82;449;8;0;0
83;409;14;0;0
84;396;19;0;0
85;322;15;1;1
86;278;13;1;1
87;166;25;0;0
88;116;7;0;0
89;60;7;1;1
90;52;5;0;0
91;35;0;0;0
92;25;0;0;0
93;39;3;3;3
94;53;5;0;0
95;84;7;0;0
96;53;4;0;0
97;65;13;0;0
98;151;19;0;0
99;341;17;1;1
100;280;17;1;1
101;350;16;3;3
102;463;9;2;2
103;705;19;3;3
104;1444;11;0;0
