Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;2;0;0;0
10;3;0;0;0
11;39;6;0;0
12;139;54;8;8
13;305;128;20;20
14;165;79;13;13
15;106;38;3;3
16;54;18;1;1
17;62;19;0;0
18;33;10;0;0
19;25;7;1;1
20;32;17;0;0
21;7;1;0;0
22;4;0;0;0
23;1;0;0;0
24;2;0;0;0
25;7;0;0;0
26;3;0;0;0
27;34;0;0;0
28;123;3;1;1
29;39;3;0;0
30;32;3;0;0
31;88;4;3;3
32;111;4;0;0
33;177;11;0;0
34;256;15;1;1
35;418;21;2;2
36;614;23;2;2
37;727;49;4;4
38;1033;72;4;4
39;758;77;6;6
40;630;35;0;0
41;926;58;5;5
42;1230;74;4;4
43;1853;163;9;9
44;2294;154;16;16
45;2145;176;19;19
46;1560;99;12;12
47;810;81;9;9
48;610;51;8;8
49;640;26;2;2
50;619;27;5;5
51;1169;42;1;1
52;1426;71;6;6
53;2868;95;7;7
54;5002;169;15;15
55;6217;269;19;19
56;5018;390;40;40
57;2869;260;20;20
58;1191;154;14;14
59;605;66;9;9
60;267;40;3;3
61;151;15;2;2
62;146;11;1;1
63;211;14;1;1
64;345;19;3;3
65;363;20;2;2
66;496;30;1;1
67;430;36;5;5
68;493;35;1;1
69;400;34;3;3
70;318;23;2;2
71;227;25;3;3
72;301;19;1;1
73;315;23;4;4
74;285;6;1;1
75;251;16;0;0
76;218;15;1;1
77;224;7;0;0
78;257;9;0;0
79;607;11;0;0
80;1250;18;0;0
81;1827;39;2;2
82;2371;52;4;4
83;2126;61;7;7
84;1726;49;3;3
85;1244;39;4;4
86;1285;53;0;0
87;1178;28;5;5
88;641;30;3;3
89;340;23;0;0
90;222;18;3;3
91;177;9;1;1
92;166;9;1;1
93;103;6;0;0
94;117;14;1;1
95;97;3;1;1
96;88;6;0;0
97;129;4;2;2
98;181;6;0;0
99;220;8;1;1
100;368;12;1;1
101;678;11;0;0
102;934;20;3;3
103;2491;20;3;3
104;8367;48;13;13
