Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;1;1;0;0
7;0;0;0;0
8;0;0;0;0
9;4;2;0;0
10;19;12;5;5
11;102;43;9;9
12;366;174;42;42
13;617;353;55;55
14;446;268;36;36
15;206;125;10;10
16;140;86;6;6
17;58;38;2;2
18;39;17;1;1
19;33;15;2;2
20;64;4;0;0
21;52;7;1;1
22;34;1;0;0
23;25;1;0;0
24;27;2;0;0
25;29;1;0;0
26;20;1;0;0
27;35;1;1;1
28;30;1;0;0
29;48;5;0;0
30;133;7;1;1
31;336;18;1;1
32;1000;23;4;4
33;1707;58;10;10
34;2181;85;16;16
35;1868;131;30;30
36;1407;123;15;15
37;941;111;12;12
38;1266;104;25;25
39;907;63;6;6
40;729;46;5;5
41;769;62;7;7
42;820;42;4;4
43;1277;73;8;8
44;1570;77;19;19
45;1571;105;13;13
46;1380;85;19;19
47;1201;81;10;10
48;1243;77;13;13
49;1468;58;8;8
50;1951;122;18;18
51;3311;161;15;15
52;3064;196;32;32
53;3337;166;32;32
54;3997;182;40;40
55;4478;249;37;37
56;4024;237;31;31
57;2665;202;46;46
58;1386;115;24;24
59;829;72;15;15
60;574;44;4;4
61;390;33;3;3
62;271;28;6;6
63;243;22;4;4
64;325;13;1;1
65;374;15;2;2
66;337;15;1;1
67;392;19;4;4
68;348;23;5;5
69;352;22;4;4
70;402;34;7;7
71;321;15;4;4
72;253;16;2;2
73;235;11;0;0
74;236;13;2;2
75;260;14;4;4
76;253;9;1;1
77;261;10;1;1
78;686;26;0;0
79;1980;30;9;9
80;3408;30;7;7
81;5772;106;21;21
82;6798;228;24;24
83;5876;208;33;33
84;3992;222;35;35
85;2822;126;37;37
86;2197;107;24;24
87;1526;94;19;19
88;983;54;19;19
89;831;53;9;9
90;559;33;10;10
91;520;20;2;2
92;370;23;2;2
93;338;12;4;4
94;339;14;2;2
95;485;20;6;6
96;627;11;6;6
97;535;17;2;2
98;912;34;7;7
99;1310;46;8;8
100;1903;55;5;5
101;3069;57;5;5
102;3498;96;8;8
103;5927;128;15;15
104;8105;66;4;4
