Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;4;0;0
3;0;1;1;1
4;0;9;0;0
5;0;26;0;0
6;0;23;0;0
7;1;26;0;0
8;1;56;3;3
9;5;64;2;2
10;45;160;6;6
11;1283;814;100;100
12;6042;3178;369;369
13;9257;4671;378;378
14;7574;3324;265;265
15;5831;2132;121;121
16;5192;1166;57;57
17;3106;605;24;24
18;1238;325;10;10
19;893;203;14;14
20;791;91;5;5
21;1489;90;4;4
22;1147;64;4;4
23;621;71;2;2
24;618;41;3;3
25;367;22;4;4
26;433;24;2;2
27;606;30;3;3
28;1229;52;4;4
29;3151;85;8;8
30;4744;98;7;7
31;5363;135;10;10
32;5243;158;12;12
33;5306;165;16;16
34;5631;178;22;22
35;5972;173;17;17
36;5759;201;15;15
37;4817;212;17;17
38;6005;237;23;23
39;5335;210;18;18
40;6724;310;28;28
41;10187;405;31;31
42;14178;561;54;54
43;23606;773;76;76
44;22332;903;66;66
45;18707;875;67;67
46;12015;781;63;63
47;8306;565;46;46
48;6091;423;29;29
49;5516;342;24;24
50;6093;346;30;30
51;8783;365;26;26
52;9545;473;33;33
53;13327;600;54;54
54;17494;674;59;59
55;20397;866;82;82
56;17916;886;93;93
57;15350;711;64;64
58;11679;579;54;54
59;8811;461;43;43
60;8107;384;39;39
61;7125;421;36;36
62;6395;392;30;30
63;5717;390;24;24
64;6195;342;26;26
65;7358;427;38;38
66;7044;411;46;46
67;7964;423;41;41
68;8062;371;37;37
69;8703;362;40;40
70;8963;356;23;23
71;6613;279;36;36
72;4602;199;17;17
73;4213;103;18;18
74;3848;129;15;15
75;3766;114;11;11
76;3089;99;10;10
77;3829;73;6;6
78;6245;83;12;12
79;26669;157;15;15
80;40606;394;44;44
81;40933;595;54;54
82;32885;691;78;78
83;20916;611;45;45
84;13155;507;45;45
85;9219;355;34;34
86;7202;221;30;30
87;5019;214;23;23
88;3739;163;20;20
89;3291;84;5;5
90;2658;87;11;11
91;2211;58;9;9
92;2268;66;5;5
93;1883;50;1;1
94;1642;56;4;4
95;1507;56;10;10
96;1697;51;5;5
97;2137;56;4;4
98;3966;102;7;7
99;6234;125;5;5
100;8285;167;11;11
101;12104;173;27;27
102;15114;186;22;22
103;24236;228;33;33
104;66078;229;19;19
