Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;2;1;1
7;0;1;0;0
8;0;0;1;1
9;0;0;0;0
10;2;7;1;1
11;45;19;1;1
12;208;94;11;11
13;374;238;27;27
14;287;93;27;27
15;160;42;7;7
16;99;48;4;4
17;54;24;1;1
18;30;14;1;1
19;15;2;0;0
20;11;2;0;0
21;11;2;0;0
22;17;1;0;0
23;6;1;0;0
24;4;0;0;0
25;21;1;0;0
26;7;0;0;0
27;11;1;0;0
28;10;3;0;0
29;8;0;0;0
30;23;5;0;0
31;69;8;1;1
32;153;11;0;0
33;384;17;4;4
34;532;32;5;5
35;765;34;3;3
36;1134;63;7;7
37;1006;77;9;9
38;1075;60;5;5
39;820;44;5;5
40;761;38;4;4
41;829;71;7;7
42;976;84;6;6
43;1753;85;9;9
44;2486;148;18;18
45;2833;156;20;20
46;3424;189;33;33
47;2932;221;22;22
48;2100;135;14;14
49;1438;104;9;9
50;977;69;10;10
51;1179;87;10;10
52;1125;75;8;8
53;2138;94;8;8
54;3687;173;17;17
55;7070;347;29;29
56;8235;470;49;49
57;7135;534;46;46
58;5445;407;45;45
59;3050;276;27;27
60;1381;151;22;22
61;808;96;6;6
62;667;65;13;13
63;572;51;3;3
64;550;40;8;8
65;865;45;5;5
66;1006;57;10;10
67;1553;68;9;9
68;1251;72;9;9
69;1072;86;14;14
70;740;73;14;14
71;533;48;5;5
72;609;40;6;6
73;740;40;5;5
74;883;41;4;4
75;982;41;1;1
76;939;46;2;2
77;957;42;1;1
78;968;29;1;1
79;1495;38;2;2
80;2574;56;2;2
81;3686;72;2;2
82;4318;96;3;3
83;4322;106;1;1
84;3688;71;1;1
85;2465;105;2;2
86;1652;61;5;5
87;1067;30;0;0
88;581;42;0;0
89;354;24;3;3
90;293;19;0;0
91;208;15;0;0
92;113;2;0;0
93;106;6;1;1
94;98;5;1;1
95;111;4;0;0
96;145;3;1;1
97;187;1;0;0
98;269;8;0;0
99;487;4;0;0
100;759;13;0;0
101;1192;13;1;1
102;1304;16;0;0
103;4398;23;2;2
104;7775;5;1;1
