Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;1;0;0;0
10;11;0;0;0
11;47;7;0;0
12;308;23;12;12
13;754;72;20;20
14;361;66;7;7
15;304;102;6;6
16;198;38;0;0
17;127;24;0;0
18;94;5;0;0
19;41;7;0;0
20;29;5;0;0
21;19;2;0;0
22;22;3;0;0
23;11;4;1;1
24;11;3;0;0
25;15;0;0;0
26;13;3;0;0
27;6;2;0;0
28;7;2;0;0
29;28;2;0;0
30;33;2;1;1
31;96;16;2;2
32;216;20;2;2
33;366;25;2;2
34;400;26;2;2
35;620;37;2;2
36;719;35;6;6
37;860;47;3;3
38;597;47;5;5
39;385;39;6;6
40;346;33;7;7
41;319;25;5;5
42;562;44;5;5
43;1096;66;8;8
44;1189;138;14;14
45;1555;125;20;20
46;1488;136;19;19
47;1315;131;18;18
48;786;116;10;10
49;886;91;14;14
50;521;94;11;11
51;461;55;6;6
52;460;34;10;10
53;699;55;5;5
54;942;98;15;15
55;1109;138;16;16
56;1185;137;15;15
57;1039;139;22;22
58;745;75;14;14
59;549;85;13;13
60;466;70;12;12
61;345;68;14;14
62;277;35;10;10
63;275;49;3;3
64;288;42;11;11
65;364;52;10;10
66;417;53;8;8
67;520;57;9;9
68;691;64;13;13
69;733;81;11;11
70;750;91;13;13
71;446;82;17;17
72;265;48;12;12
73;238;25;4;4
74;256;11;5;5
75;217;27;5;5
76;161;22;4;4
77;357;20;3;3
78;575;24;0;0
79;1198;28;4;4
80;1662;52;9;9
81;1849;79;12;12
82;2230;101;17;17
83;1560;101;22;22
84;1430;79;12;12
85;1291;81;13;13
86;935;64;12;12
87;860;46;8;8
88;513;26;5;5
89;369;34;3;3
90;289;26;3;3
91;253;21;2;2
92;252;20;2;2
93;179;15;3;3
94;127;17;2;2
95;128;12;1;1
96;108;6;3;3
97;149;11;1;1
98;233;13;0;0
99;353;21;2;2
100;543;35;6;6
101;898;45;10;10
102;1207;49;12;12
103;1773;68;17;17
104;4042;83;17;17
