Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;2;0;0
8;0;0;0;0
9;0;1;1;1
10;3;7;2;2
11;140;129;6;6
12;776;512;26;26
13;1411;899;43;43
14;1617;625;21;21
15;765;298;6;6
16;466;178;7;7
17;268;96;8;8
18;133;59;2;2
19;130;54;6;6
20;175;23;1;1
21;126;11;0;0
22;148;10;1;1
23;105;7;1;1
24;71;8;1;1
25;56;10;0;0
26;73;6;0;0
27;54;14;0;0
28;76;8;1;1
29;81;10;1;1
30;57;4;0;0
31;108;8;0;0
32;163;17;2;2
33;230;19;2;2
34;371;20;0;0
35;671;45;4;4
36;961;61;2;2
37;1222;94;7;7
38;1293;110;5;5
39;1057;78;8;8
40;682;66;4;4
41;664;41;1;1
42;653;48;2;2
43;1030;70;1;1
44;1183;92;8;8
45;1078;90;9;9
46;984;83;7;7
47;833;69;6;6
48;623;89;4;4
49;624;45;1;1
50;695;58;1;1
51;1114;74;1;1
52;1209;85;11;11
53;1930;126;9;9
54;3272;185;14;14
55;4830;313;11;11
56;3938;311;21;21
57;2296;268;17;17
58;1100;135;17;17
59;480;84;8;8
60;217;39;3;3
61;136;21;1;1
62;124;9;1;1
63;127;18;1;1
64;143;11;0;0
65;218;25;1;1
66;331;38;4;4
67;436;38;4;4
68;619;54;2;2
69;511;56;6;6
70;498;52;8;8
71;400;40;4;4
72;304;30;2;2
73;282;27;2;2
74;210;26;1;1
75;179;13;0;0
76;262;15;3;3
77;194;13;2;2
78;125;8;2;2
79;207;11;1;1
80;362;11;1;1
81;750;14;2;2
82;1219;36;3;3
83;1331;49;4;4
84;1060;35;4;4
85;817;43;2;2
86;718;50;3;3
87;626;36;4;4
88;400;39;6;6
89;309;21;4;4
90;201;19;1;1
91;155;10;1;1
92;154;8;0;0
93;111;11;0;0
94;90;6;1;1
95;71;5;0;0
96;69;5;0;0
97;84;14;0;0
98;123;9;0;0
99;195;13;1;1
100;274;16;1;1
101;320;14;4;4
102;572;15;0;0
103;1241;26;1;1
104;4175;25;1;1
