Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;1;1
3;0;2;1;1
4;0;2;0;0
5;0;2;0;0
6;0;3;1;1
7;0;1;0;0
8;0;1;0;0
9;0;5;0;0
10;12;8;1;1
11;117;43;7;7
12;523;212;25;25
13;1087;388;56;56
14;846;271;35;35
15;534;131;14;14
16;397;96;11;11
17;258;61;6;6
18;134;37;5;5
19;80;34;2;2
20;30;8;2;2
21;44;7;0;0
22;9;4;0;0
23;6;2;0;0
24;4;0;0;0
25;9;0;0;0
26;2;1;0;0
27;8;0;0;0
28;7;2;0;0
29;28;4;0;0
30;31;4;0;0
31;109;6;1;1
32;313;16;0;0
33;630;52;7;7
34;861;66;3;3
35;966;65;7;7
36;826;73;4;4
37;712;67;8;8
38;656;63;12;12
39;582;47;5;5
40;473;38;3;3
41;681;61;8;8
42;891;93;12;12
43;1562;143;19;19
44;2027;159;24;24
45;1664;162;26;26
46;1388;142;25;25
47;1372;116;19;19
48;1060;81;14;14
49;944;96;14;14
50;999;108;16;16
51;1120;110;13;13
52;1042;135;17;17
53;1485;135;18;18
54;2430;183;25;25
55;3943;304;56;56
56;5365;432;76;76
57;4734;528;114;114
58;3276;354;80;80
59;1918;274;42;42
60;1118;160;30;30
61;756;111;18;18
62;576;86;20;20
63;585;66;18;18
64;482;53;11;11
65;431;49;8;8
66;385;51;8;8
67;477;55;8;8
68;500;57;10;10
69;500;58;11;11
70;432;62;14;14
71;489;44;7;7
72;432;43;5;5
73;405;22;7;7
74;306;35;6;6
75;245;19;3;3
76;278;28;6;6
77;315;16;5;5
78;335;27;2;2
79;559;21;4;4
80;1141;24;5;5
81;2780;53;8;8
82;3707;97;15;15
83;3407;116;13;13
84;3383;120;20;20
85;2308;104;16;16
86;1919;82;22;22
87;1434;57;9;9
88;799;41;10;10
89;467;33;6;6
90;189;16;3;3
91;125;18;2;2
92;84;9;1;1
93;85;12;1;1
94;79;5;2;2
95;78;2;0;0
96;112;14;3;3
97;220;15;6;6
98;274;21;2;2
99;519;24;3;3
100;852;37;5;5
101;1291;42;0;0
102;1648;48;7;7
103;2827;49;6;6
104;7470;66;11;11
