Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;2;0;0
9;0;2;1;1
10;1;8;0;0
11;62;71;5;5
12;147;184;15;15
13;279;256;30;30
14;482;266;8;8
15;279;147;8;8
16;207;119;6;6
17;132;90;1;1
18;191;141;1;1
19;241;172;2;2
20;191;90;0;0
21;68;10;1;1
22;44;11;0;0
23;32;10;0;0
24;18;5;0;0
25;5;1;0;0
26;9;4;0;0
27;7;3;0;0
28;4;3;0;0
29;13;3;0;0
30;13;3;1;1
31;10;3;0;0
32;28;1;0;0
33;81;6;0;0
34;105;5;1;1
35;142;13;2;2
36;192;12;0;0
37;224;27;3;3
38;407;26;1;1
39;454;31;3;3
40;350;33;2;2
41;480;38;5;5
42;632;35;3;3
43;897;47;2;2
44;972;42;1;1
45;817;54;4;4
46;768;72;2;2
47;585;39;3;3
48;419;25;3;3
49;304;19;0;0
50;225;12;2;2
51;304;14;1;1
52;268;20;2;2
53;557;17;3;3
54;1065;31;0;0
55;1985;95;4;4
56;2015;119;5;5
57;1383;116;14;14
58;642;62;5;5
59;241;26;0;0
60;102;8;0;0
61;67;8;0;0
62;27;5;0;0
63;29;4;0;0
64;44;3;0;0
65;107;6;0;0
66;124;12;1;1
67;246;13;0;0
68;202;20;2;2
69;188;12;0;0
70;155;16;0;0
71;153;7;1;1
72;106;12;0;0
73;83;10;1;1
74;90;7;2;2
75;69;7;1;1
76;45;4;0;0
77;20;2;0;0
78;46;0;0;0
79;93;5;0;0
80;234;5;0;0
81;399;4;1;1
82;461;16;1;1
83;473;19;0;0
84;433;24;0;0
85;444;20;0;0
86;361;23;0;0
87;300;27;1;1
88;207;22;3;3
89;108;11;1;1
90;92;11;1;1
91;50;13;2;2
92;35;1;0;0
93;68;3;0;0
94;71;9;0;0
95;35;2;0;0
96;69;5;0;0
97;62;3;1;1
98;56;9;0;0
99;152;9;3;3
100;213;11;0;0
101;218;15;1;1
102;284;5;1;1
103;520;9;2;2
104;1389;16;0;0
