Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;1;1;1
8;0;0;0;0
9;1;0;0;0
10;0;0;0;0
11;11;4;0;0
12;67;42;3;3
13;185;95;17;17
14;153;50;8;8
15;93;35;3;3
16;63;28;5;5
17;24;10;2;2
18;26;12;0;0
19;30;8;0;0
20;62;6;1;1
21;50;6;0;0
22;24;2;0;0
23;36;3;0;0
24;14;2;0;0
25;90;3;0;0
26;144;7;0;0
27;92;8;2;2
28;149;10;2;2
29;392;22;1;1
30;335;25;1;1
31;394;26;4;4
32;404;28;3;3
33;321;17;1;1
34;335;28;5;5
35;281;27;1;1
36;218;20;1;1
37;323;20;1;1
38;245;24;3;3
39;334;27;4;4
40;325;23;3;3
41;573;35;4;4
42;731;74;8;8
43;1445;96;9;9
44;1624;99;14;14
45;1168;89;11;11
46;803;71;4;4
47;566;48;6;6
48;277;27;4;4
49;271;23;4;4
50;150;20;0;0
51;166;19;1;1
52;156;21;2;2
53;271;21;3;3
54;430;22;4;4
55;556;36;4;4
56;426;50;2;2
57;353;29;2;2
58;278;25;5;5
59;163;17;2;2
60;139;11;0;0
61;196;17;2;2
62;184;15;1;1
63;138;9;1;1
64;106;16;3;3
65;108;5;4;4
66;168;11;1;1
67;257;16;1;1
68;252;26;3;3
69;261;24;4;4
70;252;23;5;5
71;193;13;1;1
72;199;8;2;2
73;138;5;1;1
74;136;11;2;2
75;137;6;1;1
76;65;6;0;0
77;44;1;1;1
78;65;4;0;0
79;211;6;0;0
80;804;4;1;1
81;1150;22;3;3
82;1339;41;5;5
83;992;41;5;5
84;704;33;6;6
85;503;25;1;1
86;446;19;1;1
87;323;11;2;2
88;266;12;4;4
89;148;16;1;1
90;117;6;0;0
91;79;4;0;0
92;59;5;1;1
93;45;2;0;0
94;43;3;0;0
95;86;5;1;1
96;112;6;1;1
97;91;11;1;1
98;223;18;3;3
99;427;13;0;0
100;834;28;2;2
101;1275;27;3;3
102;1229;36;3;3
103;1326;34;3;3
104;2339;29;3;3
