Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;0;0
3;0;0;0;0
4;0;1;0;0
5;0;1;0;0
6;0;1;0;0
7;0;0;0;0
8;0;1;0;0
9;1;5;1;1
10;6;13;1;1
11;44;29;2;2
12;215;126;12;12
13;466;253;28;28
14;295;152;18;18
15;196;92;9;9
16;100;33;5;5
17;53;19;6;6
18;48;17;2;2
19;39;11;4;4
20;29;5;1;1
21;23;8;2;2
22;10;3;0;0
23;5;1;0;0
24;4;0;0;0
25;3;0;0;0
26;11;3;0;0
27;5;0;0;0
28;4;0;1;1
29;11;1;0;0
30;12;0;0;0
31;24;1;0;0
32;117;7;0;0
33;128;11;0;0
34;173;12;1;1
35;380;12;2;2
36;410;28;5;5
37;472;36;0;0
38;643;48;2;2
39;817;59;6;6
40;1016;59;6;6
41;1522;92;6;6
42;1961;122;11;11
43;2709;164;11;11
44;3143;228;19;19
45;2630;222;18;18
46;2603;256;19;19
47;1745;172;5;5
48;987;117;12;12
49;810;80;9;9
50;713;73;9;9
51;810;74;10;10
52;625;50;5;5
53;906;55;5;5
54;1700;91;2;2
55;2833;149;15;15
56;2977;221;19;19
57;2379;201;19;19
58;1620;182;13;13
59;929;117;11;11
60;502;63;9;9
61;383;44;1;1
62;287;35;8;8
63;289;35;2;2
64;326;32;3;3
65;390;31;6;6
66;606;40;8;8
67;1198;75;9;9
68;1213;77;11;11
69;985;89;8;8
70;787;70;7;7
71;691;66;11;11
72;703;65;7;7
73;738;57;10;10
74;866;44;5;5
75;891;46;8;8
76;600;48;1;1
77;426;35;5;5
78;542;23;2;2
79;849;26;1;1
80;920;28;0;0
81;1063;31;0;0
82;1459;37;4;4
83;2004;46;5;5
84;1990;65;2;2
85;1521;71;6;6
86;859;42;4;4
87;623;47;7;7
88;412;28;2;2
89;163;10;1;1
90;120;14;5;5
91;101;10;1;1
92;80;8;0;0
93;42;6;0;0
94;66;7;0;0
95;134;9;1;1
96;119;11;0;0
97;120;8;0;0
98;247;13;0;0
99;240;19;1;1
100;342;21;2;2
101;460;18;0;0
102;663;13;1;1
103;1930;29;1;1
104;3912;46;4;4
