Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;1;0;0
5;0;0;0;0
6;0;1;0;0
7;0;1;0;0
8;0;0;0;0
9;4;2;2;2
10;1;5;0;0
11;63;33;3;3
12;295;175;17;17
13;614;429;23;23
14;365;237;9;9
15;455;162;6;6
16;365;132;0;0
17;407;80;0;0
18;163;50;1;1
19;88;29;0;0
20;50;18;1;1
21;27;15;0;0
22;46;10;0;0
23;15;5;0;0
24;18;8;0;0
25;7;3;0;0
26;8;6;0;0
27;9;4;0;0
28;9;1;0;0
29;14;3;0;0
30;14;4;0;0
31;12;5;0;0
32;50;4;0;0
33;57;12;0;0
34;126;4;0;0
35;409;11;0;0
36;319;12;1;1
37;654;29;4;4
38;678;46;1;1
39;859;50;9;9
40;1059;112;6;6
41;1297;143;8;8
42;1593;175;15;15
43;1740;184;10;10
44;1912;177;4;4
45;1728;163;13;13
46;1841;197;12;12
47;1101;130;4;4
48;651;72;6;6
49;453;61;2;2
50;280;45;3;3
51;406;52;6;6
52;276;18;0;0
53;413;36;6;6
54;1164;55;6;6
55;2510;149;13;13
56;3522;268;12;12
57;2960;266;22;22
58;1885;222;13;13
59;836;106;5;5
60;587;67;6;6
61;434;53;1;1
62;275;27;3;3
63;245;20;0;0
64;182;25;3;3
65;207;18;1;1
66;213;26;3;3
67;355;29;5;5
68;390;39;5;5
69;323;36;5;5
70;384;31;9;9
71;363;37;7;7
72;312;29;3;3
73;266;23;11;11
74;259;15;1;1
75;265;22;5;5
76;198;20;0;0
77;221;16;2;2
78;283;18;0;0
79;1449;17;2;2
80;1607;45;3;3
81;1448;78;10;10
82;1187;76;3;3
83;819;46;6;6
84;571;27;4;4
85;536;23;1;1
86;493;20;2;2
87;254;21;5;5
88;142;12;1;1
89;103;7;0;0
90;123;5;0;0
91;80;5;0;0
92;73;4;0;0
93;38;1;0;0
94;30;6;1;1
95;108;9;0;0
96;59;9;2;2
97;46;5;0;0
98;195;17;4;4
99;475;17;0;0
100;679;43;4;4
101;1001;48;9;9
102;1231;48;5;5
103;2044;55;7;7
104;3869;49;2;2
