Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;1;2;0;0
8;0;1;0;0
9;0;1;1;1
10;0;4;0;0
11;41;7;1;1
12;197;19;4;4
13;482;50;5;5
14;369;75;3;3
15;317;65;9;9
16;226;41;9;9
17;116;27;4;4
18;42;9;3;3
19;36;7;2;2
20;65;8;1;1
21;199;4;1;1
22;153;4;1;1
23;173;4;0;0
24;118;4;0;0
25;179;4;0;0
26;332;3;2;2
27;703;8;2;2
28;1247;28;3;3
29;1632;28;2;2
30;1285;16;1;1
31;839;29;7;7
32;557;20;2;2
33;541;17;1;1
34;644;12;1;1
35;564;11;0;0
36;341;15;0;0
37;386;8;1;1
38;326;14;0;0
39;374;12;1;1
40;427;11;0;0
41;755;14;1;1
42;1051;20;1;1
43;1509;19;2;2
44;1461;20;0;0
45;1436;27;3;3
46;1127;19;2;2
47;869;26;1;1
48;789;25;0;0
49;518;21;0;0
50;617;11;1;1
51;671;7;0;0
52;778;10;1;1
53;927;10;1;1
54;1218;26;0;0
55;1335;24;4;4
56;1282;29;5;5
57;1238;14;2;2
58;960;33;2;2
59;720;21;1;1
60;751;14;1;1
61;679;9;1;1
62;641;13;0;0
63;695;16;2;2
64;829;15;1;1
65;1031;25;4;4
66;1000;18;1;1
67;1201;25;2;2
68;1239;22;3;3
69;1179;24;3;3
70;1000;15;0;0
71;611;8;1;1
72;365;9;2;2
73;305;6;0;0
74;244;3;0;0
75;142;3;0;0
76;138;0;0;0
77;117;0;0;0
78;198;4;1;1
79;797;1;2;2
80;1533;5;0;0
81;1960;12;2;2
82;1830;15;2;2
83;1363;17;2;2
84;1093;16;1;1
85;806;16;0;0
86;666;4;0;0
87;475;11;3;3
88;368;5;1;1
89;308;4;0;0
90;294;3;0;0
91;226;1;0;0
92;292;4;0;0
93;272;3;0;0
94;222;7;0;0
95;225;7;1;1
96;299;4;0;0
97;341;3;0;0
98;492;8;1;1
99;820;4;0;0
100;1067;1;0;0
101;1410;2;0;0
102;1700;2;0;0
103;1933;2;0;0
104;4014;2;0;0
