Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;0;0
3;0;0;0;0
4;0;1;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;0;2;0;0
10;1;1;0;0
11;20;4;1;1
12;95;33;5;5
13;349;69;7;7
14;182;48;4;4
15;75;18;3;3
16;36;7;2;2
17;14;3;2;2
18;12;2;1;1
19;2;2;2;2
20;2;0;0;0
21;3;1;0;0
22;3;1;0;0
23;0;0;0;0
24;4;1;0;0
25;2;0;0;0
26;29;1;0;0
27;115;4;0;0
28;98;2;1;1
29;17;3;0;0
30;34;4;0;0
31;7;1;0;0
32;43;5;1;1
33;62;7;1;1
34;271;11;1;1
35;472;38;2;2
36;260;50;4;4
37;381;44;4;4
38;163;32;4;4
39;157;19;3;3
40;119;14;1;1
41;178;18;2;2
42;194;12;1;1
43;364;25;3;3
44;491;35;5;5
45;522;47;2;2
46;441;42;7;7
47;522;26;2;2
48;285;26;2;2
49;229;21;0;0
50;154;21;5;5
51;164;12;4;4
52;186;10;1;1
53;295;19;0;0
54;459;20;2;2
55;640;38;7;7
56;1010;65;8;8
57;995;60;7;7
58;573;62;15;15
59;385;40;7;7
60;225;27;1;1
61;132;16;2;2
62;73;14;2;2
63;83;9;0;0
64;76;2;0;0
65;70;13;1;1
66;61;9;3;3
67;91;5;1;1
68;112;9;2;2
69;85;10;1;1
70;121;10;0;0
71;90;5;0;0
72;66;10;2;2
73;144;6;1;1
74;104;8;2;2
75;89;2;0;0
76;75;4;0;0
77;75;4;0;0
78;114;6;2;2
79;157;7;1;1
80;328;8;0;0
81;800;17;3;3
82;1201;31;4;4
83;1045;39;4;4
84;725;35;5;5
85;531;33;3;3
86;664;22;1;1
87;725;22;2;2
88;395;32;3;3
89;183;18;2;2
90;135;8;1;1
91;61;6;0;0
92;38;3;1;1
93;19;3;1;1
94;6;2;1;1
95;14;0;0;0
96;19;1;0;0
97;33;2;0;0
98;100;1;0;0
99;190;5;0;0
100;290;6;2;2
101;390;14;4;4
102;394;11;2;2
103;654;12;2;2
104;1640;20;3;3
