Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;9;0;0
3;1;25;1;1
4;0;19;1;1
5;0;23;0;0
6;0;30;2;2
7;1;39;5;5
8;0;87;7;7
9;43;166;16;16
10;818;966;98;98
11;5506;3815;370;370
12;13637;9606;777;777
13;17157;10370;718;718
14;11035;6099;448;448
15;7262;3617;229;229
16;5224;2029;150;150
17;3561;980;97;97
18;2454;527;60;60
19;1612;353;34;34
20;1207;222;18;18
21;899;150;22;22
22;894;114;13;13
23;879;92;17;17
24;694;79;11;11
25;607;82;10;10
26;332;71;8;8
27;322;48;4;4
28;287;43;0;0
29;572;77;2;2
30;1356;105;5;5
31;3042;261;16;16
32;6216;529;48;48
33;11262;989;62;62
34;16646;1411;118;118
35;18552;1641;138;138
36;21139;1649;124;124
37;27312;2042;154;154
38;31321;2315;164;164
39;25639;2264;182;182
40;19384;1855;160;160
41;16574;1608;126;126
42;13843;1629;116;116
43;14550;1505;134;134
44;13500;1364;101;101
45;11562;1107;115;115
46;10005;1000;90;90
47;8731;875;72;72
48;7736;760;78;78
49;7730;745;72;72
50;8579;715;85;85
51;12806;949;82;82
52;11311;864;87;87
53;16576;1097;102;102
54;25355;1390;152;152
55;29758;2116;204;204
56;36073;2571;246;246
57;31751;2195;205;205
58;23062;1886;183;183
59;15295;1452;140;140
60;11101;1157;121;121
61;8760;888;88;88
62;7842;880;103;103
63;7868;906;74;74
64;7697;845;115;115
65;10812;1033;127;127
66;9723;1136;127;127
67;14643;1404;154;154
68;14023;1437;178;178
69;13775;1432;160;160
70;12290;1249;141;141
71;9062;1043;123;123
72;7769;796;86;86
73;7005;614;80;80
74;5781;551;47;47
75;4394;447;50;50
76;3215;322;25;25
77;2649;245;18;18
78;3103;187;16;16
79;5100;213;8;8
80;11778;331;21;21
81;23134;681;41;41
82;28077;1093;92;92
83;25980;1210;123;123
84;18308;1341;155;155
85;13550;1174;119;119
86;10103;904;93;93
87;8116;726;86;86
88;5528;499;56;56
89;3590;303;33;33
90;2802;231;21;21
91;2263;185;12;12
92;1795;154;15;15
93;1626;142;8;8
94;1562;141;14;14
95;1968;137;13;13
96;1948;155;20;20
97;2285;179;15;15
98;2984;192;14;14
99;4306;226;23;23
100;5505;257;39;39
101;7786;267;39;39
102;10400;319;42;42
103;40242;519;38;38
104;85775;679;65;65
