Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;1;0;0
7;0;0;0;0
8;0;0;0;0
9;0;2;0;0
10;0;0;0;0
11;5;8;0;0
12;71;49;8;8
13;249;127;14;14
14;189;89;4;4
15;147;50;3;3
16;84;30;1;1
17;117;22;0;0
18;61;9;0;0
19;32;4;0;0
20;36;6;0;0
21;32;2;0;0
22;28;4;0;0
23;13;5;0;0
24;13;1;0;0
25;11;5;0;0
26;6;1;1;1
27;2;0;0;0
28;3;0;0;0
29;8;1;0;0
30;5;0;0;0
31;19;1;0;0
32;32;0;0;0
33;68;2;0;0
34;133;5;0;0
35;140;6;1;1
36;247;14;2;2
37;311;21;2;2
38;402;31;3;3
39;350;31;4;4
40;388;38;5;5
41;445;38;10;10
42;672;43;5;5
43;777;77;10;10
44;813;78;7;7
45;802;75;10;10
46;587;60;6;6
47;558;55;6;6
48;370;43;3;3
49;319;49;4;4
50;312;44;1;1
51;304;61;6;6
52;202;45;4;4
53;353;34;3;3
54;632;49;10;10
55;1313;84;12;12
56;1817;131;18;18
57;1876;140;22;22
58;1059;117;15;15
59;461;64;5;5
60;232;32;1;1
61;113;25;4;4
62;77;15;2;2
63;88;22;1;1
64;181;16;4;4
65;165;19;3;3
66;209;15;6;6
67;190;21;6;6
68;160;27;4;4
69;144;12;3;3
70;110;13;3;3
71;134;19;0;0
72;88;10;4;4
73;143;16;1;1
74;143;17;1;1
75;103;11;4;4
76;65;9;1;1
77;45;6;1;1
78;36;8;0;0
79;288;6;0;0
80;947;27;5;5
81;952;47;6;6
82;957;81;9;9
83;702;46;3;3
84;348;14;1;1
85;250;22;3;3
86;162;16;0;0
87;105;5;0;0
88;85;6;0;0
89;80;7;1;1
90;38;3;1;1
91;47;7;0;0
92;27;2;0;0
93;21;0;0;0
94;24;2;0;0
95;38;6;1;1
96;40;6;1;1
97;36;4;2;2
98;62;5;0;0
99;106;4;0;0
100;138;10;0;0
101;401;15;2;2
102;508;16;0;0
103;1083;11;0;0
104;2796;26;3;3
