Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;1;0;0
5;0;1;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;0;0;0;0
10;4;4;1;1
11;27;11;3;3
12;168;63;15;15
13;227;128;30;30
14;145;64;18;18
15;55;19;3;3
16;24;7;1;1
17;27;8;1;1
18;13;4;0;0
19;12;4;0;0
20;11;4;0;0
21;9;3;2;2
22;11;2;1;1
23;8;4;1;1
24;4;3;1;1
25;31;4;1;1
26;10;1;0;0
27;13;3;1;1
28;11;3;2;2
29;72;6;0;0
30;16;5;1;1
31;52;3;0;0
32;205;14;1;1
33;602;35;4;4
34;1122;84;12;12
35;1749;131;16;16
36;1751;113;22;22
37;1287;116;30;30
38;721;70;12;12
39;762;58;14;14
40;474;41;10;10
41;364;36;10;10
42;252;20;8;8
43;284;22;4;4
44;228;14;4;4
45;285;21;7;7
46;236;17;6;6
47;199;16;2;2
48;223;27;7;7
49;254;18;2;2
50;240;23;3;3
51;304;32;4;4
52;357;27;10;10
53;653;36;7;7
54;1085;87;12;12
55;1583;93;24;24
56;1646;119;23;23
57;1587;131;33;33
58;1145;90;27;27
59;892;95;23;23
60;624;53;18;18
61;699;49;16;16
62;684;48;13;13
63;677;46;11;11
64;820;60;16;16
65;759;65;23;23
66;746;71;20;20
67;848;67;20;20
68;678;56;21;21
69;449;32;9;9
70;410;28;8;8
71;393;32;10;10
72;450;28;6;6
73;392;22;7;7
74;310;18;5;5
75;301;4;1;1
76;336;14;4;4
77;272;7;1;1
78;290;16;2;2
79;635;6;3;3
80;1169;23;2;2
81;1999;57;9;9
82;2443;91;19;19
83;2583;100;31;31
84;2198;93;24;24
85;1486;84;23;23
86;1015;42;15;15
87;701;39;13;13
88;527;35;5;5
89;463;29;11;11
90;428;26;10;10
91;321;15;4;4
92;283;12;4;4
93;201;14;1;1
94;215;9;3;3
95;307;17;4;4
96;316;23;3;3
97;410;43;8;8
98;613;40;10;10
99;966;41;8;8
100;1209;45;16;16
101;1550;51;13;13
102;1803;53;14;14
103;3077;55;21;21
104;6656;78;14;14
