Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;1;0;0
4;0;2;0;0
5;0;0;0;0
6;0;2;0;0
7;0;2;0;0
8;0;3;0;0
9;3;1;1;1
10;5;7;0;0
11;87;46;6;6
12;320;207;23;23
13;878;397;68;68
14;525;280;29;29
15;361;119;13;13
16;134;58;5;5
17;79;39;1;1
18;58;20;2;2
19;45;14;0;0
20;21;6;1;1
21;11;4;1;1
22;4;0;0;0
23;12;2;1;1
24;7;3;0;0
25;3;1;0;0
26;4;0;0;0
27;4;0;0;0
28;3;1;1;1
29;28;1;0;0
30;99;2;1;1
31;152;6;0;0
32;236;10;1;1
33;407;24;4;4
34;563;33;1;1
35;858;47;5;5
36;1175;119;10;10
37;1566;179;13;13
38;2286;198;20;20
39;2198;242;13;13
40;2697;215;17;17
41;3911;237;10;10
42;4615;313;20;20
43;6734;436;40;40
44;7279;546;51;51
45;6221;458;57;57
46;5667;404;46;46
47;3656;299;36;36
48;1665;151;26;26
49;1206;114;8;8
50;923;91;14;14
51;988;75;12;12
52;984;79;12;12
53;1432;91;7;7
54;3308;199;16;16
55;6770;335;38;38
56;8476;477;46;46
57;8121;616;45;45
58;5665;443;33;33
59;3546;315;40;40
60;1922;206;13;13
61;1486;154;18;18
62;1200;103;9;9
63;1246;132;14;14
64;1321;119;11;11
65;1679;126;9;9
66;1789;197;27;27
67;3125;227;31;31
68;3079;293;30;30
69;2666;243;33;33
70;2277;183;26;26
71;2217;189;27;27
72;2374;169;18;18
73;2338;154;16;16
74;2570;147;13;13
75;2335;129;9;9
76;2310;144;15;15
77;1882;106;8;8
78;1553;89;8;8
79;1741;51;4;4
80;2387;82;3;3
81;3631;105;4;4
82;4842;133;11;11
83;5787;204;13;13
84;5380;180;11;11
85;4813;245;19;19
86;3533;218;15;15
87;2751;156;5;5
88;1544;124;13;13
89;1031;85;8;8
90;762;64;4;4
91;535;33;6;6
92;382;34;3;3
93;225;19;1;1
94;242;20;1;1
95;221;12;1;1
96;218;11;0;0
97;235;9;0;0
98;363;19;1;1
99;880;28;1;1
100;1265;32;3;3
101;1979;67;4;4
102;2216;71;6;6
103;7016;88;9;9
104;11831;113;11;11
