Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;1;0;0
6;0;1;0;0
7;0;0;0;0
8;0;0;0;0
9;0;0;0;0
10;0;3;0;0
11;23;29;3;3
12;127;90;9;9
13;409;126;14;14
14;295;86;10;10
15;150;57;3;3
16;154;19;1;1
17;97;25;1;1
18;40;8;0;0
19;31;7;0;0
20;18;4;0;0
21;27;2;0;0
22;35;1;0;0
23;31;2;0;0
24;29;1;0;0
25;12;3;1;1
26;10;1;1;1
27;8;0;0;0
28;6;0;0;0
29;18;0;0;0
30;25;0;0;0
31;74;4;0;0
32;75;7;0;0
33;105;5;0;0
34;115;11;1;1
35;75;9;1;1
36;84;12;2;2
37;119;5;1;1
38;130;8;1;1
39;138;12;2;2
40;55;7;2;2
41;95;9;2;2
42;188;16;1;1
43;204;18;1;1
44;230;22;2;2
45;345;21;0;0
46;316;18;4;4
47;237;21;2;2
48;129;12;2;2
49;73;16;3;3
50;61;9;1;1
51;34;7;0;0
52;35;3;0;0
53;96;6;0;0
54;154;13;3;3
55;438;36;2;2
56;495;53;6;6
57;591;69;4;4
58;414;55;6;6
59;252;52;6;6
60;224;31;4;4
61;147;36;8;8
62;135;27;0;0
63;106;16;2;2
64;107;21;1;1
65;109;18;1;1
66;102;17;1;1
67;129;13;3;3
68;99;17;1;1
69;66;5;0;0
70;75;8;1;1
71;63;6;0;0
72;28;4;0;0
73;43;3;0;0
74;32;6;0;0
75;31;3;0;0
76;12;2;1;1
77;9;3;0;0
78;23;5;0;0
79;88;1;0;0
80;316;1;1;1
81;441;11;0;0
82;432;11;2;2
83;302;14;1;1
84;210;10;2;2
85;144;5;1;1
86;62;3;0;0
87;76;1;1;1
88;41;2;0;0
89;33;1;0;0
90;22;0;0;0
91;15;1;0;0
92;17;2;0;0
93;15;2;0;0
94;13;0;1;1
95;32;3;1;1
96;49;2;0;0
97;24;3;0;0
98;17;2;0;0
99;29;2;0;0
100;65;6;0;0
101;175;8;0;0
102;216;8;1;1
103;498;7;0;0
104;1020;4;0;0
