Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;3;0;0
3;0;3;0;0
4;0;5;0;0
5;0;6;0;0
6;0;1;0;0
7;0;5;0;0
8;0;11;0;0
9;0;20;0;0
10;1;25;0;0
11;32;53;4;4
12;188;132;22;22
13;427;238;39;39
14;525;146;19;19
15;331;127;6;6
16;289;54;2;2
17;151;33;4;4
18;84;11;1;1
19;44;7;0;0
20;49;8;0;0
21;52;0;0;0
22;25;3;1;1
23;29;3;0;0
24;15;1;0;0
25;6;1;0;0
26;3;0;0;0
27;26;0;0;0
28;70;4;0;0
29;171;6;0;0
30;230;10;2;2
31;298;22;2;2
32;255;12;0;0
33;520;26;1;1
34;696;23;1;1
35;726;16;1;1
36;663;32;2;2
37;495;19;0;0
38;619;20;1;1
39;660;20;0;0
40;999;29;1;1
41;1288;43;8;8
42;1832;41;4;4
43;3654;53;3;3
44;3430;48;5;5
45;2607;47;5;5
46;1829;56;9;9
47;975;61;11;11
48;699;43;2;2
49;540;48;6;6
50;768;22;1;1
51;1085;39;1;1
52;1291;51;5;5
53;2247;66;2;2
54;2640;65;8;8
55;3215;89;8;8
56;2960;79;10;10
57;1957;60;8;8
58;1136;49;4;4
59;701;25;3;3
60;575;12;2;2
61;463;20;1;1
62;345;10;1;1
63;334;11;0;0
64;452;12;0;0
65;573;12;1;1
66;563;19;1;1
67;683;19;1;1
68;848;19;1;1
69;942;14;2;2
70;922;20;3;3
71;677;17;1;1
72;531;13;1;1
73;545;15;2;2
74;567;7;0;0
75;466;2;0;0
76;430;2;0;0
77;390;11;0;0
78;571;3;1;1
79;2160;6;1;1
80;4454;12;1;1
81;4554;47;7;7
82;3883;46;5;5
83;2448;47;6;6
84;1733;37;4;4
85;1295;25;2;2
86;919;19;5;5
87;615;19;0;0
88;438;4;0;0
89;411;5;0;0
90;261;5;0;0
91;302;7;1;1
92;326;3;0;0
93;327;7;1;1
94;327;0;0;0
95;287;11;2;2
96;297;8;0;0
97;275;6;0;0
98;445;4;0;0
99;763;11;0;0
100;1064;11;0;0
101;1542;11;3;3
102;1977;5;0;0
103;2510;5;1;1
104;6511;6;1;1
