Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;1;0;0
4;0;0;0;0
5;0;1;0;0
6;0;2;0;0
7;0;1;0;0
8;0;0;0;0
9;1;3;0;0
10;2;4;0;0
11;51;32;5;5
12;332;175;26;26
13;687;462;40;40
14;613;284;18;18
15;1256;183;10;10
16;476;110;3;3
17;398;92;2;2
18;202;55;6;6
19;157;35;2;2
20;81;32;0;0
21;65;12;0;0
22;64;17;1;1
23;45;14;1;1
24;22;15;1;1
25;58;2;0;0
26;32;5;1;1
27;14;2;0;0
28;22;1;0;0
29;30;3;1;1
30;48;5;0;0
31;129;5;1;1
32;223;14;0;0
33;378;23;0;0
34;618;47;4;4
35;1112;57;6;6
36;876;70;5;5
37;1212;93;8;8
38;1560;127;14;14
39;1427;142;11;11
40;1114;153;18;18
41;1390;168;12;12
42;1292;173;12;12
43;2478;216;16;16
44;3069;263;20;20
45;2753;268;30;30
46;2459;280;17;17
47;1711;199;22;22
48;853;137;9;9
49;557;81;5;5
50;404;45;5;5
51;287;55;3;3
52;319;43;6;6
53;642;45;4;4
54;1674;114;9;9
55;3737;190;12;12
56;4314;335;45;45
57;2927;340;29;29
58;1519;210;25;25
59;732;121;10;10
60;349;72;8;8
61;270;43;8;8
62;242;54;4;4
63;231;38;4;4
64;231;49;8;8
65;327;56;7;7
66;397;63;8;8
67;452;65;7;7
68;447;54;6;6
69;494;80;11;11
70;363;66;5;5
71;290;51;3;3
72;279;27;2;2
73;418;33;6;6
74;458;33;6;6
75;424;36;3;3
76;330;25;1;1
77;204;22;1;1
78;169;13;0;0
79;864;16;1;1
80;1994;34;4;4
81;2260;79;7;7
82;1971;96;7;7
83;1667;120;7;7
84;1165;85;9;9
85;955;77;5;5
86;762;50;4;4
87;624;56;4;4
88;359;45;8;8
89;209;31;3;3
90;135;16;0;0
91;89;9;0;0
92;50;5;0;0
93;57;10;2;2
94;56;14;1;1
95;91;14;4;4
96;113;11;3;3
97;130;10;0;0
98;321;22;1;1
99;560;35;2;2
100;865;47;6;6
101;1785;64;17;17
102;2306;71;7;7
103;4698;84;7;7
104;8945;93;9;9
