Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;1;0;0
5;0;0;0;0
6;0;3;1;1
7;0;0;0;0
8;0;6;0;0
9;0;8;1;1
10;21;25;2;2
11;169;99;9;9
12;878;626;44;44
13;1872;1140;85;85
14;1673;698;44;44
15;1163;347;20;20
16;799;166;6;6
17;575;82;5;5
18;400;60;2;2
19;203;42;4;4
20;145;11;1;1
21;90;13;0;0
22;72;14;2;2
23;56;9;0;0
24;99;12;0;0
25;98;3;0;0
26;53;5;1;1
27;57;2;0;0
28;77;3;0;0
29;296;10;0;0
30;573;23;2;2
31;790;37;4;4
32;1627;60;5;5
33;2098;125;8;8
34;2374;162;10;10
35;2513;158;12;12
36;2288;170;13;13
37;2081;167;10;10
38;1676;127;12;12
39;1503;87;7;7
40;1253;87;9;9
41;1507;87;5;5
42;2126;106;15;15
43;3177;204;17;17
44;3960;243;28;28
45;4391;295;29;29
46;4076;290;33;33
47;2589;234;20;20
48;1810;185;18;18
49;1555;141;14;14
50;1419;124;5;5
51;1169;94;12;12
52;1087;96;7;7
53;1270;106;8;8
54;1963;148;11;11
55;2792;191;24;24
56;3618;312;22;22
57;3886;318;42;42
58;3021;297;41;41
59;2293;263;21;21
60;1832;193;17;17
61;1339;143;22;22
62;1083;117;9;9
63;1078;104;12;12
64;1231;104;7;7
65;1521;153;14;14
66;1589;174;19;19
67;2304;213;20;20
68;2489;262;22;22
69;2739;313;39;39
70;2462;251;31;31
71;2090;188;16;16
72;1621;141;8;8
73;1328;112;10;10
74;1215;81;8;8
75;1020;68;8;8
76;789;54;4;4
77;668;42;3;3
78;584;37;3;3
79;1087;26;2;2
80;1951;53;5;5
81;3559;97;7;7
82;5567;150;18;18
83;4655;156;12;12
84;3500;160;16;16
85;2857;159;15;15
86;2204;129;13;13
87;1683;102;7;7
88;1177;85;8;8
89;764;68;8;8
90;603;41;6;6
91;374;32;2;2
92;265;20;2;2
93;319;18;2;2
94;380;25;3;3
95;438;31;5;5
96;421;35;4;4
97;484;24;1;1
98;913;29;7;7
99;1370;50;6;6
100;1846;56;6;6
101;3070;60;10;10
102;3688;21;11;11
103;6149;8;10;10
104;14370;0;1;1
