Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;1;0;0
7;0;0;0;0
8;0;2;1;1
9;0;0;1;1
10;0;3;1;1
11;11;20;3;3
12;79;56;7;7
13;133;109;10;10
14;102;63;8;8
15;147;39;1;1
16;93;40;4;4
17;42;19;1;1
18;25;13;2;2
19;52;12;1;1
20;32;2;0;0
21;6;2;0;0
22;9;4;0;0
23;3;0;0;0
24;8;2;0;0
25;2;2;0;0
26;8;1;0;0
27;2;0;0;0
28;1;1;0;0
29;1;0;0;0
30;3;2;0;0
31;25;3;0;0
32;23;2;1;1
33;63;2;1;1
34;89;5;1;1
35;123;12;2;2
36;264;22;1;1
37;273;20;5;5
38;479;34;2;2
39;391;38;2;2
40;276;37;2;2
41;239;54;4;4
42;442;64;1;1
43;789;92;5;5
44;973;81;4;4
45;806;92;5;5
46;757;76;7;7
47;573;75;4;4
48;310;50;6;6
49;231;33;1;1
50;127;31;1;1
51;137;37;1;1
52;61;15;3;3
53;113;22;0;0
54;318;27;4;4
55;857;48;6;6
56;1129;79;5;5
57;798;106;4;4
58;354;71;3;3
59;114;23;7;7
60;71;17;0;0
61;48;11;1;1
62;30;5;0;0
63;33;7;0;0
64;26;5;1;1
65;50;7;2;2
66;45;11;0;0
67;104;10;1;1
68;109;21;2;2
69;101;21;0;0
70;93;13;1;1
71;96;15;2;2
72;97;11;1;1
73;61;5;1;1
74;66;5;0;0
75;102;8;0;0
76;80;5;0;0
77;54;6;1;1
78;39;1;0;0
79;618;7;0;0
80;929;17;1;1
81;580;34;1;1
82;418;29;3;3
83;386;18;0;0
84;206;20;3;3
85;257;13;2;2
86;177;17;2;2
87;139;11;1;1
88;104;10;0;0
89;52;9;0;0
90;13;2;1;1
91;18;1;1;1
92;18;4;0;0
93;20;2;0;0
94;22;1;0;0
95;32;2;0;0
96;25;3;0;0
97;41;7;1;1
98;46;5;0;0
99;89;9;0;0
100;166;10;3;3
101;296;16;1;1
102;451;21;1;1
103;671;13;0;0
104;1400;17;0;0
