"Año";"Periodo";"Gripe"
"2015";"Semana 40";"1,72"
"2015";"Semana 41";"2,4"
"2015";"Semana 42";"6,1"
"2015";"Semana 43";"5,31"
"2015";"Semana 44";"7,82"
"2015";"Semana 45";"7,71"
"2015";"Semana 46";"2,72"
"2015";"Semana 47";"6,62"
"2015";"Semana 48";"7,93"
"2015";"Semana 49";"10,18"
"2015";"Semana 50";"4,48"
"2015";"Semana 51";"19,9"
"2015";"Semana 52";"12,9"
"2015";"Semana 53";"14,9"
"2016";"Semana 1";"10,49"
"2016";"Semana 2";"30,82"
"2016";"Semana 3";"55"
"2016";"Semana 4";"58,58"
"2016";"Semana 5";"82,89"
"2016";"Semana 6";"71,51"
"2016";"Semana 9";"94,64"
"2016";"Semana 10";"98,85"
"2016";"Semana 11";"108,56"
"2016";"Semana 12";"58"
"2016";"Semana 13";"42,59"
"2016";"Semana 14";"54,71"
"2016";"Semana 15";"25,33"
"2016";"Semana 16";"25,84"
"2016";"Semana 17";"8,22"
"2016";"Semana 18";"2,43"
"2016";"Semana 19";"5,41"
"2016";"Semana 20";"2,28"
"2016";"Semana 40";"2,51"
"2016";"Semana 41";"3,63"
"2016";"Semana 42";"3,96"
"2016";"Semana 43";"3,83"
"2016";"Semana 44";"4,79"
"2016";"Semana 45";"23,45"
"2016";"Semana 46";"12,69"
"2016";"Semana 47";"22,21"
"2016";"Semana 48";"30,4"
"2016";"Semana 49";"3,96"
"2016";"Semana 50";"23,02"
"2016";"Semana 51";"61,14"
"2016";"Semana 52";"62"
"2017";"Semana 1";"76,92"
"2017";"Semana 2";"131,95"
"2017";"Semana 3";"180,1"
"2017";"Semana 4";"170,52"
"2017";"Semana 5";"109,8"
"2017";"Semana 6";"85,82"
"2017";"Semana 7";"53,79"
"2017";"Semana 8";"25,84"
"2017";"Semana 9";"15,08"
"2017";"Semana 10";"10,39"
"2017";"Semana 11";"11,82"
"2017";"Semana 12";"9,73"
"2017";"Semana 13";"6,88"
"2017";"Semana 14";"4,61"
"2017";"Semana 15";"0"
"2017";"Semana 16";"7,34"
"2017";"Semana 17";"0"
"2017";"Semana 18";"0"
"2017";"Semana 19";"2,75"
"2017";"Semana 20";"0"
"2017";"Semana 40";"0"
"2017";"Semana 41";"2,33"
"2017";"Semana 42";"2,93"
"2017";"Semana 43";"5,96"
"2017";"Semana 44";"6,15"
"2017";"Semana 45";"11,71"
"2017";"Semana 46";"12,73"
"2017";"Semana 47";"25,07"
"2017";"Semana 48";"27,5"
"2017";"Semana 49";"17,07"
"2017";"Semana 50";"59,64"
"2017";"Semana 51";"128,15"
"2018";"Semana 1";"162,54"
"2018";"Semana 2";"230,11"
"2018";"Semana 3";"189,55"
"2018";"Semana 4";"158,96"
"2018";"Semana 5";"123,61"
"2018";"Semana 6";"100,09"
"2018";"Semana 7";"94,83"
"2018";"Semana 8";"51,95"
"2018";"Semana 9";"47,19"
"2018";"Semana 10";"18,3"
"2018";"Semana 11";"19,57"
"2018";"Semana 12";"10,14"
"2018";"Semana 14";"10,95"
"2018";"Semana 15";"1,83"
"2018";"Semana 16";"0,98"
"2018";"Semana 17";"1,01"
"2018";"Semana 18";"0"
"2018";"Semana 19";"0"
"2018";"Semana 20";"1,04"
"2018";"Semana 40";"2,43"
"2018";"Semana 41";"0"
"2018";"Semana 42";"5,39"
"2018";"Semana 43";"2,57"
"2018";"Semana 44";"4"
"2018";"Semana 45";"14,6"
"2018";"Semana 46";"6,09"
"2018";"Semana 47";"10,74"
"2018";"Semana 48";"9,54"
"2018";"Semana 49";"8,71"
"2018";"Semana 50";"12,48"
"2018";"Semana 51";"13,67"
"2018";"Semana 52";"11,28"
"2019";"Semana 1";"18,16"
"2019";"Semana 2";"45,48"
"2019";"Semana 3";"98,44"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/andalucia/290"
"Titulo":"La tasa de gripe en Andalucía se sitúa en 98,44﻿ por 100.000 habitantes"
"Subtitulo":""
