"Año";"Periodo";"Gripe"
"2015";"Semana 40";"2,33"
"2015";"Semana 41";"15,38"
"2015";"Semana 42";"12,28"
"2015";"Semana 43";"24,42"
"2015";"Semana 44";"21,68"
"2015";"Semana 45";"18,72"
"2015";"Semana 46";"16,27"
"2015";"Semana 47";"16,27"
"2015";"Semana 48";"24,39"
"2015";"Semana 49";"27,16"
"2015";"Semana 50";"12,24"
"2015";"Semana 51";"26,7"
"2015";"Semana 52";"32,13"
"2015";"Semana 53";"5,11"
"2016";"Semana 1";"24,29"
"2016";"Semana 2";"68,5"
"2016";"Semana 3";"55,8"
"2016";"Semana 4";"116,24"
"2016";"Semana 5";"199,93"
"2016";"Semana 6";"333,49"
"2016";"Semana 7";"348,72"
"2016";"Semana 8";"452,31"
"2016";"Semana 9";"526,28"
"2016";"Semana 10";"599,11"
"2016";"Semana 11";"569,83"
"2016";"Semana 12";"255,06"
"2016";"Semana 13";"99,7"
"2016";"Semana 14";"57,12"
"2016";"Semana 15";"20,92"
"2016";"Semana 16";"14,41"
"2016";"Semana 17";"0"
"2016";"Semana 18";"9,65"
"2016";"Semana 19";"2,32"
"2016";"Semana 20";"5,85"
"2016";"Semana 40";"2,4"
"2016";"Semana 41";"0"
"2016";"Semana 42";"9,63"
"2016";"Semana 43";"8,26"
"2016";"Semana 44";"9,83"
"2016";"Semana 45";"16,44"
"2016";"Semana 46";"9,13"
"2016";"Semana 47";"19,82"
"2016";"Semana 48";"6,35"
"2016";"Semana 49";"2,54"
"2016";"Semana 50";"16,26"
"2016";"Semana 51";"52,28"
"2016";"Semana 52";"35,4"
"2017";"Semana 1";"141,55"
"2017";"Semana 2";"257,6"
"2017";"Semana 3";"417,18"
"2017";"Semana 4";"314,94"
"2017";"Semana 5";"156,18"
"2017";"Semana 6";"134,65"
"2017";"Semana 7";"69,62"
"2017";"Semana 8";"56,95"
"2017";"Semana 9";"30,85"
"2017";"Semana 10";"17,25"
"2017";"Semana 11";"9,17"
"2017";"Semana 12";"5,42"
"2017";"Semana 13";"5,14"
"2017";"Semana 14";"9,35"
"2017";"Semana 15";"6,63"
"2017";"Semana 16";"4,68"
"2017";"Semana 17";"0"
"2017";"Semana 18";"2,37"
"2017";"Semana 19";"0"
"2017";"Semana 20";"0"
"2017";"Semana 40";"5,15"
"2017";"Semana 41";"0"
"2017";"Semana 42";"0"
"2017";"Semana 43";"5,52"
"2017";"Semana 44";"7,98"
"2017";"Semana 45";"13,08"
"2017";"Semana 46";"2,51"
"2017";"Semana 47";"9,99"
"2017";"Semana 48";"9,41"
"2017";"Semana 49";"2,45"
"2017";"Semana 50";"30,71"
"2017";"Semana 51";"122,52"
"2017";"Semana 52";"243,18"
"2018";"Semana 1";"251,17"
"2018";"Semana 2";"287,46"
"2018";"Semana 3";"350,45"
"2018";"Semana 4";"298,65"
"2018";"Semana 5";"238,79"
"2018";"Semana 6";"193,91"
"2018";"Semana 7";"156,22"
"2018";"Semana 8";"169,61"
"2018";"Semana 9";"137,22"
"2018";"Semana 10";"101,33"
"2018";"Semana 11";"67,79"
"2018";"Semana 12";"40,92"
"2018";"Semana 14";"12,34"
"2018";"Semana 15";"2,3"
"2018";"Semana 16";"2,27"
"2018";"Semana 17";"0"
"2018";"Semana 18";"0"
"2018";"Semana 19";"2,36"
"2018";"Semana 20";"2,41"
"2018";"Semana 40";"0"
"2018";"Semana 41";"0"
"2019";"Semana 2";"0"
"2019";"Semana 3";"0"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/aragon/291"
"Titulo":"La tasa de gripe en Aragón se sitúa en 0﻿ por 100.000 habitantes"
"Subtitulo":""
