"Año";"Periodo";"Gripe"
"2015";"Semana 40";"19,03"
"2015";"Semana 41";"18,04"
"2015";"Semana 42";"49,68"
"2015";"Semana 43";"27,06"
"2015";"Semana 44";"30,79"
"2015";"Semana 45";"16,35"
"2015";"Semana 46";"18,54"
"2015";"Semana 47";"38,89"
"2015";"Semana 48";"47,63"
"2015";"Semana 49";"149,52"
"2015";"Semana 50";"44,17"
"2015";"Semana 51";"74,64"
"2015";"Semana 52";"92,02"
"2015";"Semana 53";"168,92"
"2016";"Semana 1";"74,25"
"2016";"Semana 2";"144,71"
"2016";"Semana 3";"154,27"
"2016";"Semana 4";"265,97"
"2016";"Semana 5";"204,62"
"2016";"Semana 6";"302,06"
"2016";"Semana 7";"191,5"
"2016";"Semana 8";"228,15"
"2016";"Semana 9";"121,45"
"2016";"Semana 10";"165,67"
"2016";"Semana 11";"94,23"
"2016";"Semana 12";"92,54"
"2016";"Semana 13";"52,73"
"2016";"Semana 14";"37,41"
"2016";"Semana 15";"31,43"
"2016";"Semana 16";"20,24"
"2016";"Semana 17";"43,52"
"2016";"Semana 18";"16,58"
"2016";"Semana 19";"24,89"
"2016";"Semana 20";"15,44"
"2016";"Semana 40";"0"
"2016";"Semana 41";"0"
"2016";"Semana 42";"5,21"
"2016";"Semana 43";"9,3"
"2016";"Semana 44";"5,49"
"2016";"Semana 45";"67,73"
"2016";"Semana 46";"125,67"
"2016";"Semana 47";"145,16"
"2016";"Semana 48";"183,1"
"2016";"Semana 49";"444,3"
"2016";"Semana 50";"491,76"
"2016";"Semana 51";"464,69"
"2016";"Semana 52";"635,84"
"2017";"Semana 1";"304,37"
"2017";"Semana 2";"276,6"
"2017";"Semana 3";"127,27"
"2017";"Semana 4";"80,97"
"2017";"Semana 5";"55,94"
"2017";"Semana 6";"44,09"
"2017";"Semana 7";"25,87"
"2017";"Semana 8";"10,11"
"2017";"Semana 9";"0"
"2017";"Semana 10";"22,13"
"2017";"Semana 11";"9,66"
"2017";"Semana 12";"4,95"
"2017";"Semana 13";"6,39"
"2017";"Semana 14";"16,11"
"2017";"Semana 15";"0"
"2017";"Semana 16";"22,79"
"2017";"Semana 17";"16,79"
"2017";"Semana 18";"8,29"
"2017";"Semana 19";"0"
"2017";"Semana 20";"6,57"
"2017";"Semana 40";"16,04"
"2017";"Semana 41";"25,99"
"2017";"Semana 42";"12,6"
"2017";"Semana 43";"18,96"
"2017";"Semana 44";"15,31"
"2017";"Semana 45";"22,28"
"2017";"Semana 46";"162,26"
"2017";"Semana 47";"156,85"
"2017";"Semana 48";"196,78"
"2017";"Semana 49";"309,55"
"2017";"Semana 50";"367,3"
"2017";"Semana 51";"394,64"
"2017";"Semana 52";"735,72"
"2018";"Semana 1";"627,31"
"2018";"Semana 2";"266,27"
"2018";"Semana 3";"225,7"
"2018";"Semana 4";"93,98"
"2018";"Semana 5";"49,62"
"2018";"Semana 6";"106,79"
"2018";"Semana 7";"46,98"
"2018";"Semana 8";"73,76"
"2018";"Semana 9";"51,69"
"2018";"Semana 10";"69,81"
"2018";"Semana 11";"38,14"
"2018";"Semana 12";"27,9"
"2018";"Semana 14";"51,94"
"2018";"Semana 15";"17,5"
"2018";"Semana 16";"11,15"
"2018";"Semana 17";"14,51"
"2018";"Semana 18";"19,75"
"2018";"Semana 19";"4,8"
"2018";"Semana 20";"12,46"
"2018";"Semana 40";"24,51"
"2018";"Semana 41";"23,89"
"2018";"Semana 42";"6,49"
"2018";"Semana 43";"17,13"
"2018";"Semana 44";"13,3"
"2018";"Semana 45";"46,27"
"2018";"Semana 46";"14,98"
"2018";"Semana 47";"25,82"
"2018";"Semana 48";"14,44"
"2018";"Semana 49";"27,81"
"2018";"Semana 50";"50,52"
"2018";"Semana 51";"29,74"
"2018";"Semana 52";"56,45"
"2019";"Semana 1";"36,56"
"2019";"Semana 2";"146,98"
"2019";"Semana 3";"246,06"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/asturias/292"
"Titulo":"La tasa de gripe en Asturias, Principado de se sitúa en 246,06﻿ por 100.000 habitantes"
"Subtitulo":""
