"Año";"Periodo";"Gripe"
"2015";"Semana 40";"39,01"
"2015";"Semana 41";"37,53"
"2015";"Semana 42";"32,58"
"2015";"Semana 43";"29,42"
"2015";"Semana 44";"33,87"
"2015";"Semana 45";"26,46"
"2015";"Semana 46";"36,86"
"2015";"Semana 47";"36,25"
"2015";"Semana 48";"42,19"
"2015";"Semana 49";"8,51"
"2015";"Semana 50";"20,6"
"2015";"Semana 51";"54,48"
"2015";"Semana 52";"28,71"
"2015";"Semana 53";"41,42"
"2016";"Semana 1";"55,01"
"2016";"Semana 2";"98,41"
"2016";"Semana 3";"152,01"
"2016";"Semana 4";"245,72"
"2016";"Semana 5";"255,51"
"2016";"Semana 6";"214,9"
"2016";"Semana 7";"168,22"
"2016";"Semana 8";"134,77"
"2016";"Semana 9";"133,97"
"2016";"Semana 10";"73,51"
"2016";"Semana 11";"75,18"
"2016";"Semana 12";"45,42"
"2016";"Semana 13";"53,47"
"2016";"Semana 14";"33,42"
"2016";"Semana 15";"36,4"
"2016";"Semana 16";"25,14"
"2016";"Semana 17";"39,66"
"2016";"Semana 18";"11,53"
"2016";"Semana 19";"18,34"
"2016";"Semana 20";"41,96"
"2016";"Semana 40";"10,96"
"2016";"Semana 41";"28,51"
"2016";"Semana 42";"29,5"
"2016";"Semana 43";"19,7"
"2016";"Semana 44";"35,44"
"2016";"Semana 45";"48,99"
"2016";"Semana 46";"133,64"
"2016";"Semana 47";"145,52"
"2016";"Semana 48";"120,72"
"2016";"Semana 49";"41,28"
"2016";"Semana 50";"63,48"
"2016";"Semana 51";"56,6"
"2016";"Semana 52";"65,61"
"2017";"Semana 1";"124,06"
"2017";"Semana 2";"96,15"
"2017";"Semana 3";"100,52"
"2017";"Semana 4";"46,51"
"2017";"Semana 5";"43,4"
"2017";"Semana 6";"81,69"
"2017";"Semana 7";"30,58"
"2017";"Semana 8";"35,39"
"2017";"Semana 9";"14,27"
"2017";"Semana 10";"17,05"
"2017";"Semana 11";"0"
"2017";"Semana 12";"27,45"
"2017";"Semana 13";"3,43"
"2017";"Semana 14";"6,86"
"2017";"Semana 15";"0"
"2017";"Semana 16";"3,43"
"2017";"Semana 17";"6,56"
"2017";"Semana 18";"0"
"2017";"Semana 19";"3,46"
"2017";"Semana 20";"6,9"
"2017";"Semana 41";"0"
"2017";"Semana 42";"3,28"
"2017";"Semana 43";"8,01"
"2017";"Semana 44";"23,46"
"2017";"Semana 45";"16,58"
"2017";"Semana 46";"10,62"
"2017";"Semana 47";"16,15"
"2017";"Semana 48";"24,51"
"2017";"Semana 49";"22,41"
"2017";"Semana 50";"48,51"
"2017";"Semana 51";"73,96"
"2017";"Semana 52";"88,39"
"2018";"Semana 1";"89,63"
"2018";"Semana 2";"181,19"
"2018";"Semana 3";"231,08"
"2018";"Semana 4";"198,4"
"2018";"Semana 5";"138,92"
"2018";"Semana 6";"168,1"
"2018";"Semana 7";"67,68"
"2018";"Semana 8";"93,87"
"2018";"Semana 9";"69,05"
"2018";"Semana 10";"43,31"
"2018";"Semana 11";"48,77"
"2018";"Semana 12";"33,13"
"2018";"Semana 14";"34,73"
"2018";"Semana 15";"14,21"
"2018";"Semana 16";"7,53"
"2018";"Semana 17";"3,76"
"2018";"Semana 18";"7,75"
"2018";"Semana 19";"3,69"
"2018";"Semana 20";"0"
"2018";"Semana 40";"13,53"
"2018";"Semana 41";"11,87"
"2018";"Semana 42";"18,33"
"2018";"Semana 43";"15,65"
"2018";"Semana 44";"13,44"
"2018";"Semana 45";"22,22"
"2018";"Semana 46";"25,6"
"2018";"Semana 47";"4,86"
"2018";"Semana 48";"11,2"
"2018";"Semana 49";"30,48"
"2018";"Semana 50";"20,34"
"2018";"Semana 51";"21,92"
"2018";"Semana 52";"29,14"
"2019";"Semana 1";"34,84"
"2019";"Semana 2";"72,45"
"2019";"Semana 3";"154,16"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/canarias/293"
"Titulo":"La tasa de gripe en Canarias se sitúa en 154,16﻿ por 100.000 habitantes"
"Subtitulo":""
