"Año";"Periodo";"Gripe"
"2015";"Semana 40";"2,96"
"2015";"Semana 41";"3,08"
"2015";"Semana 42";"1,44"
"2015";"Semana 43";"5,63"
"2015";"Semana 44";"9,93"
"2015";"Semana 45";"7"
"2015";"Semana 46";"4,11"
"2015";"Semana 47";"6,98"
"2015";"Semana 48";"12,87"
"2015";"Semana 49";"5,87"
"2015";"Semana 50";"7,21"
"2015";"Semana 51";"10,1"
"2015";"Semana 52";"7,74"
"2015";"Semana 53";"9,47"
"2016";"Semana 1";"33,02"
"2016";"Semana 2";"32,3"
"2016";"Semana 3";"24,67"
"2016";"Semana 4";"42,49"
"2016";"Semana 5";"45,24"
"2016";"Semana 6";"81,23"
"2016";"Semana 7";"128,73"
"2016";"Semana 8";"205,08"
"2016";"Semana 9";"192,42"
"2016";"Semana 10";"242,91"
"2016";"Semana 11";"268,87"
"2016";"Semana 12";"152,54"
"2016";"Semana 13";"119,26"
"2016";"Semana 14";"75,39"
"2016";"Semana 15";"53,98"
"2016";"Semana 16";"53,98"
"2016";"Semana 17";"26,01"
"2016";"Semana 18";"6,83"
"2016";"Semana 19";"4,32"
"2016";"Semana 20";"0"
"2016";"Semana 40";"7,04"
"2016";"Semana 41";"10,3"
"2016";"Semana 42";"2,78"
"2016";"Semana 43";"2,92"
"2016";"Semana 44";"0"
"2016";"Semana 45";"1,37"
"2016";"Semana 46";"6,69"
"2016";"Semana 47";"5,49"
"2016";"Semana 48";"11,98"
"2016";"Semana 49";"8,33"
"2016";"Semana 50";"12,05"
"2016";"Semana 51";"29,42"
"2016";"Semana 52";"71,32"
"2017";"Semana 1";"101,44"
"2017";"Semana 2";"245,44"
"2017";"Semana 3";"239,12"
"2017";"Semana 4";"310,41"
"2017";"Semana 5";"235,53"
"2017";"Semana 6";"145,9"
"2017";"Semana 7";"64,36"
"2017";"Semana 8";"33,69"
"2017";"Semana 9";"19,64"
"2017";"Semana 10";"1,52"
"2017";"Semana 11";"4,31"
"2017";"Semana 12";"2,95"
"2017";"Semana 13";"2,9"
"2017";"Semana 14";"2,9"
"2017";"Semana 15";"2,8"
"2017";"Semana 16";"0"
"2017";"Semana 17";"5,52"
"2017";"Semana 18";"1,38"
"2017";"Semana 19";"1,42"
"2017";"Semana 20";"0"
"2017";"Semana 40";"0"
"2017";"Semana 41";"0"
"2017";"Semana 42";"1,36"
"2017";"Semana 43";"0"
"2017";"Semana 44";"0"
"2017";"Semana 45";"4,14"
"2017";"Semana 46";"8,2"
"2017";"Semana 47";"13,83"
"2017";"Semana 48";"14,02"
"2017";"Semana 49";"17,89"
"2017";"Semana 50";"58,19"
"2017";"Semana 51";"91,06"
"2017";"Semana 52";"183,37"
"2018";"Semana 1";"208,79"
"2018";"Semana 2";"236,06"
"2018";"Semana 3";"237,77"
"2018";"Semana 4";"248,17"
"2018";"Semana 5";"215,63"
"2018";"Semana 6";"165,13"
"2018";"Semana 7";"126,22"
"2018";"Semana 8";"120,68"
"2018";"Semana 9";"85,81"
"2018";"Semana 10";"53"
"2018";"Semana 11";"35,74"
"2018";"Semana 12";"17,19"
"2018";"Semana 14";"10,42"
"2018";"Semana 15";"7,58"
"2018";"Semana 16";"0"
"2018";"Semana 17";"0"
"2018";"Semana 18";"0"
"2018";"Semana 19";"0"
"2018";"Semana 20";"0"
"2018";"Semana 40";"6,09"
"2018";"Semana 41";"4,38"
"2018";"Semana 42";"8,35"
"2018";"Semana 43";"12,33"
"2018";"Semana 44";"7,14"
"2018";"Semana 45";"5,56"
"2018";"Semana 46";"12,26"
"2018";"Semana 47";"12,52"
"2018";"Semana 48";"12,55"
"2018";"Semana 49";"8,88"
"2018";"Semana 50";"8,5"
"2018";"Semana 51";"8,86"
"2018";"Semana 52";"4,71"
"2019";"Semana 1";"22,59"
"2019";"Semana 2";"68,29"
"2019";"Semana 3";"181,2"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/castilla-mancha/296"
"Titulo":"La tasa de gripe en Castilla - La Mancha se sitúa en 181,2﻿ por 100.000 habitantes"
"Subtitulo":""
