"Año";"Periodo";"Gripe"
"2015";"Semana 40";"11,71"
"2015";"Semana 41";"0"
"2015";"Semana 42";"22,52"
"2015";"Semana 43";"3,5"
"2015";"Semana 44";"0"
"2015";"Semana 45";"7,27"
"2015";"Semana 46";"29,83"
"2015";"Semana 47";"13,17"
"2015";"Semana 48";"26,14"
"2015";"Semana 49";"8,21"
"2015";"Semana 50";"21,86"
"2015";"Semana 51";"31,07"
"2015";"Semana 52";"6,19"
"2015";"Semana 53";"19,12"
"2016";"Semana 1";"20,08"
"2016";"Semana 2";"95,69"
"2016";"Semana 3";"138,8"
"2016";"Semana 4";"219,61"
"2016";"Semana 5";"117,65"
"2016";"Semana 6";"197,76"
"2016";"Semana 7";"203,08"
"2016";"Semana 8";"184,41"
"2016";"Semana 9";"236,07"
"2016";"Semana 10";"214,69"
"2016";"Semana 11";"124,59"
"2016";"Semana 12";"28,79"
"2016";"Semana 13";"68,57"
"2016";"Semana 14";"65,5"
"2016";"Semana 15";"117,37"
"2016";"Semana 16";"70,68"
"2016";"Semana 17";"64,84"
"2016";"Semana 18";"15,87"
"2016";"Semana 19";"0"
"2016";"Semana 20";"0"
"2016";"Semana 40";"27,04"
"2016";"Semana 41";"16,29"
"2016";"Semana 42";"4,41"
"2016";"Semana 43";"14,7"
"2016";"Semana 44";"10,87"
"2016";"Semana 45";"7,33"
"2016";"Semana 46";"32,91"
"2016";"Semana 47";"3,52"
"2016";"Semana 48";"48,02"
"2016";"Semana 49";"20,03"
"2016";"Semana 50";"52,34"
"2016";"Semana 51";"149,8"
"2016";"Semana 52";"322,11"
"2017";"Semana 1";"374,21"
"2017";"Semana 2";"408,5"
"2017";"Semana 3";"462,89"
"2017";"Semana 4";"253,54"
"2017";"Semana 5";"179,79"
"2017";"Semana 6";"114,27"
"2017";"Semana 7";"62,26"
"2017";"Semana 8";"35,87"
"2017";"Semana 9";"14,64"
"2017";"Semana 10";"7,08"
"2017";"Semana 11";"0"
"2017";"Semana 12";"21,01"
"2017";"Semana 13";"4,46"
"2017";"Semana 14";"0"
"2017";"Semana 15";"4,65"
"2017";"Semana 16";"0"
"2017";"Semana 17";"27,68"
"2017";"Semana 18";"3,9"
"2017";"Semana 19";"0"
"2017";"Semana 20";"10,92"
"2017";"Semana 40";"7,24"
"2017";"Semana 41";"0"
"2017";"Semana 42";"8,19"
"2017";"Semana 43";"5,01"
"2017";"Semana 44";"11,12"
"2017";"Semana 45";"26,47"
"2017";"Semana 46";"15,8"
"2017";"Semana 47";"27,78"
"2017";"Semana 48";"81,33"
"2017";"Semana 49";"49,14"
"2017";"Semana 50";"170,92"
"2017";"Semana 51";"163,21"
"2017";"Semana 52";"272,58"
"2018";"Semana 1";"254,64"
"2018";"Semana 2";"288,18"
"2018";"Semana 3";"394,48"
"2018";"Semana 4";"288,44"
"2018";"Semana 5";"229,24"
"2018";"Semana 6";"244,98"
"2018";"Semana 7";"182,4"
"2018";"Semana 8";"140,89"
"2018";"Semana 9";"158,27"
"2018";"Semana 10";"124,6"
"2018";"Semana 11";"110,29"
"2018";"Semana 12";"88,32"
"2018";"Semana 14";"16,86"
"2018";"Semana 15";"13,03"
"2018";"Semana 16";"3,85"
"2018";"Semana 17";"4,57"
"2018";"Semana 18";"0"
"2018";"Semana 19";"3,2"
"2018";"Semana 20";"6,25"
"2018";"Semana 40";"5,67"
"2018";"Semana 41";"0"
"2018";"Semana 42";"2,58"
"2018";"Semana 43";"17,82"
"2018";"Semana 44";"12,57"
"2018";"Semana 45";"17,18"
"2018";"Semana 46";"24,44"
"2018";"Semana 47";"28,57"
"2018";"Semana 48";"32,75"
"2018";"Semana 49";"25,28"
"2018";"Semana 50";"38,74"
"2018";"Semana 51";"27,25"
"2018";"Semana 52";"26,31"
"2019";"Semana 1";"34,68"
"2019";"Semana 2";"98,97"
"2019";"Semana 3";"299,32"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/castilla-leon/295"
"Titulo":"La tasa de gripe en Castilla y León se sitúa en 299,32﻿ por 100.000 habitantes"
"Subtitulo":""
