"Año";"Periodo";"Gripe"
"2015";"Semana 40";"4,78"
"2015";"Semana 41";"14,86"
"2015";"Semana 42";"4,56"
"2015";"Semana 43";"27,46"
"2015";"Semana 44";"28,57"
"2015";"Semana 45";"40,18"
"2015";"Semana 46";"27,03"
"2015";"Semana 47";"24,14"
"2015";"Semana 48";"28,89"
"2015";"Semana 49";"29,13"
"2015";"Semana 50";"19,6"
"2015";"Semana 51";"36,08"
"2015";"Semana 52";"28,28"
"2015";"Semana 53";"32,24"
"2016";"Semana 1";"17,6"
"2016";"Semana 2";"47,41"
"2016";"Semana 3";"83,59"
"2016";"Semana 4";"190,14"
"2016";"Semana 5";"187,42"
"2016";"Semana 6";"262,18"
"2016";"Semana 7";"232,27"
"2016";"Semana 8";"345,8"
"2016";"Semana 9";"358,82"
"2016";"Semana 10";"312,84"
"2016";"Semana 11";"267,65"
"2016";"Semana 12";"188,31"
"2016";"Semana 13";"93,83"
"2016";"Semana 14";"47,61"
"2016";"Semana 15";"31,17"
"2016";"Semana 16";"29,26"
"2016";"Semana 17";"9,33"
"2016";"Semana 18";"7,59"
"2016";"Semana 19";"0"
"2016";"Semana 20";"15,43"
"2016";"Semana 40";"0"
"2016";"Semana 41";"8,38"
"2016";"Semana 42";"23,04"
"2016";"Semana 43";"29,59"
"2016";"Semana 44";"10,98"
"2016";"Semana 45";"27,75"
"2016";"Semana 46";"31,81"
"2016";"Semana 47";"44,28"
"2016";"Semana 48";"44,4"
"2016";"Semana 49";"60,02"
"2016";"Semana 50";"73,15"
"2016";"Semana 51";"111,03"
"2016";"Semana 52";"223,87"
"2017";"Semana 1";"343,96"
"2017";"Semana 2";"216,41"
"2017";"Semana 3";"249,09"
"2017";"Semana 4";"186,79"
"2017";"Semana 5";"150,63"
"2017";"Semana 6";"98,76"
"2017";"Semana 7";"73,25"
"2017";"Semana 8";"59,14"
"2017";"Semana 9";"25,44"
"2017";"Semana 10";"22,67"
"2017";"Semana 11";"16,69"
"2017";"Semana 12";"17,85"
"2017";"Semana 13";"12,25"
"2017";"Semana 14";"14,37"
"2017";"Semana 15";"2,72"
"2017";"Semana 16";"5,61"
"2017";"Semana 17";"9,53"
"2017";"Semana 18";"6,86"
"2017";"Semana 19";"4,16"
"2017";"Semana 20";"5,38"
"2017";"Semana 40";"7,42"
"2017";"Semana 41";"17,32"
"2017";"Semana 42";"15,67"
"2017";"Semana 43";"20"
"2017";"Semana 44";"14,14"
"2017";"Semana 45";"42,76"
"2017";"Semana 46";"30,74"
"2017";"Semana 47";"31,81"
"2017";"Semana 48";"45,34"
"2017";"Semana 49";"59,79"
"2017";"Semana 50";"54,32"
"2017";"Semana 51";"97,67"
"2017";"Semana 52";"248,5"
"2018";"Semana 1";"299,41"
"2018";"Semana 2";"258,43"
"2018";"Semana 3";"413,27"
"2018";"Semana 4";"321,78"
"2018";"Semana 5";"279,55"
"2018";"Semana 6";"156,54"
"2018";"Semana 7";"158,83"
"2018";"Semana 8";"153,65"
"2018";"Semana 9";"114,68"
"2018";"Semana 10";"75,72"
"2018";"Semana 11";"60,25"
"2018";"Semana 12";"40,1"
"2018";"Semana 14";"14,38"
"2018";"Semana 15";"17,79"
"2018";"Semana 16";"10,82"
"2018";"Semana 17";"6,76"
"2018";"Semana 18";"9,59"
"2018";"Semana 19";"5,57"
"2018";"Semana 20";"7,35"
"2018";"Semana 40";"21,3"
"2018";"Semana 41";"11,73"
"2018";"Semana 42";"19,06"
"2018";"Semana 43";"23,92"
"2018";"Semana 44";"13,64"
"2018";"Semana 45";"31,92"
"2018";"Semana 46";"37,07"
"2018";"Semana 47";"40,7"
"2018";"Semana 48";"14,26"
"2018";"Semana 49";"32,22"
"2018";"Semana 50";"43,94"
"2018";"Semana 51";"57,17"
"2018";"Semana 52";"71,24"
"2019";"Semana 1";"94,46"
"2019";"Semana 2";"119,59"
"2019";"Semana 3";"277,67"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/cataluna/297"
"Titulo":"La tasa de gripe en Cataluña se sitúa en 277,67﻿ por 100.000 habitantes"
"Subtitulo":""
