"Año";"Periodo";"Gripe"
"2015";"Semana 40";"0"
"2015";"Semana 41";"0"
"2015";"Semana 42";"0"
"2015";"Semana 43";"0"
"2015";"Semana 44";"0"
"2015";"Semana 45";"8,97"
"2015";"Semana 46";"0"
"2015";"Semana 47";"0"
"2015";"Semana 48";"10,51"
"2015";"Semana 49";"10,51"
"2015";"Semana 50";"0"
"2015";"Semana 51";"0"
"2015";"Semana 52";"21,02"
"2015";"Semana 53";"0"
"2016";"Semana 1";"0"
"2016";"Semana 2";"20,29"
"2016";"Semana 3";"81,14"
"2016";"Semana 4";"129,52"
"2016";"Semana 5";"117,74"
"2016";"Semana 6";"105,97"
"2016";"Semana 7";"142"
"2016";"Semana 8";"162,29"
"2016";"Semana 9";"131,86"
"2016";"Semana 10";"202,86"
"2016";"Semana 11";"97,23"
"2016";"Semana 12";"21,77"
"2016";"Semana 13";"0"
"2016";"Semana 14";"24,31"
"2016";"Semana 15";"0"
"2016";"Semana 16";"10,14"
"2016";"Semana 17";"0"
"2016";"Semana 18";"0"
"2016";"Semana 19";"0"
"2016";"Semana 20";"0"
"2016";"Semana 41";"32,26"
"2016";"Semana 42";"27,37"
"2016";"Semana 43";"9,12"
"2016";"Semana 44";"10,85"
"2016";"Semana 45";"45,62"
"2016";"Semana 46";"72,99"
"2016";"Semana 47";"76,16"
"2016";"Semana 48";"119,68"
"2016";"Semana 49";"25,9"
"2016";"Semana 50";"87,04"
"2016";"Semana 51";"16,08"
"2017";"Semana 1";"35,79"
"2017";"Semana 2";"209,78"
"2017";"Semana 3";"152,32"
"2017";"Semana 4";"108,8"
"2017";"Semana 5";"130,56"
"2017";"Semana 6";"21,76"
"2017";"Semana 7";"40,97"
"2017";"Semana 8";"0"
"2017";"Semana 9";"10,88"
"2017";"Semana 10";"0"
"2017";"Semana 11";"12,95"
"2017";"Semana 12";"12,95"
"2017";"Semana 13";"0"
"2017";"Semana 14";"0"
"2017";"Semana 15";"0"
"2017";"Semana 16";"21,2"
"2017";"Semana 17";"12,95"
"2017";"Semana 18";"0"
"2017";"Semana 19";"0"
"2017";"Semana 20";"0"
"2017";"Semana 40";"0"
"2017";"Semana 41";"0"
"2017";"Semana 42";"12,83"
"2017";"Semana 43";"0"
"2017";"Semana 44";"0"
"2017";"Semana 45";"82,66"
"2017";"Semana 46";"41,33"
"2017";"Semana 47";"0"
"2017";"Semana 48";"15,66"
"2017";"Semana 49";"0"
"2017";"Semana 50";"22,16"
"2017";"Semana 51";"55,4"
"2017";"Semana 52";"16,25"
"2018";"Semana 1";"72,32"
"2018";"Semana 2";"401,07"
"2018";"Semana 3";"432,13"
"2018";"Semana 4";"320,72"
"2018";"Semana 5";"332,41"
"2018";"Semana 6";"220,42"
"2018";"Semana 7";"232,69"
"2018";"Semana 8";"254,85"
"2018";"Semana 9";"144,04"
"2018";"Semana 10";"64,14"
"2018";"Semana 11";"44,32"
"2018";"Semana 12";"11,08"
"2018";"Semana 14";"0"
"2018";"Semana 15";"0"
"2018";"Semana 16";"0"
"2018";"Semana 17";"0"
"2018";"Semana 18";"13,55"
"2018";"Semana 19";"0"
"2018";"Semana 20";"0"
"2018";"Semana 40";"25,86"
"2018";"Semana 41";"19,6"
"2018";"Semana 42";"0"
"2018";"Semana 43";"25,73"
"2018";"Semana 44";"29,48"
"2018";"Semana 45";"0"
"2018";"Semana 46";"44,22"
"2018";"Semana 47";"12,86"
"2018";"Semana 48";"12,86"
"2018";"Semana 49";"0"
"2018";"Semana 50";"45,68"
"2018";"Semana 51";"45,68"
"2018";"Semana 52";"0"
"2019";"Semana 1";"12,86"
"2019";"Semana 2";"76,13"
"2019";"Semana 3";"114,72"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/ceuta/298"
"Titulo":"La tasa de gripe en Ceuta se sitúa en 114,72﻿ por 100.000 habitantes"
"Subtitulo":""
