"Año";"Periodo";"Gripe"
"2015";"Semana 40";"4,33"
"2015";"Semana 41";"5,33"
"2015";"Semana 42";"2,23"
"2015";"Semana 43";"19,06"
"2015";"Semana 44";"14,58"
"2015";"Semana 45";"17,04"
"2015";"Semana 46";"7,07"
"2015";"Semana 47";"11,15"
"2015";"Semana 48";"14,66"
"2015";"Semana 49";"10"
"2015";"Semana 50";"11,38"
"2015";"Semana 51";"30,97"
"2015";"Semana 52";"49,54"
"2016";"Semana 1";"19,51"
"2016";"Semana 2";"20,02"
"2016";"Semana 3";"43,48"
"2016";"Semana 4";"78,67"
"2016";"Semana 5";"121,63"
"2016";"Semana 6";"129,14"
"2016";"Semana 7";"112,89"
"2016";"Semana 8";"128,89"
"2016";"Semana 9";"127,11"
"2016";"Semana 10";"142,61"
"2016";"Semana 12";"140,96"
"2016";"Semana 13";"38,97"
"2016";"Semana 14";"20,8"
"2016";"Semana 15";"13,44"
"2016";"Semana 16";"5,36"
"2016";"Semana 17";"8,6"
"2016";"Semana 18";"8,95"
"2016";"Semana 19";"2,21"
"2016";"Semana 20";"3,17"
"2016";"Semana 40";"4,19"
"2016";"Semana 41";"12"
"2016";"Semana 42";"10,42"
"2016";"Semana 43";"13,67"
"2016";"Semana 44";"15,95"
"2016";"Semana 45";"13,19"
"2016";"Semana 46";"12,5"
"2016";"Semana 47";"20,8"
"2016";"Semana 48";"30,74"
"2016";"Semana 49";"40,39"
"2016";"Semana 50";"27,48"
"2016";"Semana 51";"53,89"
"2016";"Semana 52";"120,46"
"2017";"Semana 1";"120,5"
"2017";"Semana 2";"171,01"
"2017";"Semana 3";"180,73"
"2017";"Semana 4";"189,59"
"2017";"Semana 5";"140,34"
"2017";"Semana 6";"67,72"
"2017";"Semana 7";"41,12"
"2017";"Semana 8";"20,82"
"2017";"Semana 9";"16,74"
"2017";"Semana 10";"12,39"
"2017";"Semana 11";"5,98"
"2017";"Semana 12";"8,49"
"2017";"Semana 13";"1,37"
"2017";"Semana 14";"1,74"
"2017";"Semana 15";"0"
"2017";"Semana 16";"0,72"
"2017";"Semana 17";"0"
"2017";"Semana 18";"3,96"
"2017";"Semana 19";"1,01"
"2017";"Semana 20";"0"
"2017";"Semana 41";"1,68"
"2017";"Semana 42";"10,68"
"2017";"Semana 43";"9,39"
"2017";"Semana 44";"8,06"
"2017";"Semana 45";"10,59"
"2017";"Semana 46";"9,16"
"2017";"Semana 47";"23"
"2017";"Semana 48";"16,73"
"2017";"Semana 49";"25,29"
"2017";"Semana 50";"42,25"
"2017";"Semana 51";"91,56"
"2017";"Semana 52";"192,66"
"2018";"Semana 1";"116,15"
"2018";"Semana 2";"154,08"
"2018";"Semana 3";"224,09"
"2018";"Semana 4";"158,87"
"2018";"Semana 5";"92,04"
"2018";"Semana 6";"94,68"
"2018";"Semana 7";"97,05"
"2018";"Semana 8";"77,37"
"2018";"Semana 9";"38,41"
"2018";"Semana 10";"23,42"
"2018";"Semana 11";"17,92"
"2018";"Semana 12";"10,59"
"2018";"Semana 14";"10,47"
"2018";"Semana 15";"3,26"
"2018";"Semana 16";"1,73"
"2018";"Semana 17";"0"
"2018";"Semana 18";"1,65"
"2018";"Semana 19";"1,88"
"2018";"Semana 20";"1,33"
"2018";"Semana 40";"1,61"
"2018";"Semana 41";"0,84"
"2018";"Semana 42";"4,21"
"2018";"Semana 43";"6,57"
"2018";"Semana 44";"10,78"
"2018";"Semana 45";"15,19"
"2018";"Semana 46";"14,19"
"2018";"Semana 47";"9,37"
"2018";"Semana 48";"10,49"
"2018";"Semana 49";"13,51"
"2018";"Semana 50";"12,18"
"2018";"Semana 52";"43,47"
"2019";"Semana 1";"27,81"
"2019";"Semana 2";"74,49"
"2019";"Semana 3";"127,53"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/madrid/304"
"Titulo":"La tasa de gripe en Comunidad de Madrid se sitúa en 127,53﻿ por 100.000 habitantes"
"Subtitulo":""
