"Año";"Periodo";"Gripe"
"2015";"Semana 40";"0"
"2015";"Semana 41";"2,55"
"2015";"Semana 42";"4,32"
"2015";"Semana 43";"0"
"2015";"Semana 44";"3,52"
"2015";"Semana 45";"3,86"
"2015";"Semana 46";"3,95"
"2015";"Semana 47";"3,62"
"2015";"Semana 48";"13,8"
"2015";"Semana 49";"7,93"
"2015";"Semana 50";"7,36"
"2015";"Semana 51";"24,5"
"2015";"Semana 52";"6,01"
"2015";"Semana 53";"9,89"
"2016";"Semana 1";"18,11"
"2016";"Semana 2";"13,29"
"2016";"Semana 3";"28,26"
"2016";"Semana 4";"41,56"
"2016";"Semana 5";"55,84"
"2016";"Semana 6";"81,18"
"2016";"Semana 7";"100,66"
"2016";"Semana 8";"156,3"
"2016";"Semana 9";"162,32"
"2016";"Semana 10";"297,9"
"2016";"Semana 11";"382,24"
"2016";"Semana 12";"171,88"
"2016";"Semana 13";"61,41"
"2016";"Semana 14";"39,37"
"2016";"Semana 15";"14,3"
"2016";"Semana 16";"15,33"
"2016";"Semana 17";"7,25"
"2016";"Semana 18";"1,89"
"2016";"Semana 19";"7,57"
"2016";"Semana 20";"0"
"2016";"Semana 40";"2,25"
"2016";"Semana 41";"1,85"
"2016";"Semana 42";"12,48"
"2016";"Semana 43";"4,11"
"2016";"Semana 44";"11,7"
"2016";"Semana 45";"11,98"
"2016";"Semana 46";"7,86"
"2016";"Semana 47";"23,13"
"2016";"Semana 48";"24,03"
"2016";"Semana 49";"10,25"
"2016";"Semana 50";"21,22"
"2016";"Semana 51";"26,39"
"2016";"Semana 52";"50,38"
"2017";"Semana 1";"66,93"
"2017";"Semana 2";"120,01"
"2017";"Semana 3";"133,11"
"2017";"Semana 4";"171,21"
"2017";"Semana 5";"138,27"
"2017";"Semana 6";"127,83"
"2017";"Semana 7";"91,28"
"2017";"Semana 8";"68,69"
"2017";"Semana 9";"42,34"
"2017";"Semana 10";"23,82"
"2017";"Semana 11";"15,57"
"2017";"Semana 12";"8,56"
"2017";"Semana 13";"6,09"
"2017";"Semana 14";"5,24"
"2017";"Semana 15";"1,74"
"2017";"Semana 16";"3,73"
"2017";"Semana 17";"1,68"
"2017";"Semana 18";"0"
"2017";"Semana 19";"1,9"
"2017";"Semana 20";"0"
"2017";"Semana 40";"10,63"
"2017";"Semana 41";"3,09"
"2017";"Semana 42";"1,58"
"2017";"Semana 43";"14,62"
"2017";"Semana 44";"11,9"
"2017";"Semana 45";"17,68"
"2017";"Semana 46";"5,91"
"2017";"Semana 47";"12,27"
"2017";"Semana 48";"24,51"
"2017";"Semana 49";"15,65"
"2017";"Semana 50";"24,19"
"2017";"Semana 51";"105,03"
"2017";"Semana 52";"200,1"
"2018";"Semana 1";"143,8"
"2018";"Semana 2";"227,84"
"2018";"Semana 3";"281,34"
"2018";"Semana 4";"251,54"
"2018";"Semana 5";"244,34"
"2018";"Semana 6";"141,16"
"2018";"Semana 7";"126,96"
"2018";"Semana 8";"80,66"
"2018";"Semana 9";"44,7"
"2018";"Semana 10";"11,38"
"2018";"Semana 11";"8,53"
"2018";"Semana 12";"9,87"
"2018";"Semana 14";"0"
"2018";"Semana 15";"1,51"
"2018";"Semana 16";"4,59"
"2018";"Semana 17";"1,54"
"2018";"Semana 18";"2,96"
"2018";"Semana 19";"0"
"2018";"Semana 20";"0"
"2018";"Semana 40";"0"
"2018";"Semana 41";"0"
"2018";"Semana 42";"0"
"2018";"Semana 43";"2,58"
"2018";"Semana 44";"6,43"
"2018";"Semana 45";"5,07"
"2018";"Semana 46";"7,65"
"2018";"Semana 47";"3,66"
"2018";"Semana 48";"6,44"
"2018";"Semana 49";"18,79"
"2018";"Semana 51";"20,32"
"2018";"Semana 52";"47,05"
"2019";"Semana 1";"21,12"
"2019";"Semana 2";"52,15"
"2019";"Semana 3";"119,92"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/comunidad-valenciana/299"
"Titulo":"La tasa de gripe en Comunidad Valenciana se sitúa en 119,92﻿ por 100.000 habitantes"
"Subtitulo":""
