"Año";"Periodo";"Gripe"
"2015";"Semana 40";"0"
"2015";"Semana 41";"19,01"
"2015";"Semana 42";"12,82"
"2015";"Semana 43";"10,23"
"2015";"Semana 44";"30,49"
"2015";"Semana 45";"0"
"2015";"Semana 46";"6,37"
"2015";"Semana 47";"25,26"
"2015";"Semana 48";"24,41"
"2015";"Semana 49";"11,17"
"2015";"Semana 50";"35,64"
"2015";"Semana 51";"53,16"
"2015";"Semana 53";"12,58"
"2016";"Semana 1";"98,07"
"2016";"Semana 2";"38,1"
"2016";"Semana 3";"101,53"
"2016";"Semana 4";"72,76"
"2016";"Semana 5";"124,87"
"2016";"Semana 6";"130,57"
"2016";"Semana 7";"89,16"
"2016";"Semana 8";"153,46"
"2016";"Semana 9";"129,54"
"2016";"Semana 10";"91,71"
"2016";"Semana 11";"96,64"
"2016";"Semana 12";"65,58"
"2016";"Semana 13";"65,02"
"2016";"Semana 14";"50,06"
"2016";"Semana 15";"71,79"
"2016";"Semana 16";"22,52"
"2016";"Semana 17";"42,68"
"2016";"Semana 18";"17,06"
"2016";"Semana 19";"23,5"
"2016";"Semana 20";"0"
"2016";"Semana 40";"27,2"
"2016";"Semana 41";"16,27"
"2016";"Semana 42";"55,41"
"2016";"Semana 43";"31,84"
"2016";"Semana 44";"15,26"
"2016";"Semana 45";"9,3"
"2016";"Semana 46";"34,77"
"2016";"Semana 47";"83,13"
"2016";"Semana 48";"88,41"
"2016";"Semana 49";"0"
"2016";"Semana 50";"120,56"
"2016";"Semana 51";"123,49"
"2016";"Semana 52";"167,79"
"2017";"Semana 1";"187,75"
"2017";"Semana 2";"336,37"
"2017";"Semana 3";"198,5"
"2017";"Semana 4";"134,81"
"2017";"Semana 5";"214,38"
"2017";"Semana 6";"88,08"
"2017";"Semana 7";"63,03"
"2017";"Semana 8";"60,4"
"2017";"Semana 9";"54,71"
"2017";"Semana 10";"27,67"
"2017";"Semana 11";"23,06"
"2017";"Semana 12";"14,68"
"2017";"Semana 13";"31,54"
"2017";"Semana 14";"19,93"
"2017";"Semana 15";"15,33"
"2017";"Semana 16";"17,57"
"2017";"Semana 17";"12,38"
"2017";"Semana 18";"10,05"
"2017";"Semana 19";"16,29"
"2017";"Semana 20";"6,03"
"2017";"Semana 40";"0"
"2017";"Semana 41";"0"
"2017";"Semana 42";"5,04"
"2017";"Semana 43";"14,66"
"2017";"Semana 44";"0"
"2017";"Semana 45";"30,75"
"2017";"Semana 46";"14,38"
"2017";"Semana 47";"43,06"
"2017";"Semana 48";"80,92"
"2017";"Semana 49";"52,34"
"2017";"Semana 50";"66,65"
"2017";"Semana 51";"74,43"
"2018";"Semana 2";"150,85"
"2018";"Semana 3";"203,96"
"2018";"Semana 4";"94,76"
"2018";"Semana 5";"94,86"
"2018";"Semana 6";"99,61"
"2018";"Semana 7";"45,29"
"2018";"Semana 8";"86,42"
"2018";"Semana 9";"86,15"
"2018";"Semana 10";"61,86"
"2018";"Semana 11";"30,43"
"2018";"Semana 12";"18,51"
"2018";"Semana 14";"13,83"
"2018";"Semana 15";"15,01"
"2018";"Semana 16";"5,54"
"2018";"Semana 17";"8,24"
"2018";"Semana 18";"0"
"2018";"Semana 19";"0"
"2018";"Semana 20";"0"
"2018";"Semana 40";"0"
"2018";"Semana 41";"4,51"
"2018";"Semana 42";"10,33"
"2018";"Semana 43";"12,44"
"2018";"Semana 44";"0"
"2018";"Semana 45";"9,25"
"2018";"Semana 46";"32,59"
"2018";"Semana 47";"5,23"
"2018";"Semana 48";"12,43"
"2018";"Semana 49";"6,31"
"2018";"Semana 50";"14,67"
"2018";"Semana 51";"66,14"
"2018";"Semana 52";"27,12"
"2019";"Semana 1";"20,9"
"2019";"Semana 2";"45,17"
"2019";"Semana 3";"86,23"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/extremadura/300"
"Titulo":"La tasa de gripe en Extremadura se sitúa en 86,23﻿ por 100.000 habitantes"
"Subtitulo":""
