"Año";"Periodo";"Gripe"
"2015";"Semana 40";"4,86"
"2015";"Semana 41";"2,73"
"2015";"Semana 42";"8,03"
"2015";"Semana 43";"2,39"
"2015";"Semana 44";"0"
"2015";"Semana 45";"6,12"
"2015";"Semana 46";"6,4"
"2015";"Semana 47";"12,35"
"2015";"Semana 48";"16,78"
"2015";"Semana 49";"11,76"
"2015";"Semana 50";"8,55"
"2015";"Semana 51";"6,57"
"2015";"Semana 52";"5,9"
"2015";"Semana 53";"7,79"
"2016";"Semana 1";"2,32"
"2016";"Semana 2";"14,39"
"2016";"Semana 3";"27,75"
"2016";"Semana 4";"39,35"
"2016";"Semana 5";"57,35"
"2016";"Semana 6";"92,64"
"2016";"Semana 7";"93,54"
"2016";"Semana 8";"109,9"
"2016";"Semana 9";"74,43"
"2016";"Semana 10";"130,34"
"2016";"Semana 11";"95,82"
"2016";"Semana 12";"51,12"
"2016";"Semana 13";"49,29"
"2016";"Semana 14";"36,94"
"2016";"Semana 15";"36,66"
"2016";"Semana 16";"20,47"
"2016";"Semana 17";"2,38"
"2016";"Semana 18";"6,99"
"2016";"Semana 19";"0"
"2016";"Semana 20";"10,91"
"2016";"Semana 40";"5,05"
"2016";"Semana 41";"5,03"
"2016";"Semana 42";"2,4"
"2016";"Semana 43";"2,54"
"2016";"Semana 44";"14,41"
"2016";"Semana 45";"18,88"
"2016";"Semana 46";"6,11"
"2016";"Semana 47";"18,19"
"2016";"Semana 48";"14,5"
"2016";"Semana 49";"27,78"
"2016";"Semana 50";"44,01"
"2016";"Semana 51";"44,57"
"2016";"Semana 52";"63,91"
"2017";"Semana 1";"112,07"
"2017";"Semana 2";"72,67"
"2017";"Semana 3";"101,24"
"2017";"Semana 4";"65,92"
"2017";"Semana 5";"44,87"
"2017";"Semana 6";"30,7"
"2017";"Semana 7";"24,87"
"2017";"Semana 8";"24,6"
"2017";"Semana 9";"4,93"
"2017";"Semana 10";"6,36"
"2017";"Semana 11";"9,97"
"2017";"Semana 12";"4,1"
"2017";"Semana 13";"6,89"
"2017";"Semana 14";"2,39"
"2017";"Semana 15";"0"
"2017";"Semana 16";"2,76"
"2017";"Semana 17";"15,61"
"2017";"Semana 18";"0"
"2017";"Semana 19";"2,42"
"2017";"Semana 20";"2,2"
"2017";"Semana 40";"4,74"
"2017";"Semana 41";"13,91"
"2017";"Semana 42";"11,25"
"2017";"Semana 43";"4,59"
"2017";"Semana 44";"8,55"
"2017";"Semana 45";"14,23"
"2017";"Semana 46";"19,63"
"2017";"Semana 47";"15,06"
"2017";"Semana 48";"9,89"
"2017";"Semana 49";"26,97"
"2017";"Semana 50";"19,76"
"2017";"Semana 51";"52,68"
"2017";"Semana 52";"81,18"
"2018";"Semana 1";"95,64"
"2018";"Semana 2";"194,47"
"2018";"Semana 3";"205,71"
"2018";"Semana 4";"230,63"
"2018";"Semana 5";"166,29"
"2018";"Semana 6";"103,97"
"2018";"Semana 7";"112,88"
"2018";"Semana 8";"76,26"
"2018";"Semana 9";"72,66"
"2018";"Semana 10";"48,61"
"2018";"Semana 11";"27,43"
"2018";"Semana 12";"28,33"
"2018";"Semana 14";"11,31"
"2018";"Semana 15";"9,79"
"2018";"Semana 16";"7,28"
"2018";"Semana 17";"6,23"
"2018";"Semana 18";"0"
"2018";"Semana 19";"7,45"
"2018";"Semana 20";"2,5"
"2018";"Semana 40";"4,18"
"2018";"Semana 41";"10,29"
"2018";"Semana 42";"19,28"
"2018";"Semana 43";"12,9"
"2018";"Semana 44";"14,97"
"2018";"Semana 45";"19,43"
"2018";"Semana 46";"7,36"
"2018";"Semana 47";"23,19"
"2018";"Semana 48";"2,28"
"2018";"Semana 49";"4,81"
"2018";"Semana 50";"21,49"
"2018";"Semana 52";"33,6"
"2019";"Semana 1";"40,33"
"2019";"Semana 2";"84,51"
"2019";"Semana 3";"132,8"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/islas-baleares/302"
"Titulo":"La tasa de gripe en Islas Baleares se sitúa en 132,8﻿ por 100.000 habitantes"
"Subtitulo":""
