"Año";"Periodo";"Gripe"
"2015";"Semana 40";"11,02"
"2015";"Semana 41";"7,35"
"2015";"Semana 42";"3,67"
"2015";"Semana 43";"14,7"
"2015";"Semana 44";"0"
"2015";"Semana 45";"3,67"
"2015";"Semana 46";"14,7"
"2015";"Semana 47";"18,37"
"2015";"Semana 48";"17,08"
"2015";"Semana 49";"23,58"
"2015";"Semana 50";"11,02"
"2015";"Semana 51";"3,67"
"2015";"Semana 52";"25,89"
"2015";"Semana 53";"3,7"
"2016";"Semana 1";"11,02"
"2016";"Semana 2";"29,59"
"2016";"Semana 3";"69,81"
"2016";"Semana 4";"224,13"
"2016";"Semana 5";"169,02"
"2016";"Semana 6";"253,53"
"2016";"Semana 7";"220,13"
"2016";"Semana 8";"275,98"
"2016";"Semana 9";"290,2"
"2016";"Semana 10";"99,21"
"2016";"Semana 11";"128,6"
"2016";"Semana 12";"118,34"
"2016";"Semana 13";"99,21"
"2016";"Semana 14";"36,74"
"2016";"Semana 15";"18,37"
"2016";"Semana 16";"11,02"
"2016";"Semana 17";"7,35"
"2016";"Semana 18";"11,02"
"2016";"Semana 19";"0"
"2016";"Semana 20";"0"
"2016";"Semana 40";"3,49"
"2016";"Semana 41";"0"
"2016";"Semana 42";"0"
"2016";"Semana 43";"3,49"
"2016";"Semana 44";"0"
"2016";"Semana 45";"10,47"
"2016";"Semana 46";"24,44"
"2016";"Semana 47";"10,47"
"2016";"Semana 48";"34,91"
"2016";"Semana 49";"31,42"
"2016";"Semana 50";"101,25"
"2016";"Semana 51";"104,74"
"2016";"Semana 52";"240,9"
"2017";"Semana 1";"259,85"
"2017";"Semana 2";"351,15"
"2017";"Semana 3";"181,3"
"2017";"Semana 4";"89,16"
"2017";"Semana 5";"45,65"
"2017";"Semana 6";"59,44"
"2017";"Semana 7";"24,58"
"2017";"Semana 8";"22,15"
"2017";"Semana 9";"10,47"
"2017";"Semana 10";"14,65"
"2017";"Semana 11";"3,49"
"2017";"Semana 12";"3,49"
"2017";"Semana 13";"0"
"2017";"Semana 14";"6,98"
"2017";"Semana 15";"0"
"2017";"Semana 16";"0"
"2017";"Semana 17";"0"
"2017";"Semana 18";"0"
"2017";"Semana 19";"0"
"2017";"Semana 20";"0"
"2017";"Semana 40";"0"
"2017";"Semana 41";"0"
"2017";"Semana 42";"3,35"
"2017";"Semana 43";"6,71"
"2017";"Semana 44";"10,06"
"2017";"Semana 45";"10,11"
"2017";"Semana 46";"10,11"
"2017";"Semana 47";"6,74"
"2017";"Semana 48";"10,11"
"2017";"Semana 49";"16,77"
"2017";"Semana 50";"40,46"
"2017";"Semana 51";"150,93"
"2017";"Semana 52";"114,63"
"2018";"Semana 1";"434,93"
"2018";"Semana 2";"529,92"
"2018";"Semana 3";"509,79"
"2018";"Semana 4";"466,19"
"2018";"Semana 5";"298,5"
"2018";"Semana 6";"321,97"
"2018";"Semana 7";"269,72"
"2018";"Semana 8";"212,32"
"2018";"Semana 9";"181,11"
"2018";"Semana 10";"174,4"
"2018";"Semana 11";"124,09"
"2018";"Semana 12";"83,85"
"2018";"Semana 14";"14,79"
"2018";"Semana 15";"23,48"
"2018";"Semana 16";"0"
"2018";"Semana 17";"0"
"2018";"Semana 18";"0"
"2018";"Semana 19";"3,35"
"2018";"Semana 20";"3,35"
"2018";"Semana 40";"4,06"
"2018";"Semana 41";"14,91"
"2018";"Semana 42";"7,25"
"2018";"Semana 43";"18,11"
"2018";"Semana 44";"7,25"
"2018";"Semana 45";"10,87"
"2018";"Semana 46";"21,74"
"2018";"Semana 47";"32,61"
"2018";"Semana 48";"18,11"
"2018";"Semana 49";"0"
"2018";"Semana 50";"7,25"
"2018";"Semana 51";"21,74"
"2018";"Semana 52";"18,11"
"2019";"Semana 1";"39,85"
"2019";"Semana 2";"126,8"
"2019";"Semana 3";"239,11"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/rioja/303"
"Titulo":"La tasa de gripe en La Rioja se sitúa en 239,11﻿ por 100.000 habitantes"
"Subtitulo":""
