"Año";"Periodo";"Gripe"
"2015";"Semana 40";"0"
"2015";"Semana 41";"7,42"
"2015";"Semana 42";"7,42"
"2015";"Semana 43";"0"
"2015";"Semana 44";"5,41"
"2015";"Semana 45";"21,65"
"2015";"Semana 46";"10,83"
"2015";"Semana 47";"5,41"
"2015";"Semana 48";"11,65"
"2015";"Semana 49";"11,65"
"2015";"Semana 50";"6,25"
"2015";"Semana 51";"12,97"
"2015";"Semana 52";"6,48"
"2015";"Semana 53";"8,27"
"2016";"Semana 1";"18,51"
"2016";"Semana 2";"5,93"
"2016";"Semana 3";"43,3"
"2016";"Semana 4";"54,13"
"2016";"Semana 5";"158,14"
"2016";"Semana 6";"189,45"
"2016";"Semana 7";"185,95"
"2016";"Semana 8";"255,07"
"2016";"Semana 9";"113,67"
"2016";"Semana 10";"75,78"
"2016";"Semana 11";"45,7"
"2016";"Semana 12";"16,24"
"2016";"Semana 13";"14,75"
"2016";"Semana 14";"10,83"
"2016";"Semana 15";"21,65"
"2016";"Semana 16";"16,24"
"2016";"Semana 17";"10,83"
"2016";"Semana 18";"13,14"
"2016";"Semana 19";"0"
"2016";"Semana 20";"0"
"2016";"Semana 40";"12,36"
"2016";"Semana 41";"21,28"
"2016";"Semana 42";"21,28"
"2016";"Semana 43";"4,99"
"2016";"Semana 44";"24,95"
"2016";"Semana 45";"29,94"
"2016";"Semana 46";"39,91"
"2016";"Semana 47";"39,91"
"2016";"Semana 48";"44,9"
"2016";"Semana 49";"39,02"
"2016";"Semana 50";"140,88"
"2016";"Semana 51";"169,64"
"2016";"Semana 52";"164,6"
"2017";"Semana 1";"179,94"
"2017";"Semana 2";"176,39"
"2017";"Semana 3";"162"
"2017";"Semana 4";"226,81"
"2017";"Semana 5";"152,24"
"2017";"Semana 6";"93,69"
"2017";"Semana 7";"35,73"
"2017";"Semana 8";"43,2"
"2017";"Semana 9";"17,8"
"2017";"Semana 10";"11,87"
"2017";"Semana 11";"19,15"
"2017";"Semana 12";"6,98"
"2017";"Semana 13";"6,98"
"2017";"Semana 14";"0"
"2017";"Semana 15";"0"
"2017";"Semana 16";"0"
"2017";"Semana 17";"12,77"
"2017";"Semana 18";"0"
"2017";"Semana 19";"0"
"2017";"Semana 20";"0"
"2017";"Semana 40";"9,23"
"2017";"Semana 41";"0"
"2017";"Semana 42";"5,22"
"2017";"Semana 43";"11,46"
"2017";"Semana 44";"11,46"
"2017";"Semana 45";"5,39"
"2017";"Semana 46";"9,87"
"2017";"Semana 47";"19,75"
"2017";"Semana 48";"39,5"
"2017";"Semana 49";"32,02"
"2017";"Semana 50";"59,75"
"2017";"Semana 51";"59,25"
"2018";"Semana 1";"92"
"2018";"Semana 2";"167,87"
"2018";"Semana 3";"157,99"
"2018";"Semana 4";"236,99"
"2018";"Semana 5";"266,61"
"2018";"Semana 6";"197,84"
"2018";"Semana 7";"211,62"
"2018";"Semana 8";"212,79"
"2018";"Semana 9";"176,43"
"2018";"Semana 10";"117,26"
"2018";"Semana 11";"55,6"
"2018";"Semana 12";"39,87"
"2018";"Semana 14";"11,39"
"2018";"Semana 15";"5,7"
"2018";"Semana 16";"5,7"
"2018";"Semana 17";"0"
"2018";"Semana 18";"0"
"2018";"Semana 19";"5,7"
"2018";"Semana 20";"0"
"2018";"Semana 40";"0"
"2018";"Semana 41";"6,96"
"2018";"Semana 42";"0"
"2018";"Semana 43";"4,94"
"2018";"Semana 44";"10,81"
"2018";"Semana 45";"29,63"
"2018";"Semana 46";"29,63"
"2018";"Semana 47";"49,39"
"2018";"Semana 48";"27,01"
"2018";"Semana 49";"91,85"
"2018";"Semana 50";"78,8"
"2018";"Semana 51";"96,25"
"2018";"Semana 52";"86,3"
"2019";"Semana 1";"72,41"
"2019";"Semana 2";"108,21"
"2019";"Semana 3";"149,34"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/melilla/305"
"Titulo":"La tasa de gripe en Melilla se sitúa en 149,34﻿ por 100.000 habitantes"
"Subtitulo":""
