"Año";"Periodo";"Gripe"
"2015";"Semana 40";"0"
"2015";"Semana 41";"2,97"
"2015";"Semana 42";"17,81"
"2015";"Semana 43";"8,91"
"2015";"Semana 44";"8,89"
"2015";"Semana 45";"5,93"
"2015";"Semana 46";"14,82"
"2015";"Semana 47";"17,78"
"2015";"Semana 48";"11,86"
"2015";"Semana 49";"8,89"
"2015";"Semana 50";"2,96"
"2015";"Semana 51";"8,89"
"2015";"Semana 52";"11,86"
"2015";"Semana 53";"8,89"
"2016";"Semana 1";"17,78"
"2016";"Semana 2";"50,39"
"2016";"Semana 3";"148,2"
"2016";"Semana 4";"426,82"
"2016";"Semana 5";"417,93"
"2016";"Semana 6";"358,65"
"2016";"Semana 7";"272,69"
"2016";"Semana 8";"210,45"
"2016";"Semana 9";"160,06"
"2016";"Semana 10";"136,34"
"2016";"Semana 11";"207,48"
"2016";"Semana 12";"133,38"
"2016";"Semana 13";"62,24"
"2016";"Semana 14";"32,6"
"2016";"Semana 15";"14,82"
"2016";"Semana 16";"8,89"
"2016";"Semana 17";"11,86"
"2016";"Semana 18";"2,96"
"2016";"Semana 19";"5,93"
"2016";"Semana 20";"0"
"2016";"Semana 40";"8,89"
"2016";"Semana 41";"5,93"
"2016";"Semana 42";"8,89"
"2016";"Semana 43";"8,89"
"2016";"Semana 44";"23,71"
"2016";"Semana 45";"21,04"
"2016";"Semana 46";"24,05"
"2016";"Semana 47";"18,04"
"2016";"Semana 48";"21,04"
"2016";"Semana 49";"24,05"
"2016";"Semana 50";"36,07"
"2016";"Semana 51";"114,23"
"2016";"Semana 52";"108,22"
"2017";"Semana 1";"75,15"
"2017";"Semana 2";"414,83"
"2017";"Semana 3";"258,51"
"2017";"Semana 4";"276,55"
"2017";"Semana 5";"132,26"
"2017";"Semana 6";"81,16"
"2017";"Semana 7";"42,08"
"2017";"Semana 8";"21,04"
"2017";"Semana 9";"18,04"
"2017";"Semana 10";"18,04"
"2017";"Semana 11";"9,02"
"2017";"Semana 12";"0"
"2017";"Semana 13";"6,01"
"2017";"Semana 14";"9,02"
"2017";"Semana 15";"3,01"
"2017";"Semana 16";"3,01"
"2017";"Semana 17";"3,01"
"2017";"Semana 18";"0"
"2017";"Semana 19";"0"
"2017";"Semana 20";"3,01"
"2017";"Semana 40";"0"
"2017";"Semana 41";"0"
"2017";"Semana 42";"12,02"
"2017";"Semana 43";"6,01"
"2017";"Semana 44";"3,08"
"2017";"Semana 45";"9,24"
"2017";"Semana 46";"15,4"
"2017";"Semana 47";"12,32"
"2017";"Semana 48";"15,4"
"2017";"Semana 49";"9,24"
"2017";"Semana 50";"55,44"
"2017";"Semana 51";"67,76"
"2017";"Semana 52";"150,92"
"2018";"Semana 1";"314,16"
"2018";"Semana 2";"394,23"
"2018";"Semana 3";"489,71"
"2018";"Semana 4";"502,03"
"2018";"Semana 5";"326,48"
"2018";"Semana 6";"267,96"
"2018";"Semana 7";"73,92"
"2018";"Semana 8";"144,76"
"2018";"Semana 9";"135,52"
"2018";"Semana 10";"58,52"
"2018";"Semana 11";"55,44"
"2018";"Semana 12";"52,36"
"2018";"Semana 14";"27,72"
"2018";"Semana 15";"6,16"
"2018";"Semana 16";"6,16"
"2018";"Semana 17";"6,16"
"2018";"Semana 18";"3,08"
"2018";"Semana 19";"3,08"
"2018";"Semana 20";"0"
"2018";"Semana 40";"3,08"
"2018";"Semana 41";"6,19"
"2018";"Semana 42";"15,48"
"2018";"Semana 43";"3,04"
"2018";"Semana 44";"21,25"
"2018";"Semana 45";"24,28"
"2018";"Semana 46";"15,18"
"2018";"Semana 47";"9,11"
"2018";"Semana 48";"30,35"
"2018";"Semana 49";"21,25"
"2018";"Semana 50";"21,25"
"2018";"Semana 51";"33,39"
"2018";"Semana 52";"45,53"
"2019";"Semana 1";"15,18"
"2019";"Semana 2";"69,81"
"2019";"Semana 3";"424,95"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/navarra/307"
"Titulo":"La tasa de gripe en Navarra, Comunidad Foral de se sitúa en 424,95﻿ por 100.000 habitantes"
"Subtitulo":""
