"Año";"Periodo";"Gripe"
"2015";"Semana 40";"9,1"
"2015";"Semana 41";"5,95"
"2015";"Semana 42";"3,81"
"2015";"Semana 43";"6,96"
"2015";"Semana 44";"6,99"
"2015";"Semana 45";"13,56"
"2015";"Semana 46";"9,09"
"2015";"Semana 47";"13,32"
"2015";"Semana 48";"8,49"
"2015";"Semana 49";"12"
"2015";"Semana 50";"10,68"
"2015";"Semana 51";"22,1"
"2015";"Semana 52";"26,44"
"2015";"Semana 53";"13,57"
"2016";"Semana 1";"56,56"
"2016";"Semana 2";"120,61"
"2016";"Semana 3";"277,32"
"2016";"Semana 4";"395,74"
"2016";"Semana 5";"409,61"
"2016";"Semana 6";"347,88"
"2016";"Semana 7";"319,38"
"2016";"Semana 8";"274,7"
"2016";"Semana 9";"154,56"
"2016";"Semana 10";"129,07"
"2016";"Semana 11";"95,1"
"2016";"Semana 12";"46,31"
"2016";"Semana 13";"32,44"
"2016";"Semana 14";"31,53"
"2016";"Semana 15";"49,97"
"2016";"Semana 16";"44,41"
"2016";"Semana 17";"34,57"
"2016";"Semana 18";"57,93"
"2016";"Semana 19";"36,83"
"2016";"Semana 20";"22,73"
"2016";"Semana 40";"5,02"
"2016";"Semana 41";"4,14"
"2016";"Semana 42";"9,5"
"2016";"Semana 43";"10,2"
"2016";"Semana 44";"9,35"
"2016";"Semana 45";"8,84"
"2016";"Semana 46";"6,97"
"2016";"Semana 47";"27,98"
"2016";"Semana 48";"16,83"
"2016";"Semana 49";"30,71"
"2016";"Semana 50";"80,26"
"2016";"Semana 51";"160,94"
"2016";"Semana 52";"225,86"
"2017";"Semana 1";"333,9"
"2017";"Semana 2";"399,75"
"2017";"Semana 3";"425,17"
"2017";"Semana 4";"249,06"
"2017";"Semana 5";"155,18"
"2017";"Semana 6";"105,87"
"2017";"Semana 7";"58,06"
"2017";"Semana 8";"17,52"
"2017";"Semana 9";"13,99"
"2017";"Semana 10";"18,07"
"2017";"Semana 11";"12,31"
"2017";"Semana 12";"7,45"
"2017";"Semana 13";"5,46"
"2017";"Semana 14";"5,92"
"2017";"Semana 15";"4,06"
"2017";"Semana 16";"0"
"2017";"Semana 17";"0"
"2017";"Semana 18";"2,09"
"2017";"Semana 19";"4,74"
"2017";"Semana 20";"1,93"
"2017";"Semana 40";"7,89"
"2017";"Semana 41";"4,11"
"2017";"Semana 42";"6,14"
"2017";"Semana 43";"5,57"
"2017";"Semana 44";"9,03"
"2017";"Semana 45";"20,78"
"2017";"Semana 46";"18,57"
"2017";"Semana 47";"35,18"
"2017";"Semana 48";"58,12"
"2017";"Semana 49";"46,39"
"2017";"Semana 50";"125,15"
"2017";"Semana 51";"170,92"
"2017";"Semana 52";"224,57"
"2018";"Semana 1";"346,32"
"2018";"Semana 2";"369,42"
"2018";"Semana 3";"458,02"
"2018";"Semana 4";"421,26"
"2018";"Semana 5";"348,04"
"2018";"Semana 6";"206,23"
"2018";"Semana 7";"223,11"
"2018";"Semana 8";"144,58"
"2018";"Semana 9";"109,19"
"2018";"Semana 10";"116,7"
"2018";"Semana 11";"62,62"
"2018";"Semana 12";"47,63"
"2018";"Semana 14";"15,8"
"2018";"Semana 15";"19,58"
"2018";"Semana 16";"5,34"
"2018";"Semana 17";"3,71"
"2018";"Semana 18";"7,23"
"2018";"Semana 19";"9,01"
"2018";"Semana 20";"3,71"
"2018";"Semana 40";"12,13"
"2018";"Semana 41";"8,08"
"2018";"Semana 42";"8,25"
"2018";"Semana 43";"18,39"
"2018";"Semana 44";"9,49"
"2018";"Semana 45";"10,49"
"2018";"Semana 46";"20,42"
"2018";"Semana 47";"20,81"
"2018";"Semana 48";"48,42"
"2018";"Semana 49";"56,02"
"2018";"Semana 50";"131,27"
"2018";"Semana 51";"164,66"
"2018";"Semana 52";"90,33"
"2019";"Semana 1";"189,27"
"2019";"Semana 2";"371,2"
"2019";"Semana 3";"542,07"
;;
;;
"Métrica":"Gripe"
"Fuente":"Red Nacional de Vigilancia Epidemiológica"
"Clasificación":""
"Unidad":"Tasa de gripe por cada 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-gripe/e41f26bb-3cc5-430a-a072-0838b2b60449/pais-vasco/308"
"Titulo":"La tasa de gripe en País Vasco se sitúa en 542,07﻿ por 100.000 habitantes"
"Subtitulo":""
