Año;Semana;Asturias
2015;40;19.03
2015;41;18.04
2015;42;49.68
2015;43;27.06
2015;44;30.79
2015;45;16.35
2015;46;18.54
2015;47;38.89
2015;48;47.63
2015;49;149.52
2015;50;44.17
2015;51;74.64
2015;52;92.02
2015;53;168.92
2016;1;74.25
2016;2;144.71
2016;3;154.27
2016;4;265.97
2016;5;204.62
2016;6;302.06
2016;7;191.5
2016;8;228.15
2016;9;121.45
2016;10;165.67
2016;11;94.23
2016;12;92.54
2016;13;52.73
2016;14;37.41
2016;15;31.43
2016;16;20.24
2016;17;43.52
2016;18;16.58
2016;19;24.89
2016;20;15.44
2016;40;0.0
2016;41;0.0
2016;42;5.21
2016;43;9.3
2016;44;5.49
2016;45;67.73
2016;46;125.67
2016;47;145.16
2016;48;183.1
2016;49;444.3
2016;50;491.76
2016;51;464.69
2016;52;635.84
2017;1;304.37
2017;2;276.6
2017;3;127.27
2017;4;80.97
2017;5;55.94
2017;6;44.09
2017;7;25.87
2017;8;10.11
2017;9;0.0
2017;10;22.13
2017;11;9.66
2017;12;4.95
2017;13;6.39
2017;14;16.11
2017;15;0.0
2017;16;22.79
2017;17;16.79
2017;18;8.29
2017;19;0.0
2017;20;6.57
2017;40;16.04
2017;41;25.99
2017;42;12.6
2017;43;18.96
2017;44;15.31
2017;45;22.28
2017;46;162.26
2017;47;156.85
2017;48;196.78
2017;49;309.55
2017;50;367.3
2017;51;394.64
2017;52;735.72
2018;1;627.31
2018;2;266.27
2018;3;225.7
2018;4;93.98
2018;5;49.62
2018;6;106.79
2018;7;46.98
2018;8;73.76
2018;9;51.69
2018;10;69.81
2018;11;38.14
2018;12;27.9
2018;14;51.94
2018;15;17.5
2018;16;11.15
2018;17;14.51
2018;18;19.75
2018;19;4.8
2018;20;12.46
2018;40;24.51
2018;41;23.89
2018;42;6.49
2018;43;17.13
2018;44;13.3
2018;45;46.27
2018;46;14.98
2018;47;25.82
2018;48;14.44
2018;49;27.81
2018;50;50.52
2018;51;29.74
2018;52;56.45
2019;1;36.56
2019;2;146.98
2019;3;246.06
