Año;Semana;Cantabria
2015;40;0.0
2015;41;3.24
2015;42;6.17
2015;43;6.19
2015;44;6.53
2015;45;6.19
2015;46;12.39
2015;47;6.84
2015;48;15.49
2015;49;9.8
2015;50;15.22
2015;51;0.0
2015;53;11.95
2016;1;29.31
2016;2;60.58
2016;3;61.94
2016;4;173.44
2016;5;222.99
2016;6;281.84
2016;7;198.22
2016;8;219.9
2016;9;159.12
2016;10;140.68
2016;12;61.14
2016;13;55.56
2016;14;52.2
2016;15;27.87
2016;16;16.34
2016;17;6.49
2016;18;9.29
2016;19;0.0
2016;20;0.0
2016;40;0.0
2016;41;7.12
2016;42;15.7
2016;43;6.66
2016;44;14.87
2016;45;6.84
2016;46;16.31
2016;47;0.0
2016;48;8.35
2016;49;8.18
2016;51;107.29
2016;52;164.45
2017;1;349.8
2017;2;388.26
2017;3;303.64
2017;4;265.59
2017;5;158.62
2017;6;68.09
2017;7;50.26
2017;8;20.58
2017;9;7.35
2017;10;14.69
2017;11;19.91
2017;12;3.92
2017;13;7.35
2017;14;0.0
2017;15;3.99
2017;16;0.0
2017;17;0.0
2017;18;0.0
2017;19;0.0
2017;20;0.0
2017;40;0.0
2017;41;0.0
2017;42;0.0
2017;43;0.0
2017;44;4.46
2017;45;8.89
2017;46;9.2
2017;47;14.29
2017;48;26.54
2017;49;18.91
2017;50;101.77
2017;51;230.95
2017;52;245.69
2018;1;359.93
2018;2;340.12
2018;3;310.77
2018;4;212.28
2018;5;126.82
2018;6;103.58
2018;7;85.39
2018;8;56.88
2018;9;20.72
2018;10;36.18
2018;11;20.74
2018;12;33.53
2018;14;4.52
2018;15;4.52
2018;16;0.0
2018;17;0.0
2018;18;0.0
2018;19;4.8
2018;20;0.0
2018;40;0.0
2018;41;0.0
2018;42;0.0
2018;43;15.98
2018;44;9.91
2018;45;5.22
2018;46;11.54
2018;47;4.95
2018;48;22.56
2018;49;10.58
2018;50;35.06
2018;51;69.3
2018;52;96.87
2019;1;177.0
2019;2;485.1
2019;3;532.49
