Año;Semana;Castilla-La mancha
2015;40;2.96
2015;41;3.08
2015;42;1.44
2015;43;5.63
2015;44;9.93
2015;45;7.0
2015;46;4.11
2015;47;6.98
2015;48;12.87
2015;49;5.87
2015;50;7.21
2015;51;10.1
2015;52;7.74
2015;53;9.47
2016;1;33.02
2016;2;32.3
2016;3;24.67
2016;4;42.49
2016;5;45.24
2016;6;81.23
2016;7;128.73
2016;8;205.08
2016;9;192.42
2016;10;242.91
2016;11;268.87
2016;12;152.54
2016;13;119.26
2016;14;75.39
2016;15;53.98
2016;16;53.98
2016;17;26.01
2016;18;6.83
2016;19;4.32
2016;20;0.0
2016;40;7.04
2016;41;10.3
2016;42;2.78
2016;43;2.92
2016;44;0.0
2016;45;1.37
2016;46;6.69
2016;47;5.49
2016;48;11.98
2016;49;8.33
2016;50;12.05
2016;51;29.42
2016;52;71.32
2017;1;101.44
2017;2;245.44
2017;3;239.12
2017;4;310.41
2017;5;235.53
2017;6;145.9
2017;7;64.36
2017;8;33.69
2017;9;19.64
2017;10;1.52
2017;11;4.31
2017;12;2.95
2017;13;2.9
2017;14;2.9
2017;15;2.8
2017;16;0.0
2017;17;5.52
2017;18;1.38
2017;19;1.42
2017;20;0.0
2017;40;0.0
2017;41;0.0
2017;42;1.36
2017;43;0.0
2017;44;0.0
2017;45;4.14
2017;46;8.2
2017;47;13.83
2017;48;14.02
2017;49;17.89
2017;50;58.19
2017;51;91.06
2017;52;183.37
2018;1;208.79
2018;2;236.06
2018;3;237.77
2018;4;248.17
2018;5;215.63
2018;6;165.13
2018;7;126.22
2018;8;120.68
2018;9;85.81
2018;10;53.0
2018;11;35.74
2018;12;17.19
2018;14;10.42
2018;15;7.58
2018;16;0.0
2018;17;0.0
2018;18;0.0
2018;19;0.0
2018;20;0.0
2018;40;6.09
2018;41;4.38
2018;42;8.35
2018;43;12.33
2018;44;7.14
2018;45;5.56
2018;46;12.26
2018;47;12.52
2018;48;12.55
2018;49;8.88
2018;50;8.5
2018;51;8.86
2018;52;4.71
2019;1;22.59
2019;2;68.29
2019;3;181.2
