Año;Semana;Tasa gripe x 100.000 habitantes total
2015;40;5.1
2015;41;7.56
2015;42;8.45
2015;43;11.69
2015;44;12.4
2015;45;13.1
2015;46;11.37
2015;47;13.64
2015;48;17.87
2015;49;15.14
2015;50;12.2
2015;51;24.55
2015;52;20.33
2015;53;16.32
2016;1;26.82
2016;2;45.54
2016;3;80.19
2016;4;139.34
2016;5;154.82
2016;6;178.19
2016;7;177.34
2016;8;210.26
2016;9;179.12
2016;10;189.27
2016;11;197.27
2016;12;112.61
2016;13;61.25
2016;14;42.96
2016;15;31.68
2016;16;23.95
2016;17;16.05
2016;18;11.89
2016;19;7.22
2016;20;5.76
2016;40;5.57
2016;41;8.54
2016;42;11.68
2016;43;10.34
2016;44;11.29
2016;45;18.36
2016;46;24.84
2016;47;31.76
2016;48;38.01
2016;49;32.75
2016;50;63.62
2016;51;91.31
2016;52;138.17
2017;1;174.48
2017;2;220.52
2017;3;222.43
2017;4;195.03
2017;5;135.64
2017;6;89.99
2017;7;53.14
2017;8;33.63
2017;9;19.31
2017;10;14.35
2017;11;10.06
2017;12;9.04
2017;13;5.79
2017;14;5.92
2017;15;2.34
2017;16;3.43
2017;17;5.13
2017;18;2.25
2017;19;2.18
2017;20;1.81
2017;40;4.32
2017;41;4.13
2017;42;6.58
2017;43;8.26
2017;44;8.46
2017;45;17.03
2017;46;18.47
2017;47;25.03
2017;48;32.87
2017;49;31.11
2017;50;70.74
2017;51;120.98
2017;52;208.25
2018;1;212.84
2018;2;248.4
2018;3;290.4
2018;4;244.26
2018;5;190.12
2018;6;150.74
2018;7;128.05
2018;8;109.08
2018;9;81.55
2018;10;57.48
2018;11;41.34
2018;12;29.57
2018;14;13.6
2018;15;8.4
2018;16;3.93
2018;17;2.78
2018;18;3.04
2018;19;2.93
2018;20;2.12
2018;40;6.5
2018;41;5.29
2018;42;7.86
2018;43;10.53
2018;44;9.75
2018;45;15.95
2018;46;16.43
2018;47;16.12
2018;48;15.49
2018;49;20.43
2018;50;29.78
2018;51;43.56
2018;52;35.82
2019;1;47.58
2019;2;109.35
2019;3;205.3
2019;4;241.3
2019;5;246.9
2019;6;206.2
2019;7;158.1
2019;8;110.5
2019;9;74.5
2019;10;41.7
2019;11;27.7
2019;12;21.0
2019;13;8.4
2019;14;9.6
2019;15;6.9
2019;16;1.5
2019;17;2.5
2019;18;2.6
2019;19;2.2
2019;20;1.4
2019;40;5.1
2019;41;6.8
2019;42;7.2
2019;43;8.3
2019;44;10.6
2019;45;12.2
2019;46;14.96
2019;47;21.8
2019;48;18.5
2019;49;20.7
2019;50;29.7
2019;51;37.0
2019;52;37.0
2020;1;54.6
2020;2;105.9
2020;3;203.1
2020;4;255.6
2020;5;271.4
2020;6;223.3
2020;7;163.1
2020;8;97.8
2020;9;78.9
2020;10;68.6
2020;11;45.5
2020;12;6.7
2020;13;1.5
2020;14;0.7
2020;15;1.1
2020;16;1.3
2020;17;0.35
2020;18;0.45
2020;19;0.0
2020;20;0.0
2020;45;0.0
2020;46;0.0
2020;47;0.0
2020;48;0.0
2020;49;0.0
2020;50;0.0
2020;51;0.0
2020;52;0.0
2020;53;0.0
2021;1;0.0
2021;2;0.0
2021;3;0.0
2021;4;0.0
