Año;Semana;Extremadura
2015;40;0.0
2015;41;19.01
2015;42;12.82
2015;43;10.23
2015;44;30.49
2015;45;0.0
2015;46;6.37
2015;47;25.26
2015;48;24.41
2015;49;11.17
2015;50;35.64
2015;51;53.16
2015;53;12.58
2016;1;98.07
2016;2;38.1
2016;3;101.53
2016;4;72.76
2016;5;124.87
2016;6;130.57
2016;7;89.16
2016;8;153.46
2016;9;129.54
2016;10;91.71
2016;11;96.64
2016;12;65.58
2016;13;65.02
2016;14;50.06
2016;15;71.79
2016;16;22.52
2016;17;42.68
2016;18;17.06
2016;19;23.5
2016;20;0.0
2016;40;27.2
2016;41;16.27
2016;42;55.41
2016;43;31.84
2016;44;15.26
2016;45;9.3
2016;46;34.77
2016;47;83.13
2016;48;88.41
2016;49;0.0
2016;50;120.56
2016;51;123.49
2016;52;167.79
2017;1;187.75
2017;2;336.37
2017;3;198.5
2017;4;134.81
2017;5;214.38
2017;6;88.08
2017;7;63.03
2017;8;60.4
2017;9;54.71
2017;10;27.67
2017;11;23.06
2017;12;14.68
2017;13;31.54
2017;14;19.93
2017;15;15.33
2017;16;17.57
2017;17;12.38
2017;18;10.05
2017;19;16.29
2017;20;6.03
2017;40;0.0
2017;41;0.0
2017;42;5.04
2017;43;14.66
2017;44;0.0
2017;45;30.75
2017;46;14.38
2017;47;43.06
2017;48;80.92
2017;49;52.34
2017;50;66.65
2017;51;74.43
2018;2;150.85
2018;3;203.96
2018;4;94.76
2018;5;94.86
2018;6;99.61
2018;7;45.29
2018;8;86.42
2018;9;86.15
2018;10;61.86
2018;11;30.43
2018;12;18.51
2018;14;13.83
2018;15;15.01
2018;16;5.54
2018;17;8.24
2018;18;0.0
2018;19;0.0
2018;20;0.0
2018;40;0.0
2018;41;4.51
2018;42;10.33
2018;43;12.44
2018;44;0.0
2018;45;9.25
2018;46;32.59
2018;47;5.23
2018;48;12.43
2018;49;6.31
2018;50;14.67
2018;51;66.14
2018;52;27.12
2019;1;20.9
2019;2;45.17
2019;3;86.23
