Año;Semana;La Rioja
2015;40;11.02
2015;41;7.35
2015;42;3.67
2015;43;14.7
2015;44;0.0
2015;45;3.67
2015;46;14.7
2015;47;18.37
2015;48;17.08
2015;49;23.58
2015;50;11.02
2015;51;3.67
2015;52;25.89
2015;53;3.7
2016;1;11.02
2016;2;29.59
2016;3;69.81
2016;4;224.13
2016;5;169.02
2016;6;253.53
2016;7;220.13
2016;8;275.98
2016;9;290.2
2016;10;99.21
2016;11;128.6
2016;12;118.34
2016;13;99.21
2016;14;36.74
2016;15;18.37
2016;16;11.02
2016;17;7.35
2016;18;11.02
2016;19;0.0
2016;20;0.0
2016;40;3.49
2016;41;0.0
2016;42;0.0
2016;43;3.49
2016;44;0.0
2016;45;10.47
2016;46;24.44
2016;47;10.47
2016;48;34.91
2016;49;31.42
2016;50;101.25
2016;51;104.74
2016;52;240.9
2017;1;259.85
2017;2;351.15
2017;3;181.3
2017;4;89.16
2017;5;45.65
2017;6;59.44
2017;7;24.58
2017;8;22.15
2017;9;10.47
2017;10;14.65
2017;11;3.49
2017;12;3.49
2017;13;0.0
2017;14;6.98
2017;15;0.0
2017;16;0.0
2017;17;0.0
2017;18;0.0
2017;19;0.0
2017;20;0.0
2017;40;0.0
2017;41;0.0
2017;42;3.35
2017;43;6.71
2017;44;10.06
2017;45;10.11
2017;46;10.11
2017;47;6.74
2017;48;10.11
2017;49;16.77
2017;50;40.46
2017;51;150.93
2017;52;114.63
2018;1;434.93
2018;2;529.92
2018;3;509.79
2018;4;466.19
2018;5;298.5
2018;6;321.97
2018;7;269.72
2018;8;212.32
2018;9;181.11
2018;10;174.4
2018;11;124.09
2018;12;83.85
2018;14;14.79
2018;15;23.48
2018;16;0.0
2018;17;0.0
2018;18;0.0
2018;19;3.35
2018;20;3.35
2018;40;4.06
2018;41;14.91
2018;42;7.25
2018;43;18.11
2018;44;7.25
2018;45;10.87
2018;46;21.74
2018;47;32.61
2018;48;18.11
2018;49;0.0
2018;50;7.25
2018;51;21.74
2018;52;18.11
2019;1;39.85
2019;2;126.8
2019;3;239.11
