Año;Semana;Pais Vasco
2015;40;9.1
2015;41;5.95
2015;42;3.81
2015;43;6.96
2015;44;6.99
2015;45;13.56
2015;46;9.09
2015;47;13.32
2015;48;8.49
2015;49;12.0
2015;50;10.68
2015;51;22.1
2015;52;26.44
2015;53;13.57
2016;1;56.56
2016;2;120.61
2016;3;277.32
2016;4;395.74
2016;5;409.61
2016;6;347.88
2016;7;319.38
2016;8;274.7
2016;9;154.56
2016;10;129.07
2016;11;95.1
2016;12;46.31
2016;13;32.44
2016;14;31.53
2016;15;49.97
2016;16;44.41
2016;17;34.57
2016;18;57.93
2016;19;36.83
2016;20;22.73
2016;40;5.02
2016;41;4.14
2016;42;9.5
2016;43;10.2
2016;44;9.35
2016;45;8.84
2016;46;6.97
2016;47;27.98
2016;48;16.83
2016;49;30.71
2016;50;80.26
2016;51;160.94
2016;52;225.86
2017;1;333.9
2017;2;399.75
2017;3;425.17
2017;4;249.06
2017;5;155.18
2017;6;105.87
2017;7;58.06
2017;8;17.52
2017;9;13.99
2017;10;18.07
2017;11;12.31
2017;12;7.45
2017;13;5.46
2017;14;5.92
2017;15;4.06
2017;16;0.0
2017;17;0.0
2017;18;2.09
2017;19;4.74
2017;20;1.93
2017;40;7.89
2017;41;4.11
2017;42;6.14
2017;43;5.57
2017;44;9.03
2017;45;20.78
2017;46;18.57
2017;47;35.18
2017;48;58.12
2017;49;46.39
2017;50;125.15
2017;51;170.92
2017;52;224.57
2018;1;346.32
2018;2;369.42
2018;3;458.02
2018;4;421.26
2018;5;348.04
2018;6;206.23
2018;7;223.11
2018;8;144.58
2018;9;109.19
2018;10;116.7
2018;11;62.62
2018;12;47.63
2018;14;15.8
2018;15;19.58
2018;16;5.34
2018;17;3.71
2018;18;7.23
2018;19;9.01
2018;20;3.71
2018;40;12.13
2018;41;8.08
2018;42;8.25
2018;43;18.39
2018;44;9.49
2018;45;10.49
2018;46;20.42
2018;47;20.81
2018;48;48.42
2018;49;56.02
2018;50;131.27
2018;51;164.66
2018;52;90.33
2019;1;189.27
2019;2;371.2
2019;3;542.07
