Año;Semana;Valencia
2015;40;0.0
2015;41;2.55
2015;42;4.32
2015;43;0.0
2015;44;3.52
2015;45;3.86
2015;46;3.95
2015;47;3.62
2015;48;13.8
2015;49;7.93
2015;50;7.36
2015;51;24.5
2015;52;6.01
2015;53;9.89
2016;1;18.11
2016;2;13.29
2016;3;28.26
2016;4;41.56
2016;5;55.84
2016;6;81.18
2016;7;100.66
2016;8;156.3
2016;9;162.32
2016;10;297.9
2016;11;382.24
2016;12;171.88
2016;13;61.41
2016;14;39.37
2016;15;14.3
2016;16;15.33
2016;17;7.25
2016;18;1.89
2016;19;7.57
2016;20;0.0
2016;40;2.25
2016;41;1.85
2016;42;12.48
2016;43;4.11
2016;44;11.7
2016;45;11.98
2016;46;7.86
2016;47;23.13
2016;48;24.03
2016;49;10.25
2016;50;21.22
2016;51;26.39
2016;52;50.38
2017;1;66.93
2017;2;120.01
2017;3;133.11
2017;4;171.21
2017;5;138.27
2017;6;127.83
2017;7;91.28
2017;8;68.69
2017;9;42.34
2017;10;23.82
2017;11;15.57
2017;12;8.56
2017;13;6.09
2017;14;5.24
2017;15;1.74
2017;16;3.73
2017;17;1.68
2017;18;0.0
2017;19;1.9
2017;20;0.0
2017;40;10.63
2017;41;3.09
2017;42;1.58
2017;43;14.62
2017;44;11.9
2017;45;17.68
2017;46;5.91
2017;47;12.27
2017;48;24.51
2017;49;15.65
2017;50;24.19
2017;51;105.03
2017;52;200.1
2018;1;143.8
2018;2;227.84
2018;3;281.34
2018;4;251.54
2018;5;244.34
2018;6;141.16
2018;7;126.96
2018;8;80.66
2018;9;44.7
2018;10;11.38
2018;11;8.53
2018;12;9.87
2018;14;0.0
2018;15;1.51
2018;16;4.59
2018;17;1.54
2018;18;2.96
2018;19;0.0
2018;20;0.0
2018;40;0.0
2018;41;0.0
2018;42;0.0
2018;43;2.58
2018;44;6.43
2018;45;5.07
2018;46;7.65
2018;47;3.66
2018;48;6.44
2018;49;18.79
2018;51;20.32
2018;52;47.05
2019;1;21.12
2019;2;52.15
2019;3;119.92
