"Año";"Periodo";"Parámetro";"Camas del SNS por 100.000 habitantes"
"2019";"Año";"Andalucía";"183,58"
"2019";"Año";"Aragón";"304,41"
"2019";"Año";"Asturias";"271,31"
"2019";"Año";"Baleares";"178"
"2019";"Año";"C-LM";"242,17"
"2019";"Año";"C.Valenciana";"202,93"
"2019";"Año";"Canarias";"201,03"
"2019";"Año";"Cantabria";"233,19"
"2019";"Año";"Cataluña";"61,48"
"2019";"Año";"Ceuta";"297,25"
"2019";"Año";"Cyl";"297,6"
"2019";"Año";"Extremadura";"294,84"
"2019";"Año";"Galicia";"278,72"
"2019";"Año";"La Rioja";"255,68"
"2019";"Año";"Madrid";"197,32"
"2019";"Año";"Melilla";"194,25"
"2019";"Año";"Murcia";"221,23"
"2019";"Año";"Navarra";"213,54"
"2019";"Año";"País Vasco";"258,18"
;;
;;
"Métrica":"Camas del SNS por 100.000 habitantes"
"Fuente":"Ministerio de Salud"
"Clasificación":""
"Unidad":"Camas por 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/camas-hospitales-sistema-nacional-salud-comunidades/fd2ab70d-0b13-41e9-8181-44a58326f37f"
"Titulo":"Camas en hospitales del Sistema Nacional de Salud por comunidades"
"Subtitulo":"(Datos a 31 de diciembre de 2018)"
