"Año";"Periodo";"Parámetro";"Camas hospitalarias por 100.000 habitantes"
"2019";"Año";"Andalucía";"253,72"
"2019";"Año";"Aragón";"398,24"
"2019";"Año";"Asturias";"370,06"
"2019";"Año";"Baleares";"335,03"
"2019";"Año";"C-LM";"274,93"
"2019";"Año";"C.Valenciana";"279,63"
"2019";"Año";"Canarias";"350,66"
"2019";"Año";"Cantabria";"347,63"
"2019";"Año";"Cataluña";"450,96"
"2019";"Año";"Ceuta";"297,25"
"2019";"Año";"Cyl";"392,32"
"2019";"Año";"Extremadura";"361,71"
"2019";"Año";"Galicia";"363,36"
"2019";"Año";"La Rioja";"331,44"
"2019";"Año";"Madrid";"307,89"
"2019";"Año";"Melilla";"194,25"
"2019";"Año";"Murcia";"328,6"
"2019";"Año";"Navarra";"351,57"
"2019";"Año";"País Vasco";"362,76"
;;
;;
"Métrica":"Camas hospitalarias por 100.000 habitantes"
"Fuente":"Ministerio de Salud"
"Clasificación":""
"Unidad":"Camas por 100.000 habitantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/camas-hospitales-comunidades/1e088f9e-8c30-41fc-8904-20150d616a17"
"Titulo":"Camas en hospitales por comunidades"
"Subtitulo":"(Datos a 31 de diciembre de 2018)"
