"Año";"Periodo";"Número de fallecidos por fecha de defunción"
"2020";"Día 2 de enero";"0"
"2020";"Día 3 de enero";"0"
"2020";"Día 4 de enero";"0"
"2020";"Día 5 de enero";"0"
"2020";"Día 6 de enero";"0"
"2020";"Día 7 de enero";"0"
"2020";"Día 8 de enero";"0"
"2020";"Día 9 de enero";"0"
"2020";"Día 10 de enero";"0"
"2020";"Día 11 de enero";"0"
"2020";"Día 12 de enero";"0"
"2020";"Día 13 de enero";"0"
"2020";"Día 14 de enero";"0"
"2020";"Día 15 de enero";"0"
"2020";"Día 16 de enero";"0"
"2020";"Día 17 de enero";"0"
"2020";"Día 18 de enero";"0"
"2020";"Día 19 de enero";"0"
"2020";"Día 20 de enero";"0"
"2020";"Día 21 de enero";"0"
"2020";"Día 22 de enero";"0"
"2020";"Día 23 de enero";"0"
"2020";"Día 24 de enero";"0"
"2020";"Día 25 de enero";"0"
"2020";"Día 26 de enero";"0"
"2020";"Día 27 de enero";"0"
"2020";"Día 28 de enero";"0"
"2020";"Día 29 de enero";"0"
"2020";"Día 30 de enero";"0"
"2020";"Día 31 de enero";"0"
"2020";"Día 1 de febrero";"0"
"2020";"Día 2 de febrero";"0"
"2020";"Día 3 de febrero";"0"
"2020";"Día 4 de febrero";"0"
"2020";"Día 5 de febrero";"0"
"2020";"Día 6 de febrero";"0"
"2020";"Día 7 de febrero";"0"
"2020";"Día 8 de febrero";"0"
"2020";"Día 9 de febrero";"0"
"2020";"Día 10 de febrero";"0"
"2020";"Día 11 de febrero";"0"
"2020";"Día 12 de febrero";"0"
"2020";"Día 13 de febrero";"0"
"2020";"Día 14 de febrero";"0"
"2020";"Día 15 de febrero";"0"
"2020";"Día 16 de febrero";"0"
"2020";"Día 17 de febrero";"0"
"2020";"Día 18 de febrero";"0"
"2020";"Día 19 de febrero";"0"
"2020";"Día 20 de febrero";"0"
"2020";"Día 21 de febrero";"0"
"2020";"Día 22 de febrero";"0"
"2020";"Día 23 de febrero";"0"
"2020";"Día 24 de febrero";"0"
"2020";"Día 25 de febrero";"0"
"2020";"Día 26 de febrero";"0"
"2020";"Día 27 de febrero";"0"
"2020";"Día 28 de febrero";"0"
"2020";"Día 29 de febrero";"0"
"2020";"Día 1 de marzo";"0"
"2020";"Día 2 de marzo";"0"
"2020";"Día 3 de marzo";"0"
"2020";"Día 4 de marzo";"0"
"2020";"Día 5 de marzo";"0"
"2020";"Día 6 de marzo";"0"
"2020";"Día 7 de marzo";"0"
"2020";"Día 8 de marzo";"0"
"2020";"Día 9 de marzo";"0"
"2020";"Día 10 de marzo";"0"
"2020";"Día 11 de marzo";"0"
"2020";"Día 12 de marzo";"1"
"2020";"Día 13 de marzo";"2"
